"","camp_address_1","camp_zip","session_date_start","session_date_end","session_max_age","session_min_age","total.duration","lat","lon","session_id","session_size","session_cost","session_categories"
"1","1 Red Fox Lane","80111","6/3/19","6/7/19","16","6",35,39.652262,-104.933188,"23884"," ",369,"stem,giftedStudent,academic"
"2","1 Red Fox Lane","80111","6/3/19","6/7/19","16","6",15,39.652262,-104.933188,"23885"," ",249,"giftedStudent,stem,academic"
"3","1 Red Fox Lane","80111","6/3/19","6/7/19","16","6",15,39.652262,-104.933188,"23886"," ",249,"academic,stem,giftedStudent"
"4","1 Red Fox Lane","80111","7/8/19","7/10/19","16","6",21,39.652262,-104.933188,"23887"," ",259,"stem,giftedStudent,academic"
"5","4751 York St.","80216","6/4/19","8/1/19","10","3",51,39.7826999,-104.9598726,"33241"," ",0,"nature,academic,cooking,stem"
"6","4751 York St.","80216","6/10/19","8/2/19","16","14",138,39.7826999,-104.9598726,"33242"," ",0,"cooking,nature,stem"
"7","191 University Blvd","80206","6/3/19","6/8/19","17","6",84,39.0019264,-105.0628341,"37771","100",0,"specialNeedsStudent"
"8","","80465","6/3/19","6/7/19","9","6",30,39.6892398,-105.1903668,"37785","23",325,"nature,academic"
"9","","80465","6/10/19","6/14/19","13","10",30,39.6892398,-105.1903668,"37786","23",325,"academic,nature"
"10","","80465","6/17/19","6/21/19","11","8",30,39.6892398,-105.1903668,"37787","23",325,"academic,nature"
"11","","80465","6/24/19","6/28/19","9","6",30,39.6892398,-105.1903668,"37788","23",325,"nature,academic"
"12","","80465","7/8/19","7/12/19","10","6",30,39.6892398,-105.1903668,"37789","23",325,"academic,nature"
"13","","80465","7/22/19","7/26/19","13","8",30,39.6892398,-105.1903668,"37790","23",325,"nature,academic"
"14","","80465","7/15/19","7/19/19","13","11",30,39.6892398,-105.1903668,"37791","23",300,"academic,nature"
"15","","80465","7/22/19","7/26/19","11","8",30,39.6892398,-105.1903668,"37792","23",300,"academic,nature"
"16","","80465","7/29/19","8/2/19","10","6",30,39.6892398,-105.1903668,"37793","23",300,"academic,nature"
"17","","80465","8/5/19","8/9/19","10","6",30,39.6892398,-105.1903668,"37794","23",300,"academic,nature"
"18","2823 Havana St.","80238","6/10/19","6/14/19","10","4",15,39.7537967,-104.921638,"37875","40",190,"sports"
"19","2823 Havana St.","80238","6/17/19","6/21/19","10","4",15,39.7537967,-104.921638,"37876","40",190,"sports"
"20","2823 Havana St.","80238","7/8/19","7/12/19","11","4",15,39.7608701,-104.886197,"37877"," ",160,"sports"
"21","2823 Havana St.","80238","7/15/19","7/19/19","11","4",15,39.7608701,-104.886197,"37878"," ",160,"sports"
"22","2823 Havana St.","80238","7/22/19","7/26/19","11","4",15,39.7608701,-104.886197,"37879"," ",160,"sports"
"23","2823 Havana St.","80238","7/29/19","8/2/19","11","4",15,39.7608701,-104.886197,"37880"," ",160,"sports"
"24","855 Lawrence Way","80204","6/10/19","6/14/19","18","13",17,39.7428157,-105.0040466,"37947"," ",500,"scholarshipsAvailable,music,academic"
"25","855 Lawrence Way","80204","6/10/19","6/14/19","18","13",17,39.7428157,-105.0040466,"37953"," ",500,"arts,academic,scholarshipsAvailable"
"26","216 S Grant St","80209","6/3/19","6/7/19","11","7",30,39.7127211,-104.9837006,"37954","15",425,"music"
"27","216 S Grant St","80209","6/17/19","6/21/19","17","10",30,39.7127211,-104.9837006,"37955","15",425,"music"
"28","216 S Grant St","80209","7/8/19","7/12/19","17","10",30,39.7127211,-104.9837006,"37956","8",425,"music"
"29","216 S Grant St","80209","7/22/19","7/26/19","11","7",30,39.7127211,-104.9837006,"37957","15",425,"music"
"30","216 S Grant St","80209","8/5/19","8/9/19","17","10",30,39.7127211,-104.9837006,"37958","15",425,"music"
"31","1101 13th Street","80204","7/8/19","7/12/19","17","13",32.5,39.7453568,-104.9992014,"37967","16",250,"drama,academic,arts,specialNeedsStudent"
"32","1101 13th Street","80204","6/24/19","6/28/19","17","13",32.5,39.7453568,-104.9992014,"37968","16",250,"arts,specialNeedsStudent,drama,academic"
