"X","camp_address_1","camp_zip","session_date_start","session_date_end","total.duration","lat","long","session_id","session_size","session_cost","session_categories","NBHD_Name"
1,"1 Red Fox Lane","80111","6/3/2019","6/7/2019",35,39.652262,-104.933188,"23884"," ",369,"stem,giftedStudent,academic",NA
2,"1 Red Fox Lane","80111","6/3/2019","6/7/2019",15,39.652262,-104.933188,"23885"," ",249,"giftedStudent,stem,academic",NA
3,"1 Red Fox Lane","80111","6/3/2019","6/7/2019",15,39.652262,-104.933188,"23886"," ",249,"academic,stem,giftedStudent",NA
4,"1 Red Fox Lane","80111","7/8/2019","7/10/2019",21,39.652262,-104.933188,"23887"," ",259,"stem,giftedStudent,academic",NA
5,"4751 York St.","80216","6/4/2019","8/1/2019",51,39.7826999,-104.9598726,"33241"," ",0,"nature,academic,cooking,stem","Elyria Swansea"
6,"4751 York St.","80216","6/10/2019","8/2/2019",138,39.7826999,-104.9598726,"33242"," ",0,"cooking,nature,stem","Elyria Swansea"
7,"191 University Blvd","80206","6/3/2019","6/8/2019",84,39.0019264,-105.0628341,"37771","100",0,"specialNeedsStudent",NA
8,"","80465","6/3/2019","6/7/2019",30,39.6892398,-105.1903668,"37785","23",325,"nature,academic",NA
9,"","80465","6/10/2019","6/14/2019",30,39.6892398,-105.1903668,"37786","23",325,"academic,nature",NA
10,"","80465","6/17/2019","6/21/2019",30,39.6892398,-105.1903668,"37787","23",325,"academic,nature",NA
11,"","80465","6/24/2019","6/28/2019",30,39.6892398,-105.1903668,"37788","23",325,"nature,academic",NA
12,"","80465","7/8/2019","7/12/2019",30,39.6892398,-105.1903668,"37789","23",325,"academic,nature",NA
13,"","80465","7/22/2019","7/26/2019",30,39.6892398,-105.1903668,"37790","23",325,"nature,academic",NA
14,"","80465","7/15/2019","7/19/2019",30,39.6892398,-105.1903668,"37791","23",300,"academic,nature",NA
15,"","80465","7/22/2019","7/26/2019",30,39.6892398,-105.1903668,"37792","23",300,"academic,nature",NA
16,"","80465","7/29/2019","8/2/2019",30,39.6892398,-105.1903668,"37793","23",300,"academic,nature",NA
17,"","80465","8/5/2019","8/9/2019",30,39.6892398,-105.1903668,"37794","23",300,"academic,nature",NA
18,"2823 Havana St.","80238","6/10/2019","6/14/2019",15,39.7537967,-104.921638,"37875","40",190,"sports","North Park Hill"
19,"2823 Havana St.","80238","6/17/2019","6/21/2019",15,39.7537967,-104.921638,"37876","40",190,"sports","North Park Hill"
20,"2823 Havana St.","80238","7/8/2019","7/12/2019",15,39.7608701,-104.886197,"37877"," ",160,"sports","Stapleton"
21,"2823 Havana St.","80238","7/15/2019","7/19/2019",15,39.7608701,-104.886197,"37878"," ",160,"sports","Stapleton"
22,"2823 Havana St.","80238","7/22/2019","7/26/2019",15,39.7608701,-104.886197,"37879"," ",160,"sports","Stapleton"
23,"2823 Havana St.","80238","7/29/2019","8/2/2019",15,39.7608701,-104.886197,"37880"," ",160,"sports","Stapleton"
24,"855 Lawrence Way","80204","6/10/2019","6/14/2019",17,39.7428157,-105.0040466,"37947"," ",500,"scholarshipsAvailable,music,academic","Auraria"
25,"855 Lawrence Way","80204","6/10/2019","6/14/2019",17,39.7428157,-105.0040466,"37953"," ",500,"arts,academic,scholarshipsAvailable","Auraria"
26,"216 S Grant St","80209","6/3/2019","6/7/2019",30,39.7127211,-104.9837006,"37954","15",425,"music","Speer"
27,"216 S Grant St","80209","6/17/2019","6/21/2019",30,39.7127211,-104.9837006,"37955","15",425,"music","Speer"
28,"216 S Grant St","80209","7/8/2019","7/12/2019",30,39.7127211,-104.9837006,"37956","8",425,"music","Speer"
29,"216 S Grant St","80209","7/22/2019","7/26/2019",30,39.7127211,-104.9837006,"37957","15",425,"music","Speer"
30,"216 S Grant St","80209","8/5/2019","8/9/2019",30,39.7127211,-104.9837006,"37958","15",425,"music","Speer"
31,"1101 13th Street","80204","7/8/2019","7/12/2019",32.5,39.7453568,-104.9992014,"37967","16",250,"drama,academic,arts,specialNeedsStudent","CBD"
32,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37968","16",250,"arts,specialNeedsStudent,drama,academic","CBD"
33,"1101 13th Street","80204","6/3/2019","6/7/2019",32.5,39.7453568,-104.9992014,"37969","16",250,"arts,specialNeedsStudent,drama,academic","CBD"
34,"1101 13th Street","80204","7/15/2019","7/26/2019",65,39.7453568,-104.9992014,"37970","16",500,"specialNeedsStudent,academic,arts,drama","CBD"
35,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37971","14",250,"specialNeedsStudent,drama,arts,academic","CBD"
36,"1101 13th Street","80204","6/10/2019","6/21/2019",80,39.7453568,-104.9992014,"37972","24",650,"specialNeedsStudent,drama,arts,academic","CBD"
37,"1101 13th Street","80204","6/3/2019","6/14/2019",65,39.7453568,-104.9992014,"37973","10",300,"academic,drama,specialNeedsStudent,arts","CBD"
38,"1101 13th Street","80204","6/10/2019","6/21/2019",65,39.7453568,-104.9992014,"37974","10",300,"arts,academic,specialNeedsStudent,drama","CBD"
39,"1101 13th Street","80204","6/24/2019","7/12/2019",97.5,39.7453568,-104.9992014,"37975","10",300,"academic,arts,drama,specialNeedsStudent","CBD"
40,"1101 13th Street","80204","7/15/2019","8/2/2019",97.5,39.7453568,-104.9992014,"37976","10",300,"specialNeedsStudent,drama,academic,arts","CBD"
41,"1101 13th Street","80204","6/3/2019","6/14/2019",65,39.7453568,-104.9992014,"37977","20",500,"specialNeedsStudent,arts,academic,drama","CBD"
42,"1101 13th Street","80204","7/15/2019","8/2/2019",97.5,39.7453568,-104.9992014,"37978","20",500,"academic,drama,specialNeedsStudent,arts","CBD"
43,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37979","16",250,"academic,specialNeedsStudent,drama,arts","CBD"
44,"1101 13th Street","80204","7/29/2019","8/2/2019",32.5,39.7453568,-104.9992014,"37980","16",250,"academic,arts,drama,specialNeedsStudent","CBD"
45,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37981","20",250,"specialNeedsStudent,academic,drama,offersBeforeAfterCare,arts","CBD"
46,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37982","24",250,"specialNeedsStudent,arts,academic,drama,offersBeforeAfterCare","CBD"
47,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37983","28",250,"arts,drama,specialNeedsStudent,academic,offersBeforeAfterCare","CBD"
48,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37984","28",250,"specialNeedsStudent,arts,drama,academic,offersBeforeAfterCare","CBD"
49,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37985","32",250,"arts,drama,academic,specialNeedsStudent,offersBeforeAfterCare","CBD"
50,"1101 13th Street","80204","6/24/2019","6/28/2019",32.5,39.7453568,-104.9992014,"37986","16",250,"academic,drama,specialNeedsStudent,offersBeforeAfterCare,arts","CBD"
51,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37987","28",250,"academic,arts,offersBeforeAfterCare,drama,specialNeedsStudent","CBD"
52,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37988","20",250,"drama,academic,offersBeforeAfterCare,specialNeedsStudent,arts","CBD"
53,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37989","24",250,"specialNeedsStudent,offersBeforeAfterCare,drama,arts,academic","CBD"
54,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37990","28",250,"offersBeforeAfterCare,specialNeedsStudent,arts,academic,drama","CBD"
55,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37991","32",250,"arts,academic,drama,offersBeforeAfterCare,specialNeedsStudent","CBD"
56,"1101 13th Street","80204","6/10/2019","6/14/2019",32.5,39.7453568,-104.9992014,"37992","16",250,"specialNeedsStudent,offersBeforeAfterCare,academic,drama,arts","CBD"
57,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37993","20",250,"drama,academic,offersBeforeAfterCare,arts,specialNeedsStudent","CBD"
58,"1101 13th Street","80204","6/17/2019","6/21/2019",32.5,39.7453568,-104.9992014,"37994","24",250,"academic,specialNeedsStudent,drama,arts,offersBeforeAfterCare","CBD"
