"","Row.names","camp_id","session_id","camp_zip","camp_address_1","session_size","session_cost","session_date_start","session_date_end","session_categories","calendar_date","start.time.hours","end.time.hours","duration","session_max_age","session_min_age","lat","lon","lat_lon"
"1","1",813,"42697","80401","2750 Crabapple Road",18,"207","2019-06-24 00:00:00","2019-06-27 00:00:00","drama,arts,scholarshipsAvailable,academic",2019-06-24,"12:00 AM","9:00 AM",9,12,6,39.6214415,-104.9138135,"39.6214415 -104.9138135"
"2","10",966,"42676","80603","14500 Lark Bunting Lane",8,"750","2019-06-09 00:00:00","2019-06-14 00:00:00","academic,scholarshipsAvailable",2019-06-10,"12:00 AM","12:00 AM",24,14,12,39.7373083,-104.9882038,"39.7373083 -104.9882038"
"3","100",991,"43543","80222","4400 E. Iliff Ave.",0,"540","2019-06-10 00:00:00","2019-07-12 00:00:00","academic",2019-06-21,"9:30 AM","11:00 AM",1.5,18,14,39.7187299,-105.0900493,"39.7187299 -105.0900493"
"4","1000",964,"42490","80012","15151 E. Alameda Parkway, Suite 4600",35,"219","2019-06-03 00:00:00","2019-06-07 00:00:00","scholarshipsAvailable,sports,stem,academic,specialNeedsStudent",2019-06-07,"7:30 AM","5:30 PM",10,12,8,39.599753,-105.989506,"39.599753 -105.989506"
"5","10000",696,"38907","80306","PO Box 287",13,"459","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature,sports",2019-08-07,"9:00 AM","3:00 PM",6,10,7,39.6737446,-104.9344593,"39.6737446 -104.9344593"
"6","10001",696,"38907","80306","PO Box 287",13,"459","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature,sports",2019-08-08,"9:00 AM","3:00 PM",6,10,7,39.6737446,-104.9344593,"39.6737446 -104.9344593"
"7","10002",696,"38907","80306","PO Box 287",13,"459","2019-08-05 00:00:00","2019-08-09 00:00:00","scholarshipsAvailable,offersBeforeAfterCare,nature,sports",2019-08-09,"9:00 AM","3:00 PM",6,10,7,39.6737446,-104.9344593,"39.6737446 -104.9344593"
"8","10003",696,"38908","80306","PO Box 287",13,"459","2019-08-12 00:00:00","2019-08-16 00:00:00","offersBeforeAfterCare,sports,scholarshipsAvailable,nature",2019-08-12,"9:00 AM","3:00 PM",6,10,7,39.6737446,-104.9344593,"39.6737446 -104.9344593"
"9","10004",696,"38908","80306","PO Box 287",13,"459","2019-08-12 00:00:00","2019-08-16 00:00:00","offersBeforeAfterCare,sports,scholarshipsAvailable,nature",2019-08-13,"9:00 AM","3:00 PM",6,10,7,39.6737446,-104.9344593,"39.6737446 -104.9344593"
"10","10005",696,"38908","80306","PO Box 287",13,"459","2019-08-12 00:00:00","2019-08-16 00:00:00","offersBeforeAfterCare,sports,scholarshipsAvailable,nature",2019-08-14,"9:00 AM","3:00 PM",6,10,7,39.6737446,-104.9344593,"39.6737446 -104.9344593"
