"session_address_1","session_state","session_city","session_id","camp_name","camp_website","camp_email","camp_phone","camp_address_1","camp_city","camp_state","camp_zip","X","session_name","session_reg_open","session_reg_close","session_size","session_gender","session_min_age","session_max_age","session_cost","session_date_start","session_date_end","session_count","session_address_name","session_zip","session_categories","calendar.date","start.time.hours","end.time.hours","duration","lat","long","lat_lon"
"119 Park Ave W","CO","Denver","region_co","One Sol","https://onesol.weebly.com/","",NA,"119 Park Ave W","Denver","CO",80205,NA,"One Sol",NA,NA,30,"both",NA,NA,"$333 ","8/7/19","8/11/19",NA,"Cleo Parker Robinson Dance",80205,"dance, arts","8/7/19","4:00pm","9:00pm","5 hours",39.7479028,-104.9784441,"39.7479028 -104.9784441"
"119 Park Ave W","CO","Denver","region_co","One Sol","https://onesol.weebly.com/","",NA,"119 Park Ave W","Denver","CO",80205,NA,"One Sol",NA,NA,30,"both",NA,NA,"$333 ","8/7/19","8/11/19",NA,"Cleo Parker Robinson Dance",80205,"dance, arts","8/8/19","4:00pm","9:00pm","5 hours",39.7479028,-104.9784441,"39.7479028 -104.9784441"
"119 Park Ave W","CO","Denver","region_co","One Sol","https://onesol.weebly.com/","",NA,"119 Park Ave W","Denver","CO",80205,NA,"One Sol",NA,NA,30,"both",NA,NA,"$333 ","8/7/19","8/11/19",NA,"Cleo Parker Robinson Dance",80205,"dance, arts","8/9/19","4:00pm","9:00pm","5 hours",39.7479028,-104.9784441,"39.7479028 -104.9784441"
"119 Park Ave W","CO","Denver","region_co","One Sol","https://onesol.weebly.com/","",NA,"119 Park Ave W","Denver","CO",80205,NA,"One Sol",NA,NA,30,"both",NA,NA,"$333 ","8/7/19","8/11/19",NA,"Cleo Parker Robinson Dance",80205,"dance, arts","8/10/19","11:00am","11:00pm","12 hours",39.7479028,-104.9784441,"39.7479028 -104.9784441"
"119 Park Ave W","CO","Denver","region_co","One Sol","https://onesol.weebly.com/","",NA,"119 Park Ave W","Denver","CO",80205,NA,"One Sol",NA,NA,30,"both",NA,NA,"$333 ","8/7/19","8/11/19",NA,"Cleo Parker Robinson Dance",80205,"dance, arts","8/11/19","11:00am","3:00pm","4 hours",39.7479028,-104.9784441,"39.7479028 -104.9784441"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/11/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/12/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/13/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/17/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
"1201 S Steele St.","CO","Denver","region_co","Apprentice of Peace","https://www.apprenticeofpeace.com/about-us","aopwellness@gmail.com",NA,"1201 S. Steele St. ","Denver","CO",80210,NA,"Apprentice of Peace",NA,NA,NA,"",8,15,"$250 ","6/11/19","7/25/19",NA,"Kirk of Bonnie Brae Church",80210,"arts, dance, sports, academic","6/18/19","9:00am","4:00pm ","7 hours ",39.6943894,-104.9504759,"39.6943894 -104.9504759"
