"","X","Id","Id2","Geography","TTL_population","Male","Female","Total","Age_Less_5","Age_5_to_9","Age_10_to_14","Age_15_to_17","Age_Less_18","Age_0_to_9","Age_10_to_19","Age_20_to_29","Age_30_to_39","Age_40_to_49","Age_50_to_59","Age_60_to_69","Age_70_to_79","Age_80_and_over","PCT_Less_18","White","Black","AmericanIndian","Asian","PacificIslanders","OtherRaces","Two.or.more.races","PCT_White","PCT_African","PCT_AmericanIndian","PCT_Asian","PCT_PacificIslander","PCT_OtherRaces","PCT_Two.or.more.races","Hispanic","PCT_Hispanic","TTPOP_25PLUS_EDU","LESS_THAN_HS_DIPLOMA","HSGREAD_OR_EQUIV_EDU","SOMECOLLEGE_OR_AA_EDU","BACHELORS_OR_HIGHER_EDU","Median_HH_income","Native","PCT_Housing_rent","PCT_Vehicle_none","PCT_Vehicle_own","TTPOP_18PLUS_LNG","LNG_English","LNG_Spanish","LNG_Spanish_English_bad","LNG_IndoEuropean","LNG_IndoEuropean_English_bad","LNG_AsianPacific","LNG_AsianPacific_English_bad","LNG_Others","LNG_Others_English_bad","TTL_HH_Children_under_18","Poverty_HH","Poverty_PCT_HH","MarriedCouple_HH","SingleDad_HH","SingleMom_HH","PCT_MarriedCouple_HH","PCT_SingleDad_HH","PCT_SingleMom_HH"
"1",1,"1500000US080310001021",80310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",86,494,444,938,90,13,11,28,142,103,52,116,190,173,104,121,66,13,15.138592750533,855,0,13,0,0,34,72,91.1513859275053,0,1.38592750533049,0,0,3.62473347547974,7.67590618336887,275,319.767441860465,713,37,84,182,410,"115909",890,31.3364055299539,7.6036866359447,92.3963133640553,796,606,179,11,0,0,260,144,42,11,89,0,0,64,25,0,71.9101123595506,28.0898876404494,0
"2",2,"1500000US080310001022",80310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",127,851,819,1670,202,21,40,0,263,223,56,227,487,286,149,158,40,44,15.748502994012,1383,16,19,9,0,227,32,82.814371257485,0.958083832335329,1.1377245508982,0.538922155688623,0,13.5928143712575,1.91616766467066,509,400.787401574803,1352,75,255,294,728,"79659",1580,32.156862745098,1.56862745098039,98.4313725490196,1407,1160,229,18,0,0,351,126,48,12,200,49,24.5,115,10,75,57.5,5,37.5
"3",3,"1500000US080310001023",80310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",80,416,432,848,86,31,34,10,161,117,49,65,248,169,78,97,25,0,18.9858490566038,679,48,0,27,0,19,150,80.0707547169811,5.66037735849057,0,3.18396226415094,0,2.24056603773585,17.688679245283,50,62.5,682,0,33,116,533,"86313",832,16.5394402035623,5.85241730279898,94.147582697201,687,662,25,0,0,0,84,59,0,0,105,9,8.57142857142857,82,0,23,78.0952380952381,0,21.9047619047619
"4",4,"1500000US080310002011",80310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",182,864,956,1820,76,68,71,31,246,144,135,261,349,141,253,258,119,160,13.5164835164835,1582,41,40,25,14,49,138,86.9230769230769,2.25274725274725,2.1978021978022,1.37362637362637,0.769230769230769,2.69230769230769,7.58241758241758,962,528.571428571429,1467,366,378,354,369,"47500",1511,40.470297029703,27.1039603960396,72.8960396039604,1574,1064,463,22,25,0,669,334,72,10,140,29,20.7142857142857,102,3,35,72.8571428571428,2.14285714285714,25
"5",5,"1500000US080310002012",80310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",161,1044,1017,2061,72,79,149,127,427,151,306,293,429,282,307,200,93,0,20.7180980106744,1861,40,10,7,0,94,98,90.2959728287239,1.94080543425522,0.485201358563804,0.339640950994663,0,4.56089277049976,4.75497331392528,1323,821.739130434783,1511,352,432,272,455,"55598",1581,20.1511335012594,0,100,1634,890,724,8,7,5,504,370,117,0,227,14,6.16740088105727,197,0,30,86.784140969163,0,13.215859030837
"6",6,"1500000US080310002021",80310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",32,222,439,661,48,15,97,95,255,63,192,15,92,67,133,29,70,0,38.5779122541604,415,52,152,31,0,11,0,62.7836611195159,7.86686838124055,22.9954614220877,4.68986384266263,0,1.66414523449319,0,326,1018.75,406,134,75,178,19,"7500",600,96.4539007092199,49.290780141844,50.709219858156,406,336,39,0,31,0,99,46,39,0,111,111,100,0,0,111,0,0,100
"7",7,"1500000US080310002022",80310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",111,819,636,1455,72,112,97,30,311,184,144,149,312,211,169,111,134,41,21.3745704467354,1238,0,63,0,0,109,90,85.085910652921,0,4.32989690721649,0,0,7.4914089347079,6.18556701030928,847,763.063063063063,1109,240,335,294,240,"52930",1336,52.8158295281583,19.3302891933029,80.6697108066971,1144,813,331,0,0,0,391,178,90,0,179,20,11.1731843575419,93,22,64,51.9553072625698,12.2905027932961,35.7541899441341
"8",8,"1500000US080310002023",80310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",83,388,439,827,59,61,19,9,148,120,35,45,227,99,141,102,58,0,17.8960096735187,709,33,17,16,0,19,66,85.7315598548972,3.99032648125756,2.05562273276904,1.93470374848851,0,2.29746070133011,7.98065296251512,217,261.44578313253,659,83,59,179,338,"95909",759,19.7222222222222,5,95,679,613,50,0,16,0,106,103,7,0,107,0,0,64,34,9,59.8130841121495,31.7757009345794,8.41121495327103
"9",9,"1500000US080310002024",80310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",79,489,562,1051,73,26,72,0,171,99,85,213,227,199,87,51,81,9,16.2702188392008,936,31,52,13,0,0,38,89.058039961941,2.94957183634634,4.9476688867745,1.23691722169363,0,0,3.61560418648906,508,643.037974683544,795,157,206,141,291,"70625",975,30,2.19512195121951,97.8048780487805,880,703,139,38,0,0,148,143,69,0,104,17,16.3461538461538,76,0,28,73.0769230769231,0,26.9230769230769
"10",10,"1500000US080310003011",80310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",49,397,399,796,74,19,10,30,133,93,40,29,183,126,158,122,0,45,16.7085427135678,752,0,0,0,0,31,26,94.4723618090452,0,0,0,0,3.89447236180905,3.26633165829146,127,259.183673469388,634,43,123,141,327,"-",710,11.4441416893733,0,100,663,577,86,0,0,0,163,77,45,0,83,0,0,72,11,0,86.7469879518072,13.2530120481928,0
"11",11,"1500000US080310003012",80310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",46,334,478,812,112,37,17,0,166,149,17,86,183,165,0,167,45,0,20.4433497536946,793,0,0,0,0,19,0,97.6600985221675,0,0,0,0,2.33990147783251,0,133,289.130434782609,646,29,17,115,485,"81310",778,20.6989247311828,4.56989247311828,95.4301075268817,646,572,74,0,0,0,196,166,0,0,91,0,0,74,0,17,81.3186813186813,0,18.6813186813187
"12",12,"1500000US080310003013",80310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",58,534,679,1213,87,0,49,129,265,87,195,173,227,132,300,74,0,25,21.8466611706513,1169,12,0,32,0,0,0,96.3726298433636,0.989282769991756,0,2.63808738664468,0,0,0,449,774.137931034483,895,79,208,189,419,"63594",1152,29.0909090909091,15.7575757575758,84.2424242424242,948,870,53,25,0,0,117,39,0,25,117,0,0,84,0,33,71.7948717948718,0,28.2051282051282
"13",13,"1500000US080310003014",80310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",56,567,750,1317,18,51,17,54,140,69,71,202,185,299,157,80,117,137,10.6302201974184,952,0,0,45,0,304,32,72.285497342445,0,0,3.41685649202733,0,23.0827638572513,2.42976461655277,488,871.428571428571,1078,276,186,105,511,"57609",1143,44.5054945054945,26.6483516483516,73.3516483516484,1177,851,285,13,28,0,456,284,65,0,117,0,0,38,0,79,32.4786324786325,0,67.5213675213675
