GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Total
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",86
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",127
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",80
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",182
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",161
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",32
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",111
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",83
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",79
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",49
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",46
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",58
1500000US080310003014,080310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",56
1500000US080310003015,080310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",40
1500000US080310003016,080310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",47
1500000US080310003021,080310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",36
1500000US080310003022,080310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",50
1500000US080310003023,080310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",45
1500000US080310003024,080310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",43
1500000US080310003025,080310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",79
1500000US080310003031,080310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",39
1500000US080310003032,080310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",62
1500000US080310003033,080310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",72
1500000US080310003034,080310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",37
1500000US080310003035,080310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",51
1500000US080310003036,080310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",43
1500000US080310004011,080310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",70
1500000US080310004012,080310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",80
1500000US080310004013,080310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",68
1500000US080310004014,080310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",82
1500000US080310004021,080310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",43
1500000US080310004022,080310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",75
1500000US080310004023,080310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",80
1500000US080310004024,080310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",36
1500000US080310004025,080310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",50
1500000US080310004026,080310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",30
1500000US080310005011,080310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",181
1500000US080310005012,080310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",153
1500000US080310005021,080310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",59
1500000US080310005022,080310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",65
1500000US080310005023,080310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",41
1500000US080310005024,080310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",54
1500000US080310005025,080310005025,"Block Group 5, Census Tract 5.02, Denver County, Colorado",54
1500000US080310006001,080310006001,"Block Group 1, Census Tract 6, Denver County, Colorado",113
1500000US080310006002,080310006002,"Block Group 2, Census Tract 6, Denver County, Colorado",115
1500000US080310007011,080310007011,"Block Group 1, Census Tract 7.01, Denver County, Colorado",112
1500000US080310007012,080310007012,"Block Group 2, Census Tract 7.01, Denver County, Colorado",75
1500000US080310007013,080310007013,"Block Group 3, Census Tract 7.01, Denver County, Colorado",103
1500000US080310007021,080310007021,"Block Group 1, Census Tract 7.02, Denver County, Colorado",58
1500000US080310007022,080310007022,"Block Group 2, Census Tract 7.02, Denver County, Colorado",95
1500000US080310007023,080310007023,"Block Group 3, Census Tract 7.02, Denver County, Colorado",68
1500000US080310007024,080310007024,"Block Group 4, Census Tract 7.02, Denver County, Colorado",53
1500000US080310007025,080310007025,"Block Group 5, Census Tract 7.02, Denver County, Colorado",46
1500000US080310008001,080310008001,"Block Group 1, Census Tract 8, Denver County, Colorado",164
1500000US080310009021,080310009021,"Block Group 1, Census Tract 9.02, Denver County, Colorado",43
1500000US080310009022,080310009022,"Block Group 2, Census Tract 9.02, Denver County, Colorado",62
1500000US080310009023,080310009023,"Block Group 3, Census Tract 9.02, Denver County, Colorado",72
1500000US080310009024,080310009024,"Block Group 4, Census Tract 9.02, Denver County, Colorado",124
1500000US080310009025,080310009025,"Block Group 5, Census Tract 9.02, Denver County, Colorado",104
1500000US080310009031,080310009031,"Block Group 1, Census Tract 9.03, Denver County, Colorado",99
