GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 5 years,Margin of Error; Male: - Under 5 years,Estimate; Male: - 5 to 9 years,Margin of Error; Male: - 5 to 9 years,Estimate; Male: - 10 to 14 years,Margin of Error; Male: - 10 to 14 years,Estimate; Male: - 15 to 17 years,Margin of Error; Male: - 15 to 17 years,Estimate; Male: - 18 and 19 years,Margin of Error; Male: - 18 and 19 years,Estimate; Male: - 20 years,Margin of Error; Male: - 20 years,Estimate; Male: - 21 years,Margin of Error; Male: - 21 years,Estimate; Male: - 22 to 24 years,Margin of Error; Male: - 22 to 24 years,Estimate; Male: - 25 to 29 years,Margin of Error; Male: - 25 to 29 years,Estimate; Male: - 30 to 34 years,Margin of Error; Male: - 30 to 34 years,Estimate; Male: - 35 to 39 years,Margin of Error; Male: - 35 to 39 years,Estimate; Male: - 40 to 44 years,Margin of Error; Male: - 40 to 44 years,Estimate; Male: - 45 to 49 years,Margin of Error; Male: - 45 to 49 years,Estimate; Male: - 50 to 54 years,Margin of Error; Male: - 50 to 54 years,Estimate; Male: - 55 to 59 years,Margin of Error; Male: - 55 to 59 years,Estimate; Male: - 60 and 61 years,Margin of Error; Male: - 60 and 61 years,Estimate; Male: - 62 to 64 years,Margin of Error; Male: - 62 to 64 years,Estimate; Male: - 65 and 66 years,Margin of Error; Male: - 65 and 66 years,Estimate; Male: - 67 to 69 years,Margin of Error; Male: - 67 to 69 years,Estimate; Male: - 70 to 74 years,Margin of Error; Male: - 70 to 74 years,Estimate; Male: - 75 to 79 years,Margin of Error; Male: - 75 to 79 years,Estimate; Male: - 80 to 84 years,Margin of Error; Male: - 80 to 84 years,Estimate; Male: - 85 years and over,Margin of Error; Male: - 85 years and over,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 5 years,Margin of Error; Female: - Under 5 years,Estimate; Female: - 5 to 9 years,Margin of Error; Female: - 5 to 9 years,Estimate; Female: - 10 to 14 years,Margin of Error; Female: - 10 to 14 years,Estimate; Female: - 15 to 17 years,Margin of Error; Female: - 15 to 17 years,Estimate; Female: - 18 and 19 years,Margin of Error; Female: - 18 and 19 years,Estimate; Female: - 20 years,Margin of Error; Female: - 20 years,Estimate; Female: - 21 years,Margin of Error; Female: - 21 years,Estimate; Female: - 22 to 24 years,Margin of Error; Female: - 22 to 24 years,Estimate; Female: - 25 to 29 years,Margin of Error; Female: - 25 to 29 years,Estimate; Female: - 30 to 34 years,Margin of Error; Female: - 30 to 34 years,Estimate; Female: - 35 to 39 years,Margin of Error; Female: - 35 to 39 years,Estimate; Female: - 40 to 44 years,Margin of Error; Female: - 40 to 44 years,Estimate; Female: - 45 to 49 years,Margin of Error; Female: - 45 to 49 years,Estimate; Female: - 50 to 54 years,Margin of Error; Female: - 50 to 54 years,Estimate; Female: - 55 to 59 years,Margin of Error; Female: - 55 to 59 years,Estimate; Female: - 60 and 61 years,Margin of Error; Female: - 60 and 61 years,Estimate; Female: - 62 to 64 years,Margin of Error; Female: - 62 to 64 years,Estimate; Female: - 65 and 66 years,Margin of Error; Female: - 65 and 66 years,Estimate; Female: - 67 to 69 years,Margin of Error; Female: - 67 to 69 years,Estimate; Female: - 70 to 74 years,Margin of Error; Female: - 70 to 74 years,Estimate; Female: - 75 to 79 years,Margin of Error; Female: - 75 to 79 years,Estimate; Female: - 80 to 84 years,Margin of Error; Female: - 80 to 84 years,Estimate; Female: - 85 years and over,Margin of Error; Female: - 85 years and over
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",938,200,494,108,55,35,0,12,0,12,28,30,0,12,0,12,0,12,40,45,35,31,11,19,62,42,47,60,44,38,59,42,12,15,10,15,16,18,15,15,28,24,10,15,22,24,0,12,0,12,444,114,35,47,13,20,11,17,0,12,13,16,0,12,13,20,17,21,11,17,53,37,64,48,12,19,70,67,15,17,18,18,7,11,7,14,9,14,29,26,23,26,11,16,13,20,0,12
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1670,240,851,154,145,93,21,28,0,12,0,12,16,25,0,12,6,10,15,23,80,49,104,58,134,64,42,33,95,58,45,46,27,24,27,23,18,19,32,33,26,29,7,12,0,12,11,16,0,12,819,147,57,57,0,12,40,51,0,12,0,12,0,12,0,12,18,27,108,61,155,76,94,69,117,61,32,22,24,27,53,44,0,12,25,25,0,12,30,22,15,22,18,19,0,12,33,27
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",848,183,416,104,38,32,10,14,34,24,10,16,0,12,0,12,0,12,0,12,16,19,99,60,22,24,79,49,23,25,12,18,23,24,7,13,22,19,7,10,0,12,14,16,0,12,0,12,0,12,432,99,48,37,21,23,0,12,0,12,5,8,0,12,0,12,0,12,49,39,47,38,80,49,37,31,30,25,24,22,19,21,16,17,18,20,7,11,20,17,11,18,0,12,0,12,0,12
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1820,327,864,199,47,45,22,28,25,25,0,12,0,12,0,12,0,12,33,29,62,41,185,98,48,34,48,46,39,35,42,36,91,59,74,63,45,40,10,14,25,25,32,27,0,12,9,16,27,28,956,217,29,33,46,44,46,35,31,29,33,31,16,26,0,12,25,26,125,71,83,49,33,27,34,30,20,20,40,31,80,53,36,30,47,43,13,21,8,13,60,51,27,26,102,101,22,29
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2061,369,1044,241,52,69,63,43,104,86,48,37,26,41,0,12,16,26,55,62,74,58,134,57,37,31,132,66,11,16,79,60,23,21,12,19,67,49,12,18,57,51,23,21,19,22,0,12,0,12,1017,208,20,20,16,19,45,54,79,74,4,6,0,12,10,17,12,19,126,94,171,84,87,42,100,54,39,37,81,58,124,65,17,19,13,16,0,12,22,17,51,36,0,12,0,12,0,12
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",661,296,222,108,0,12,0,12,26,40,57,56,0,12,0,12,0,12,0,12,0,12,19,31,17,25,0,12,67,54,9,14,0,12,0,12,0,12,10,16,0,12,17,18,0,12,0,12,0,12,439,253,48,56,15,23,71,64,38,46,0,12,0,12,0,12,0,12,15,23,0,12,56,59,0,12,0,12,0,12,124,86,0,12,0,12,19,19,0,12,9,14,44,53,0,12,0,12
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1455,275,819,160,56,62,100,63,74,54,0,12,11,18,0,12,13,20,5,8,61,64,118,74,49,41,119,77,62,45,40,50,22,24,0,12,11,18,0,12,16,13,20,22,22,24,20,21,0,12,636,156,16,20,12,19,23,26,30,44,6,11,0,12,0,12,0,12,70,57,68,39,77,65,30,33,0,12,12,15,95,54,18,27,48,40,8,13,10,16,38,47,54,38,21,22,0,12
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",827,203,388,109,11,17,44,44,0,12,0,12,7,10,0,12,6,16,0,12,8,12,26,29,82,42,36,34,19,22,48,34,25,22,9,15,38,32,0,12,9,14,10,16,10,15,0,12,0,12,439,115,48,47,17,21,19,22,9,15,0,12,0,12,0,12,7,17,24,28,55,38,64,37,26,27,18,22,61,34,7,11,6,14,17,20,7,13,16,26,27,24,11,17,0,12,0,12
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1051,264,489,139,16,24,13,22,72,56,0,12,0,12,13,19,0,12,22,33,89,70,44,30,72,70,43,34,19,30,17,23,0,12,0,12,9,14,8,12,0,12,42,38,10,15,0,12,0,12,562,148,57,73,13,22,0,12,0,12,13,19,0,12,0,12,37,53,52,59,37,32,74,60,58,39,79,73,25,35,45,31,15,18,10,15,0,12,9,14,12,20,17,20,9,14,0,12
