GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",938,200,855,194,0,12,13,21,0,12,0,12,34,40,36,30,0,12,36,30
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1670,240,1383,266,16,26,19,30,9,14,0,12,227,125,16,18,9,13,7,11
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",848,183,679,167,48,37,0,12,27,30,0,12,19,21,75,67,0,12,75,67
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1820,327,1582,302,41,77,40,63,25,40,14,25,49,50,69,80,0,12,69,80
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2061,369,1861,349,40,34,10,15,7,11,0,12,94,79,49,43,16,26,33,34
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",661,296,415,235,52,71,152,224,31,45,0,12,11,18,0,12,0,12,0,12
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1455,275,1238,269,0,12,63,57,0,12,0,12,109,86,45,59,0,12,45,59
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",827,203,709,175,33,46,17,21,16,20,0,12,19,22,33,40,0,12,33,40
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1051,264,936,274,31,35,52,47,13,20,0,12,0,12,19,21,9,14,10,16
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",796,208,752,216,0,12,0,12,0,12,0,12,31,33,13,23,0,12,13,23
