GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",938,200,663,168,275,160
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1670,240,1161,219,509,204
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",848,183,798,182,50,34
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1820,327,858,163,962,305
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2061,369,738,133,1323,385
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",661,296,335,183,326,208
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1455,275,608,212,847,188
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",827,203,610,160,217,124
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1051,264,543,177,508,275
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",796,208,669,197,127,104
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",812,198,679,191,133,105
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",1213,369,764,220,449,327
1500000US080310003014,080310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",1317,405,829,226,488,368
1500000US080310003015,080310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",780,208,562,157,218,180
1500000US080310003016,080310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",824,246,640,161,184,177
1500000US080310003021,080310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",771,404,700,393,71,94
1500000US080310003022,080310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",936,381,875,386,61,68
1500000US080310003023,080310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",784,258,612,227,172,152
1500000US080310003024,080310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",779,259,724,249,55,77
1500000US080310003025,080310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",1303,397,1184,380,119,173
1500000US080310003031,080310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",586,216,421,131,165,170
1500000US080310003032,080310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",769,243,613,148,156,179
1500000US080310003033,080310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",1093,205,1000,180,93,70
1500000US080310003034,080310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",492,129,342,109,150,110
1500000US080310003035,080310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",841,182,804,178,37,43
1500000US080310003036,080310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",645,156,639,156,6,14
1500000US080310004011,080310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",755,241,475,146,280,195
1500000US080310004012,080310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",1009,367,387,114,622,376
1500000US080310004013,080310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",758,186,551,171,207,115
1500000US080310004014,080310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",906,221,619,158,287,222
1500000US080310004021,080310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",544,152,446,159,98,101
1500000US080310004022,080310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",1280,279,1034,185,246,217
