GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",713,158,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,37,59,0,12,0,12,0,12,0,12,47,49,37,59,45,34,100,59,37,31,218,88,119,41,53,39,20,22
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1352,153,19,22,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,17,0,12,22,23,19,30,0,12,191,94,64,61,42,37,169,71,83,67,545,101,132,57,6,10,45,56
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",682,139,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,29,0,12,27,25,51,34,38,35,378,115,115,55,40,46,0,12
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1467,255,50,47,0,12,0,12,0,12,0,12,29,44,0,12,0,12,74,69,0,12,39,35,31,37,73,55,18,25,52,60,300,136,78,58,65,64,191,82,98,57,206,97,135,57,6,14,22,20
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",1511,219,31,24,0,12,0,12,0,12,0,12,39,47,0,12,0,12,103,73,9,14,50,61,45,53,21,32,28,36,26,29,284,124,148,84,49,39,141,71,82,57,325,96,113,78,7,11,10,15
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",406,160,49,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,34,33,0,12,41,35,0,12,29,31,46,48,15,23,123,127,40,47,19,21,0,12,0,12,0,12
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1109,158,36,25,0,12,0,12,0,12,0,12,7,12,0,12,0,12,63,79,7,13,0,12,27,44,31,32,58,68,11,18,210,99,125,66,60,37,135,76,99,77,156,66,53,43,9,13,22,23
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",659,138,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,7,11,9,14,37,44,20,23,59,52,0,12,56,42,90,57,33,31,154,62,141,64,31,23,12,19
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",795,170,12,20,0,12,0,12,0,12,0,12,8,13,0,12,0,12,35,59,0,12,38,38,0,12,25,35,0,12,39,34,169,135,37,26,24,18,80,52,37,29,199,83,70,66,22,23,0,12
