GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 5 to 17 years:,Margin of Error; 5 to 17 years:,Estimate; 5 to 17 years: - Speak only English,Margin of Error; 5 to 17 years: - Speak only English,Estimate; 5 to 17 years: - Speak Spanish:,Margin of Error; 5 to 17 years: - Speak Spanish:,"Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other Indo-European languages:,Margin of Error; 5 to 17 years: - Speak other Indo-European languages:,"Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages:,Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages:,"Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 5 to 17 years: - Speak other languages:,Margin of Error; 5 to 17 years: - Speak other languages:,"Estimate; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""very well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not well""","Estimate; 5 to 17 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 5 to 17 years: - Speak other languages: - Speak English ""not at all""",Estimate; 18 to 64 years:,Margin of Error; 18 to 64 years:,Estimate; 18 to 64 years: - Speak only English,Margin of Error; 18 to 64 years: - Speak only English,Estimate; 18 to 64 years: - Speak Spanish:,Margin of Error; 18 to 64 years: - Speak Spanish:,"Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Spanish: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other Indo-European languages:,Margin of Error; 18 to 64 years: - Speak other Indo-European languages:,"Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages:,Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages:,"Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 18 to 64 years: - Speak other languages:,Margin of Error; 18 to 64 years: - Speak other languages:,"Estimate; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""very well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not well""","Estimate; 18 to 64 years: - Speak other languages: - Speak English ""not at all""","Margin of Error; 18 to 64 years: - Speak other languages: - Speak English ""not at all""",Estimate; 65 years and over:,Margin of Error; 65 years and over:,Estimate; 65 years and over: - Speak only English,Margin of Error; 65 years and over: - Speak only English,Estimate; 65 years and over: - Speak Spanish:,Margin of Error; 65 years and over: - Speak Spanish:,"Estimate; 65 years and over: - Speak Spanish: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""very well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not well""","Estimate; 65 years and over: - Speak Spanish: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Spanish: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other Indo-European languages:,Margin of Error; 65 years and over: - Speak other Indo-European languages:,"Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other Indo-European languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak Asian and Pacific Island languages:,Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages:,"Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak Asian and Pacific Island languages: - Speak English ""not at all""",Estimate; 65 years and over: - Speak other languages:,Margin of Error; 65 years and over: - Speak other languages:,"Estimate; 65 years and over: - Speak other languages: - Speak English ""very well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""very well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not well""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not well""","Estimate; 65 years and over: - Speak other languages: - Speak English ""not at all""","Margin of Error; 65 years and over: - Speak other languages: - Speak English ""not at all"""
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",848,176,52,40,52,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,636,170,499,134,137,122,100,68,0,12,37,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,160,62,107,49,42,42,42,42,0,12,0,12,0,12,11,17,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1468,195,61,59,45,53,16,24,16,24,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1235,170,1042,160,187,108,179,106,0,12,8,13,0,12,6,10,6,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,172,57,118,60,42,29,42,29,0,12,0,12,0,12,12,17,0,12,12,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",762,153,75,40,75,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,628,140,603,136,25,27,25,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,59,31,59,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1744,309,170,104,104,63,66,74,17,31,19,23,30,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1239,253,799,150,403,205,247,128,87,73,31,26,38,64,12,18,12,18,0,12,0,12,0,12,25,40,25,40,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,335,132,265,124,60,52,31,30,0,12,29,44,0,12,10,16,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",1989,354,355,132,92,78,263,129,189,104,74,94,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1450,266,815,143,615,272,207,142,113,68,234,123,61,48,8,12,8,12,0,12,0,12,0,12,7,11,0,12,7,11,0,12,0,12,5,11,0,12,5,11,0,12,0,12,184,65,75,46,109,64,69,54,29,35,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",613,268,207,153,207,153,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,307,144,290,143,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,17,25,0,12,17,25,0,12,0,12,0,12,0,12,0,12,0,12,0,12,99,56,46,35,39,48,9,14,0,12,0,12,30,48,0,12,0,12,0,12,0,12,0,12,14,20,0,12,0,12,14,20,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1383,259,239,147,221,145,18,23,7,13,11,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,935,150,694,154,241,98,130,80,52,43,27,30,32,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,209,70,119,63,90,48,48,38,0,12,19,22,23,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",768,179,89,61,89,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,589,148,537,145,43,65,0,12,16,25,17,26,10,15,0,12,0,12,0,12,0,12,0,12,9,16,9,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,90,56,76,56,7,11,0,12,7,11,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,13,0,12,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",978,237,98,77,98,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,773,192,627,211,108,115,41,40,0,12,67,112,0,12,38,34,38,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,107,59,76,48,31,33,31,33,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
