GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children of the householder under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No related children of the householder under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children of the householder under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children of the householder under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years"
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",215,65,10,17,10,17,0,12,0,12,0,12,0,12,10,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,205,62,174,61,64,40,32,28,14,23,18,28,110,46,31,28,31,28,25,27,0,12,0,12,25,27,6,8,0,12,0,12,0,12,0,12,0,12,0,12
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",440,92,49,57,19,30,19,30,19,30,0,12,0,12,0,12,30,46,0,12,0,12,0,12,0,12,0,12,0,12,30,46,30,46,30,46,0,12,0,12,0,12,391,102,260,79,96,59,76,57,20,26,0,12,164,59,131,78,31,32,10,15,0,12,0,12,10,15,21,28,100,70,45,54,13,20,0,12,32,51,55,46
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",225,71,9,14,0,12,0,12,0,12,0,12,0,12,0,12,9,14,0,12,0,12,0,12,0,12,0,12,0,12,9,14,9,14,0,12,0,12,9,14,0,12,216,70,202,68,82,42,41,35,9,15,32,26,120,51,14,21,0,12,0,12,0,12,0,12,0,12,0,12,14,21,14,21,0,12,14,21,0,12,0,12
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",317,81,39,29,0,12,0,12,0,12,0,12,0,12,0,12,39,29,0,12,0,12,0,12,0,12,0,12,0,12,39,29,29,23,0,12,0,12,29,23,10,16,278,77,245,77,102,53,41,37,17,19,44,36,143,61,33,25,17,21,3,8,0,12,0,12,3,8,14,19,16,18,6,10,0,12,0,12,6,10,10,16
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",509,105,14,18,0,12,0,12,0,12,0,12,0,12,0,12,14,18,0,12,0,12,0,12,0,12,0,12,0,12,14,18,14,18,0,12,0,12,14,18,0,12,495,109,420,105,197,91,4,8,26,30,167,90,223,85,75,41,23,28,0,12,0,12,0,12,0,12,23,28,52,30,16,20,0,12,8,14,8,13,36,25
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",155,78,118,75,7,13,0,12,0,12,0,12,0,12,7,13,111,73,0,12,0,12,0,12,0,12,0,12,0,12,111,73,111,73,0,12,47,54,64,63,0,12,37,31,10,13,0,12,0,12,0,12,0,12,10,13,27,28,0,12,0,12,0,12,0,12,0,12,0,12,27,28,0,12,0,12,0,12,0,12,27,28
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",348,84,20,26,0,12,0,12,0,12,0,12,0,12,0,12,20,26,0,12,0,12,0,12,0,12,0,12,0,12,20,26,20,26,0,12,0,12,20,26,0,12,328,77,231,71,93,64,18,22,9,15,66,57,138,51,97,56,31,27,22,22,0,12,0,12,22,22,9,17,66,57,44,52,29,46,0,12,15,22,22,25
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",231,63,7,11,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,0,12,0,12,7,11,0,12,0,12,0,12,0,12,7,11,224,62,170,59,64,41,35,30,13,21,16,20,106,40,54,38,34,31,34,31,0,12,0,12,34,31,0,12,20,23,9,14,0,12,0,12,9,14,11,18
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",267,74,26,29,9,14,0,12,0,12,0,12,0,12,9,14,17,25,0,12,0,12,0,12,0,12,0,12,0,12,17,25,17,25,17,25,0,12,0,12,0,12,241,72,174,73,76,69,35,59,0,12,41,38,98,53,67,47,46,42,0,12,0,12,0,12,0,12,46,42,21,23,11,18,0,12,0,12,11,18,10,15
