GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",115909,33446
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",79659,13325
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",86313,30210
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",47500,22713
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",55598,12912
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",7500,6123
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",52930,19441
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",95909,20588
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",70625,35654
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",-,**
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",81310,36786
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",63594,15520
1500000US080310003014,080310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",57609,48346
1500000US080310003015,080310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",68843,33837
1500000US080310003016,080310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",74333,58331
1500000US080310003021,080310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",140385,70951
1500000US080310003022,080310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",100750,56400
1500000US080310003023,080310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",84750,74683
1500000US080310003024,080310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",94688,52571
1500000US080310003025,080310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",70797,34537
1500000US080310003031,080310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",108646,6603
1500000US080310003032,080310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",-,**
1500000US080310003033,080310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",77333,39956
