GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07
Id,Id2,Geography,Estimate; Total:,Estimate; Native:,Estimate; Native: - Allocated,Estimate; Native: - Not allocated,Estimate; Foreign born:,Estimate; Foreign born: - Allocated,Estimate; Foreign born: - Not allocated
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",938,890,90,800,48,0,48
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1670,1580,120,1460,90,8,82
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",848,832,54,778,16,0,16
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1820,1511,145,1366,309,0,309
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2061,1581,213,1368,480,138,342
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",661,600,0,600,61,0,61
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1455,1336,142,1194,119,12,107
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",827,759,16,743,68,0,68
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1051,975,60,915,76,0,76
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",796,710,76,634,86,22,64
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",812,778,29,749,34,0,34
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",1213,1152,19,1133,61,5,56
1500000US080310003014,080310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",1317,1143,85,1058,174,0,174
1500000US080310003015,080310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",780,668,22,646,112,0,112
1500000US080310003016,080310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",824,801,0,801,23,0,23
1500000US080310003021,080310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",771,771,0,771,0,0,0
1500000US080310003022,080310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",936,936,51,885,0,0,0
1500000US080310003023,080310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",784,760,18,742,24,0,24
1500000US080310003024,080310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",779,737,0,737,42,0,42
1500000US080310003025,080310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",1303,1233,40,1193,70,0,70
1500000US080310003031,080310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",586,552,103,449,34,0,34
1500000US080310003032,080310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",769,746,68,678,23,0,23
1500000US080310003033,080310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",1093,993,95,898,100,0,100
1500000US080310003034,080310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",492,474,0,474,18,0,18
1500000US080310003035,080310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",841,810,262,548,31,0,31
1500000US080310003036,080310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",645,610,0,610,35,0,35
1500000US080310004011,080310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",755,576,0,576,179,0,179
1500000US080310004012,080310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",1009,934,68,866,75,16,59
1500000US080310004013,080310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",758,712,49,663,46,0,46
1500000US080310004014,080310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",906,864,30,834,42,8,34
1500000US080310004021,080310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",544,544,16,528,0,0,0
1500000US080310004022,080310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",1280,1239,94,1145,41,0,41
1500000US080310004023,080310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",1275,1110,41,1069,165,0,165
1500000US080310004024,080310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",751,628,38,590,123,0,123
1500000US080310004025,080310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",843,771,45,726,72,0,72
1500000US080310004026,080310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",481,481,31,450,0,0,0
1500000US080310005011,080310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",1103,1069,87,982,34,5,29
1500000US080310005012,080310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",915,877,59,818,38,0,38
1500000US080310005021,080310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",1152,1115,194,921,37,0,37
1500000US080310005022,080310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",1241,1167,78,1089,74,0,74
1500000US080310005023,080310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",1069,968,63,905,101,0,101
1500000US080310005024,080310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",1391,1309,33,1276,82,0,82
1500000US080310005025,080310005025,"Block Group 5, Census Tract 5.02, Denver County, Colorado",1063,962,9,953,101,0,101
1500000US080310006001,080310006001,"Block Group 1, Census Tract 6, Denver County, Colorado",1388,1177,101,1076,211,0,211
1500000US080310006002,080310006002,"Block Group 2, Census Tract 6, Denver County, Colorado",1860,1236,39,1197,624,12,612
1500000US080310007011,080310007011,"Block Group 1, Census Tract 7.01, Denver County, Colorado",1678,1472,43,1429,206,23,183
1500000US080310007012,080310007012,"Block Group 2, Census Tract 7.01, Denver County, Colorado",1128,945,89,856,183,0,183
1500000US080310007013,080310007013,"Block Group 3, Census Tract 7.01, Denver County, Colorado",1545,1430,237,1193,115,0,115
1500000US080310007021,080310007021,"Block Group 1, Census Tract 7.02, Denver County, Colorado",901,667,0,667,234,0,234
1500000US080310007022,080310007022,"Block Group 2, Census Tract 7.02, Denver County, Colorado",1572,1204,190,1014,368,24,344
1500000US080310007023,080310007023,"Block Group 3, Census Tract 7.02, Denver County, Colorado",1478,1010,137,873,468,0,468
1500000US080310007024,080310007024,"Block Group 4, Census Tract 7.02, Denver County, Colorado",584,567,15,552,17,9,8
1500000US080310007025,080310007025,"Block Group 5, Census Tract 7.02, Denver County, Colorado",593,554,122,432,39,0,39
1500000US080310008001,080310008001,"Block Group 1, Census Tract 8, Denver County, Colorado",1441,1151,112,1039,290,0,290
1500000US080310009021,080310009021,"Block Group 1, Census Tract 9.02, Denver County, Colorado",540,356,3,353,184,0,184
1500000US080310009022,080310009022,"Block Group 2, Census Tract 9.02, Denver County, Colorado",1117,593,47,546,524,0,524
1500000US080310009023,080310009023,"Block Group 3, Census Tract 9.02, Denver County, Colorado",1187,883,31,852,304,10,294
1500000US080310009024,080310009024,"Block Group 4, Census Tract 9.02, Denver County, Colorado",1830,1404,122,1282,426,34,392
1500000US080310009025,080310009025,"Block Group 5, Census Tract 9.02, Denver County, Colorado",1574,1089,60,1029,485,7,478
1500000US080310009031,080310009031,"Block Group 1, Census Tract 9.03, Denver County, Colorado",1498,1104,326,778,394,23,371
1500000US080310009032,080310009032,"Block Group 2, Census Tract 9.03, Denver County, Colorado",1332,910,10,900,422,0,422
1500000US080310009033,080310009033,"Block Group 3, Census Tract 9.03, Denver County, Colorado",1106,843,140,703,263,41,222
1500000US080310009034,080310009034,"Block Group 4, Census Tract 9.03, Denver County, Colorado",1761,1350,19,1331,411,0,411
1500000US080310009035,080310009035,"Block Group 5, Census Tract 9.03, Denver County, Colorado",756,522,17,505,234,47,187
1500000US080310009041,080310009041,"Block Group 1, Census Tract 9.04, Denver County, Colorado",1072,755,23,732,317,0,317
1500000US080310009042,080310009042,"Block Group 2, Census Tract 9.04, Denver County, Colorado",1650,1270,144,1126,380,25,355
1500000US080310009043,080310009043,"Block Group 3, Census Tract 9.04, Denver County, Colorado",770,574,117,457,196,0,196
1500000US080310009044,080310009044,"Block Group 4, Census Tract 9.04, Denver County, Colorado",1687,1131,22,1109,556,0,556
1500000US080310009051,080310009051,"Block Group 1, Census Tract 9.05, Denver County, Colorado",1003,771,206,565,232,0,232
1500000US080310009052,080310009052,"Block Group 2, Census Tract 9.05, Denver County, Colorado",1008,672,66,606,336,10,326
1500000US080310009053,080310009053,"Block Group 3, Census Tract 9.05, Denver County, Colorado",826,530,69,461,296,0,296
1500000US080310009054,080310009054,"Block Group 4, Census Tract 9.05, Denver County, Colorado",1384,1133,127,1006,251,22,229
1500000US080310010001,080310010001,"Block Group 1, Census Tract 10, Denver County, Colorado",1390,707,70,637,683,27,656
1500000US080310010002,080310010002,"Block Group 2, Census Tract 10, Denver County, Colorado",944,600,189,411,344,79,265
1500000US080310010003,080310010003,"Block Group 3, Census Tract 10, Denver County, Colorado",1904,1352,72,1280,552,0,552
1500000US080310011011,080310011011,"Block Group 1, Census Tract 11.01, Denver County, Colorado",291,253,28,225,38,0,38
1500000US080310011012,080310011012,"Block Group 2, Census Tract 11.01, Denver County, Colorado",619,485,15,470,134,0,134
1500000US080310011013,080310011013,"Block Group 3, Census Tract 11.01, Denver County, Colorado",758,576,34,542,182,11,171
1500000US080310011014,080310011014,"Block Group 4, Census Tract 11.01, Denver County, Colorado",958,883,74,809,75,6,69
1500000US080310011021,080310011021,"Block Group 1, Census Tract 11.02, Denver County, Colorado",1075,853,9,844,222,9,213
1500000US080310011022,080310011022,"Block Group 2, Census Tract 11.02, Denver County, Colorado",745,590,9,581,155,0,155
1500000US080310011023,080310011023,"Block Group 3, Census Tract 11.02, Denver County, Colorado",2007,1812,77,1735,195,14,181
1500000US080310013011,080310013011,"Block Group 1, Census Tract 13.01, Denver County, Colorado",1100,683,42,641,417,3,414
1500000US080310013012,080310013012,"Block Group 2, Census Tract 13.01, Denver County, Colorado",1274,821,24,797,453,0,453
1500000US080310013013,080310013013,"Block Group 3, Census Tract 13.01, Denver County, Colorado",1345,1087,47,1040,258,47,211
1500000US080310013014,080310013014,"Block Group 4, Census Tract 13.01, Denver County, Colorado",947,606,0,606,341,0,341
1500000US080310013015,080310013015,"Block Group 5, Census Tract 13.01, Denver County, Colorado",785,496,26,470,289,40,249
1500000US080310013021,080310013021,"Block Group 1, Census Tract 13.02, Denver County, Colorado",1736,1328,43,1285,408,0,408
1500000US080310013022,080310013022,"Block Group 2, Census Tract 13.02, Denver County, Colorado",1174,724,54,670,450,74,376
1500000US080310013023,080310013023,"Block Group 3, Census Tract 13.02, Denver County, Colorado",1385,1220,26,1194,165,24,141
1500000US080310014011,080310014011,"Block Group 1, Census Tract 14.01, Denver County, Colorado",1172,846,86,760,326,42,284
1500000US080310014012,080310014012,"Block Group 2, Census Tract 14.01, Denver County, Colorado",580,430,60,370,150,5,145
1500000US080310014013,080310014013,"Block Group 3, Census Tract 14.01, Denver County, Colorado",1767,1070,10,1060,697,0,697
1500000US080310014014,080310014014,"Block Group 4, Census Tract 14.01, Denver County, Colorado",1650,1104,22,1082,546,116,430
1500000US080310014015,080310014015,"Block Group 5, Census Tract 14.01, Denver County, Colorado",1292,995,28,967,297,34,263
1500000US080310014021,080310014021,"Block Group 1, Census Tract 14.02, Denver County, Colorado",1420,818,0,818,602,90,512
1500000US080310014022,080310014022,"Block Group 2, Census Tract 14.02, Denver County, Colorado",857,496,0,496,361,0,361
1500000US080310014023,080310014023,"Block Group 3, Census Tract 14.02, Denver County, Colorado",1129,522,20,502,607,13,594
1500000US080310014024,080310014024,"Block Group 4, Census Tract 14.02, Denver County, Colorado",1535,1047,136,911,488,0,488
1500000US080310014031,080310014031,"Block Group 1, Census Tract 14.03, Denver County, Colorado",2012,1738,102,1636,274,0,274
1500000US080310014032,080310014032,"Block Group 2, Census Tract 14.03, Denver County, Colorado",1446,1377,53,1324,69,0,69
1500000US080310015001,080310015001,"Block Group 1, Census Tract 15, Denver County, Colorado",998,763,134,629,235,51,184
1500000US080310015002,080310015002,"Block Group 2, Census Tract 15, Denver County, Colorado",1318,982,77,905,336,13,323
1500000US080310015003,080310015003,"Block Group 3, Census Tract 15, Denver County, Colorado",1909,1590,38,1552,319,31,288
