"sport","location","tier","class","long","lat","sqft"
"Softball","Village Place Park","C","BF-C",-104.83318064,39.77769299,31381.9833697034
"Softball","City of Nairobi Park","C","BF-C",-104.94689482,39.76660726,17602.5536240022
"Soccer","Capitol Hill Reservoir","C","MU-TURF",-104.95779132,39.73236909,48551.8622312568
"Volleyball","Garland Park","C","MU-TURF",-104.91761667,39.69543181,170783.673263384
"Volleyball","Observatory Park","C","MU-TURF",-104.95297387,39.67774379,23271.4340248353
"Softball","Lindsley (Henry S) Park","C","BF-C",-104.93219971,39.73416734,31382.8350770921
"Softball","Martin Luther King Jr Park","C","BF-C",-104.90847989,39.76972811,31343.8446970642
"Softball","Observatory Park","C","BF-C",-104.95339071,39.67520251,31076.7075150948
"Softball","Atzlan Park","B","BF-C",-105.00482901,39.77799068,48681.7586895821
"Football","Harvard Gulch North","B","MU-TURF",-104.97993005,39.67578296,53948.4412655856
"Mixed-use","Jacobs Park","C","MU-TURF",-104.9046472,39.69627807,21579.1304898212
"Mixed-use","Atzlan Park","C",,-105.00502513,39.7776621,22264.8056110435
"Volleyball","Garland Park","C","MU-TURF",-104.91419791,39.69330428,178534.895443424
"Rugby","Cook Park","C","MU-TURF",-104.9074431,39.68619912,83058.5491617617
"Volleyball","Washington Park","C","MU-TURF",-104.97154663,39.7011977,69232.846854422
"Volleyball","Washington Park","C","MU-TURF",-104.9729308,39.69427127,23682.508297761
"Soccer","Lowry Sports Complex","A","MU-SYN",-104.88662116,39.71858383,84037.8163585126
"Soccer","Lowry Sports Complex","A","MU-SYN",-104.8854874,39.71916729,85226.7362869928
"Soccer","New Freedom Park","C","MU-SYN",-104.88548057,39.73655715,9665.53644895385
"Mixed-use","Chavez Park","C","MU-TURF",-105.04461551,39.77378581,25332.5413952133
"Mixed-use","Barnum Park","C","MU-TURF",-105.02729075,39.72216801,17858.0807209782
"Mixed-use","Town Center","B","MU-TURF",-104.76528677,39.78807852,35963.0797113449
"Soccer","Capitol Hill Reservoir","C","MU-TURF",-104.95856815,39.73190222,13486.6599042131
"Soccer","Capitol Hill Reservoir","C","MU-TURF",-104.9585565,39.73162001,13486.6099540723
"Soccer","Capitol Hill Reservoir","C","MU-TURF",-104.95796914,39.73181708,13486.610927682
"Soccer","Capitol Hill Reservoir","C","MU-TURF",-104.95755036,39.73181973,13486.6530924882
"Soccer","Capitol Hill Reservoir","C","MU-TURF",-104.95689122,39.73204739,69231.4989251386
"Mixed-use","City Park","C","MU-TURF",-104.94270681,39.75040691,64735.276770534
"Mixed-use","City Park","C","MU-TURF",-104.94268669,39.74983012,64735.1571278779
"Soccer","Lowry Sports Complex","B","MU-TURF",-104.88786284,39.71797387,75525.9033746049
"Soccer","Lowry Sports Complex","B","MU-TURF",-104.88866406,39.71748862,75525.8822901679
"Soccer","Lowry Sports Complex","B","MU-TURF",-104.88946013,39.71704041,75525.9154247816
"Mixed-use","Rosamond Park","C","MU-TURF",-104.89483612,39.64090586,35966.3092913902
"Mixed-use","Martin Luther King Jr Park","B",,-104.90744317,39.76987064,79119.6724269965
"Mixed-use","McWilliams Park","C",,-104.95065382,39.66797251,28772.6179049228
"Mixed-use","Schafer (Martin J) Park","C",,-104.95536053,39.76891839,28636.722747136
"Baseball","Schafer (Martin J) Park","B","BF-C",-104.95487113,39.76864995,70512.8157674546
"Softball","Schafer (Martin J) Park","C","BF-C",-104.95552388,39.76849731,31382.2455988746
"Mixed-use","Montbello Central Park","B","MU-TURF",-104.82657297,39.78265534,62619.1854533971
"Mixed-use","Montbello Central Park","B","MU-TURF",-104.82592823,39.78308721,62756.8046201143
"Mixed-use","Montbello Central Park","A","MU-TURF",-104.82725073,39.78248789,13486.2030452807
"Mixed-use","Silverman (Melvin F) Park","C","MU-TURF",-104.83981727,39.78608762,35963.1055625607
"Mixed-use","Garland Park","C","MU-TURF",-104.91843786,39.69796802,28772.0964254963
"Mixed-use","Green Valley East Ranch Park","C",,-104.75117907,39.77842051,59339.5721038756
"Softball","Green Valley East Ranch Park","C","BF-C",-104.75067114,39.7780246,31381.9724395301
"Softball","Green Valley East Ranch Park","C","BF-C",-104.75171262,39.77869173,68605.9725373641
"Mixed-use","Montbello Central Park","A","MU-TURF",-104.82684026,39.7821396,13486.1611580691
"Mixed-use","Green Valley West Ranch Park","C",,-104.76837685,39.77858836,45908.0664752108
"Softball","Green Valley West Ranch Park","C","BF-C",-104.76836193,39.77869731,31382.047135242
"Mixed-use","Hallack Park","C","MU-TURF",-105.03088093,39.74712406,28771.2377293729
"Softball","Hampden Heights Park","C","BF-C",-104.87746835,39.65644041,31476.228028523
"Softball","Hampden Heights Park","C","BF-C",-104.87782381,39.65901955,31384.3179028498
"Softball","Hampden Heights Park","C","BF-C",-104.87830489,39.65863497,31384.3524965297
"Mixed-use","Carpio Sanguinette","C","MU-TURF",-104.97255053,39.79136526,40458.3936628256
"Mixed-use","Hampden Heights Park","C",,-104.87740176,39.65645569,40461.7024011264
"Mixed-use","Hampden Heights Park","C","MU-TURF",-104.87691044,39.65710586,35965.9923664852
"Mixed-use","Hampden Heights Park","B","MU-TURF",-104.87785032,39.65833618,53948.871613179
"Mixed-use","Pferdesteller Park","C","MU-TURF",-105.05013033,39.76330291,25174.6073359197
"Mixed-use","Pinecrest Village Park","C",,-105.05564212,39.64672311,69234.8680035435
"Mixed-use","Harvard Gulch North","B","MU-TURF",-104.9786065,39.67564772,53948.4292266909
"Mixed-use","Harvard Gulch North","B","MU-TURF",-104.97875754,39.67636813,35965.5742994513
"Softball","Harvard Gulch Park","C","BF-C",-104.98178355,39.67362302,70571.8490506523
"Softball","Harvard Gulch Park","C","BF-C",-104.98128662,39.6727714,49027.110876904
"Mixed-use","Benedict Fountain Park","C","MU-TURF",-104.98248218,39.74816455,13486.5426136974
"Mixed-use","Martin Luther King Jr Park","C",,-104.90745764,39.76968548,35963.5811043756
"Softball","Kennedy Ballfields Complex","A","BF-A",-104.85465934,39.65655872,84820.180388642
"Softball","Kennedy Ballfields Complex","A","BF-A",-104.85464599,39.6574206,84371.42001054
"Softball","Kennedy Ballfields Complex","A","BF-A",-104.85350482,39.65740747,88570.0197691123
"Softball","Kennedy Ballfields Complex","A","BF-A",-104.8533796,39.65642621,121656.71613486
"Volleyball","Washington Park","C","MU-TURF",-104.97033377,39.69593993,28332.2660541429
"Mixed-use","City of Cuernavaca Park","C","MU-TURF",-105.00172092,39.76184092,44954.6292704896
"Mixed-use","City of Cuernavaca Park","C","MU-TURF",-105.00082276,39.7621175,44954.6470352155
"Mixed-use","Barnum East Park","A","MU-SYN",-105.02274773,39.72460464,70688.8392712403
"Mixed-use","Jefferson Square Park","C",,-104.92051689,39.64540955,59344.3167518684
"Softball","Lawson (Sonny) Park","A","BF-A",-104.98285092,39.75177996,59380.4274531947
"Softball","Jefferson Square Park","C","BF-C",-104.92007428,39.64537399,31575.7960305174
"Mixed-use","La Alma / Lincoln Park","C",,-105.00356468,39.73565477,28771.4180085274
"Mixed-use","La Alma / Lincoln Park","C",,-105.00359921,39.73490244,28771.4285197446
"Softball","La Alma / Lincoln Park","C","BF-C",-105.0036056,39.73556183,31382.9255133037
"Softball","La Alma / Lincoln Park","C","BF-C",-105.00358185,39.7349056,31382.9242396263
"Mixed-use","Magna Carta Park","C","MU-TURF",-104.94006847,39.65381077,28772.7426684723
"Softball","McNichols Park","C","BF-C",-104.89927891,39.74426371,28259.6401646441
"Softball","McNichols Park","C","BF-C",-104.8992696,39.74513787,31382.7189963863
"Softball","McWilliams Park","C","BF-C",-104.95058835,39.66795756,31384.173425405
"Mixed-use","Martin Luther King Jr Park","C",,-104.90745744,39.77005809,35963.4816555483
