"name","license_type","long","lat"
"COLLEGE VIEW ELEMENTARY","center",-105.023427844125,39.6683194731617
"COLONNADE CHILDRENS CENTER","center",-104.994987831733,39.7364791709523
"MONTESSORI CHILDREN'S HOUSE OF DENVER, INC.","center",-104.936470163995,39.7395791802222
"FELECIAS DAY CARE","home",-104.956486724764,39.7625084225801
"KIPP COLORADO SCHOOLS","center",-105.031247628553,39.7101839553576
"DUMB FRIENDS LEAGUE","center",-104.901678302511,39.6791807236472
"STEPPING STONES LEARNING CENTER","center",-104.818580027413,39.7790092025677
"LITTLE CHILDREN DAYCARE","home",-104.756049695087,39.7788722830699
"WHERE DREAMS BEGIN LEARNING CENTER","center",-104.973654195176,39.7685545985606
"ST STEPHEN MISSIONARY BAPTIST CHURCH","center",-104.892645425673,39.7483272300252
"GLENDA'S CHILD CARE","home",-104.739222344912,39.7826218697014
"DENVER ATHLETIC CLUB","center",-104.993691312019,39.7417115699744
"LITTLE FOLKS LEARNING CENTER","center",-104.911097818756,39.6998402317536
"DENVER PUBLIC SCHOOLS","center",-105.064239663494,39.6169394033726
"LARKS PRESCHOOL, INC","center",-104.982433360092,39.7030940705827
"AURARIA EARLY LEARNING CENTER","center",-105.003220095661,39.7404070032317
"DENVER MUSEUM OF NATURE & SCIENCE","center",-104.94546888771,39.7492001791987
"DENVER PUBLIC SCHOOLS","center",-104.748434365402,39.7730121577658
"VOLUNTEERS OF AMERICA COLORADO BRANCH","center",-105.051017159424,39.7107826845343
"ABN COLUMBINE MONTESSORI","center",-104.990075003872,39.7196760928657
"MONTESSORI EDUCATION CENTERS, CO","center",-104.99468727464,39.748090347164
"CLIFTON EVERSLEY ACADEMY, LLC","center",-104.981358991186,39.7734396303198
"DENVER PUBLIC SCHOOLS","center",-104.906268089197,39.6880686889588
"SMITH DAY CARE","home",-104.938013901607,39.7581610407755
"MUNCHKIN LAND","home",-104.759160890398,39.7760368127617
"DENVER PUBLIC SCHOOLS","center",-104.896467501568,39.7129133872803
"DENVER PUBLIC SCHOOLS","center",-104.955696492891,39.66131847871
"DEFFEBAUGH'S DAYCARE","home",-104.756543488882,39.7715647215038
"WESTWOOD MONTESSORI EARLY LEARING CENTER","center",-105.033681759402,39.6985178899463
"ACADEMY 360","center",-104.850367885975,39.7819890434008
"DENVER PUBLIC SCHOOLS","center",-105.033873187098,39.7542339734988
"SHANDRAH FAITH LOPEZ","home",-104.902587268816,39.744372758649
"KRISTY'S KRADLE","home",-104.890159922637,39.6403130773461
"CRESTMOOR LEARNING CENTER","center",-104.913236120529,39.7127319356206
"CHILD CARE PARTNERS INC","center",-104.988184153998,39.7488611159661
"CANNON LEARNING 1","center",-104.887329497347,39.7388613936127
"YMCA AT JOE SHOEMAKER SCHOOL","center",-104.867421322972,39.658661021049
"DENVER PUBLIC SCHOOLS","center",-105.02052467057,39.733472869023
"DENVER PUBLIC SCHOOLS","center",-104.91815727142,39.7592614927761
"YMCA @ RIMSEL","center",-104.92096042661,39.6851468023365
"SCRIBBLES","home",-105.001185796265,39.7389461519209
"MELISA R LEROY","home",-104.947604077472,39.7341331834236
"SAFA CHILDCARE","home",-104.75859764435,39.7721047714671
"DENVER PUBLIC SCHOOLS","center",-104.764042929146,39.7722460039805
"CHILDREN'S CENTER","center",-104.926406043408,39.747933838595
"DENVER PUBLIC SCHOOLS","center",-105.011950151398,39.7102399855613
"MARY'S DAYCARE","home",-104.937866251071,39.7424162355362
"CHILDREN'S LEARNING CENTER, CO.","center",-105.052285240034,39.7577095501341
"DENVER PUBLIC SCHOOLS","center",-104.910201073496,39.7228112392633
"MONTESSORI SCHOOL OF WASHINGTON PARK","center",-104.985017798487,39.7107593144493
"EATING RECOVERY CENTER","center",-104.89497992816,39.7225966784833
"DENVER PUBLIC SCHOOLS","center",-104.956444003609,39.7808656493167
"DENVER PUBLIC SCHOOLS","center",-105.040535440318,39.6341833320618
"DENVER PUBLIC SCHOOLS","center",-105.04703565995,39.6888352347456
"DENVER PUBLIC SCHOOLS","center",-104.735843113627,39.7900314406384
"GREEN SPROUT LEARNING LLC","home",-105.052405334471,39.7684273990982
"CHRIST THE KING ROMAN CATHOLIC SCHOOL","center",-104.929018308904,39.7302312562384
"THE LITTLE RASCALS DAYCARE","home",-104.798195922307,39.7978811441755
"TONYA'S DAYCARE","home",-104.799213273006,39.7943732854229
"MOST PRECIOUS BLOOD EARLY LEARNING CENTER","center",-104.941110671865,39.6762149058651
"INNOVATION LEARNING LLC","center",-104.888564309836,39.7289682936469
"SUMMER SCHOLARS","center",-104.803432777346,39.7937778932584
"DENVER PUBLIC SCHOOLS","center",-104.981028379984,39.7032443621291
"GOOD BEGINNINGS","center",-105.024125577661,39.735184062244
"SUNSHINE ACADEMY","center",-105.034975297105,39.7382142892602
"AMANULLAH MOMMANDI","home",-104.922642852727,39.6862285012689
"WASHINGTON PARK EARLY LEARNING  CENTER","center",-104.966006895374,39.7090905053824
"LAMPKIN GROUP HOME","home",-104.961884103386,39.757712559145
"PAULETTE MUNNERLYN","home",-104.949180592203,39.756599617099
"CONGREGATION RODEF SHALOM","center",-104.91737062756,39.7083901908364
"HIGHLANDS ACADEMY","center",-105.020071270922,39.7581645987884
"FLOW ACADEMY LLC","center",-104.98924348485,39.7323254868518
"DENVER PUBLIC SCHOOLS","center",-104.882962953473,39.7485458988202
"GROW AND LEARN LLC","home",-105.046866527335,39.7095286429752
"MONTESSORI CHILDREN'S HOUSE OF DENVER","center",-104.889207881176,39.7506044903041
"ST ROSE OF LIMA EXTENDED DAY","center",-105.00526928411,39.7095230059547
"BAMBINOS LLC","center",-105.024527131121,39.6901107933828
"NALEDI CHILD CARE LLC","home",-104.756116887332,39.7708647259589
"DENVER PUBLIC SCHOOLS","center",-104.943427777289,39.7343770483101
"MILE HIGH MONTESSORI EARLY LEARNING CENTER","center",-105.033956654402,39.6988648872078
"DENVER PUBLIC SCHOOLS","center",-104.945850662097,39.6887368393878
"VENTURE FOR SUCCESS PREPARATORY LEARNING CENTER","center",-104.841735847594,39.7800962895197
"KAYS DAY CARE","home",-104.895264967196,39.667260545312
"MARY'S LITTLE LAMBS","home",-104.97660687391,39.7066069833537
"DENVER PUBLIC SCHOOLS","center",-104.932264088704,39.759269984807
"SCHOOL IN THE WOODS MONTESSORI SCHOOL","center",-104.938541504525,39.6891633799385
"DENVER PUBLIC SCHOOLS","center",-105.018509349244,39.7587484479109
"CHILDREN'S GARDEN MONTESSORI SCHOOL","center",-104.954429203284,39.7233897853666
"DPS DISCOVERY LINK","center",-104.93274167244,39.6866098396553
"COLORADO ATHLETIC CLUB-MONACO","center",-104.913838515719,39.6687080885745
"DENVER PUBLIC SCHOOLS","center",-105.046293643252,39.7217182342898
"DENVER PUBLIC SCHOOLS","center",-105.018509349244,39.7587484479109
"DENVER PUBLIC SCHOOLS","center",-104.994773652954,39.737581849961
"MONTESSORI CHILDREN'S HOUSE OF DENVER","center",-104.914843578373,39.755258944225
"DENVER PUBLIC SCHOOLS","center",-104.994237891006,39.7201607626277
"EARLY START STRONG FINISH PRESCHOOL","home",-104.884346450503,39.7570470217255
"SMALL WORLD CHILD CARE AND PRESCHOOL","home",-105.104165610642,39.626615380549
"DENVER PUBLIC SCHOOLS","center",-105.029012182426,39.6831337850183
"DENVER PUBLIC SCHOOLS","center",-104.981028379984,39.7032443621291
"LOVING CARE CHILD CARE CENTER","home",-104.921116385177,39.6890706486014
"PORTERCARE CHILD DEVELOPMENT CENTER","center",-104.977576778436,39.6694259301842
"INNER CITY CHRISTIAN SCHOOL PARTNERSHIP","center",-104.958261284216,39.7667085958496
"DENVER PUBLIC SHOOLS DEPT OF EXTENDED LEARNING DISCOVERY LINK","center",-104.971664862943,39.6794364505769
"DOWNTOWN DENVER EXPEDITIONARY SCHOOL","center",-104.985756571173,39.7457538786699
"SOUTHWEST YMCA","center",-105.047671765262,39.6513337834112
"DENVER PUBLIC SCHOOLS","center",-104.837508376225,39.7805282920903
"DENVER PUBLIC SCHOOLS","center",-105.00086245209,39.7344150884484
"DENVER PUBLIC SCHOOLS","center",-104.957383489024,39.7220143323662
"IRIS H RABANALES","home",-105.008001500043,39.7061357896407
"CATHOLIC CHARITIES ARCHDIOCESE OF DENVER","center",-105.003308363982,39.7319601835238
"WORLD OF CHILDREN CHILD CARE","home",-104.964378690455,39.7617429857974
"YMCA OF METROPOLITAN DENVER @ OMAR D BLAIR","center",-104.765822984618,39.7867356876569
"DENVER PUBLIC SCHOOLS","center",-105.014768151643,39.6974887512049
"DENVER PUBLIC SCHOOLS","center",-104.971877410716,39.7102151304709
"PARZIVAL SHIELD WALFORF SCHOOL","center",-104.946240990516,39.6770957290673
"YOUNG ENTHUSIASTIC SCHOLARS, INC","center",-104.956467040693,39.7618357461346
"MOUNTAIN VIEW CHILD CARE CENTER","center",-105.03836556643,39.6898996406152
"AVID4 ADVENTURE, INC","center",-104.966501896174,39.6921377147515
"LITTLE SPARK LEARNING CENTER, LLC","center",-104.923248511929,39.6769522345456
"DENVER PUBLIC SCHOOLS","center",-104.892631304622,39.6579786275682
"INSPIRE LEARNING LLC","center",-104.889807154355,39.7859582698306
"ROCKY MOUNTAIN PREPARATORY SCHOOL","center",-104.898913854461,39.6788659795029
"AUGUSTANA EARLY LEARNING CENTER","center",-104.928942623629,39.7102670836598
"SUN VALLEY YOUTH CENTER, INC.","center",-105.021415075807,39.7353377858029
"DIANA'S DAY CARE","home",-104.88868916029,39.6289669840981
"ROCKY MOUNTAIN KIDS LLC","center",-104.761390435503,39.7953994661535
"KIDS SMART INC","center",-105.03092489538,39.6670099074009
"DENVER PUBLIC SCHOOLS","center",-105.033873187098,39.7542339734988
"KAT'S CORNER DAYCARE","home",-104.875322615697,39.6568474124558
"ANANDA MARGO OF DENVER","center",-104.978402686438,39.7356518709447
"THE LOGAN SCHOOL FOR CREATIVE LEARNING INC","center",-104.887495777952,39.7312221138405
"DREAM BIG DAY CAMP","center",-104.924273375654,39.7170362072686
"KIDS SMART INC","center",-105.031247628553,39.7101839553576
"KIPP COLORADO SCHOOLS KIPP NORTHEAST ELEMENTARY","center",-104.778246078781,39.7807893770394
"DENVER PUBLIC SCHOOLS","center",-105.040535440318,39.6341833320618
"DENVER PUBLIC SCHOOLS","center",-104.994773652954,39.737581849961
"THE GODDARD SCHOOL","center",-104.962570699882,39.7437752614768
"HIGHLANDS MONTESSORI, LLC","center",-105.044831429936,39.7585978723635
"ISABEL'S LITTLE HANDS DAYCARE","home",-105.012600177761,39.6852302056397
"SHERI'S  CHILD CARE","home",-104.886843043579,39.6305853809817
"DENVER PUBLIC SCHOOLS","center",-104.882962953473,39.7485458988202
"ANCHOR CENTER FOR BLIND CHILDREN","center",-104.900326882598,39.7541948353565
"DENVER PUBLIC SCHOOLS","center",-104.972660714564,39.7526030005695
"MARIA HELENA CLEARY","home",-104.926436565519,39.6963718321445
"DENVER PUBLIC SCHOOLS","center",-105.045746269262,39.7321344251572
"DPR-COMMUNITY RECREATION SOAR AFTER SCHOOL","center",-105.045915690878,39.7081605680017
"BLADUIM DENVER NO. 1, INC","center",-104.88916510702,39.7522486882814
"DENVER PUBLIC SCHOOLS","center",-105.039906649032,39.7648708081684
"YMCA OF METROPOLITAN DENVER","center",-104.986552957068,39.7418975156504
"MINDSPARK@STEELE LLC","center",-105.032694009811,39.7710658356901
"CATHOLIC CHARITIES, ARCHDIOCESE OF DENVER","center",-104.970559265924,39.7661962839871
"DENVER PUBLIC SCHOOLS","center",-104.909975752676,39.7335387162624
"EARLY EXCELLENCE PROGRAM OF DENVER","center",-104.968239068489,39.7667760530948
"DENVER PUBLIC SCHOOLS","center",-105.02808079804,39.7302392932676
"SPRINGBOARD @ ROCKY MTN PREP-BERKELEY","center",-105.043836505319,39.7688309985654
"SPRINGBOARD EDUCATION IN AMERICA LLC","center",-105.003930894245,39.7736439660627
"AUNTIE RUTH'S CHILD CARE","home",-105.020730149317,39.6961158402138
"HEART & HAND CENTER","center",-104.91821781764,39.7665394682347
"DENVER PUBLIC SCHOOLS","center",-104.93274167244,39.6866098396553
"YESHI WAZZEE","home",-104.739662819514,39.7958102426469
"DENVER PUBLIC SCHOOLS","center",-104.956368213333,39.7576075997634
"DENVER PUBLIC SCHOOLS","center",-105.024181139863,39.668289581053
"EARLY SUCCESS ACADEMY","center",-104.807964099819,39.7861041763611
"RAQUEL'S RASCALS","home",-105.045865363695,39.6824368914848
"STANLEY BRITISH PRIMARY SCHOOL","center",-104.903290313372,39.7219308360627
"THIRD WAY CENTER","center",-104.986500025876,39.7345564339623
"LOWRY MONTESSORI","center",-104.893930076343,39.7309534518639
"MARTINS SCHOOL OF EARLY EDUCATION","center",-104.985949740875,39.7024204221337
"DPR-SUMMER IN THE PARKS","center",-104.893832210987,39.6406532885829
"DENVER PUBLIC SCHOOLS","center",-104.973533007735,39.7297415644581
"KIDOODLES CHILD CARE","center",-104.98239159894,39.6952642671179
"NOMIKI BITZANAKIS","home",-104.905037777725,39.7271530080476
"STEVE AND KATE'S CAMP LLC","center",-104.887495777952,39.7312221138405
"NIKI & JOHN BITZANAKIS","home",-104.905039011729,39.7270075125186
"ST. JOHN'S LUTHERAN CHURCH DAYCARE","center",-104.968175051256,39.7034669629384
"DENVER PUBLIC SCHOOLS","center",-105.003930894245,39.7736439660627
"CACHITOS DAYCARE","home",-104.764713508584,39.7886998637975
"MONTESSORI AT MARINA","center",-104.8933681273,39.6253151558221
"YMCA OF METROPOLITAN DENVER @ ISABELLA BIRD","center",-104.856787080312,39.7555874004191
"DENVER PUBLIC SCHOOLS","center",-105.045915690878,39.7081605680017
"WASHINGTON STREET COMMUNITY CENTER","center",-104.97944300722,39.7018399950236
"SAVIO HOUSE","center",-105.034338272789,39.722226064136
"LOUISE'S CHILDCARE SERVICES","home",-104.810416726735,39.7950516108889
"DPR-SUMMER IN THE PARKS","center",-104.900835317447,39.7525502623778
"YMCA OF METROPOLITAN DENVER","center",-104.973533007735,39.7297415644581
"DENVER PUBLIC SCHOOLS","center",-105.051639073685,39.6829888954916
"NADIA OJEDA-AYALA","home",-105.036437702421,39.7143993226823
"ANGEL FACE DAYCARE","home",-104.926064551166,39.7340383240787
"ST ANNE'S EPISCOPAL SCHOOL","center",-104.961181181831,39.6668179697031
"DENVER PUBLIC SCHOOLS","center",-105.02808079804,39.7302392932676
"DENVER PUBLIC SCHOOLS","center",-104.925199809023,39.7319559205083
"DENVER PUBLIC SCHOOLS","center",-104.912138650539,39.647714061252
"SUMMER SCHOLARS","center",-105.035593374352,39.7012570269043
"MARY'S MUNCHKINS DAY CARE","home",-104.946585563769,39.663582027939
"DENVER PUBLIC SCHOOLS","center",-104.815794886287,39.7924173463122
"DPR-COMMUNITY RECREATION SOAR AFTER SCHOOL","center",-105.011960498436,39.6832015082645
"DENVER WALDORF SCHOOL ASSOCIATION","center",-104.981107340271,39.6776665881426
"SOPHIA MONTESSORI ACADEMY","center",-104.955079176647,39.692804610176
"DENVER PUBLIC SCHOOLS","center",-104.832517367081,39.7766924301452
"DENVER PUBLIC SCHOOLS DEPARTMENT OF EXTENDED LEARNING AND CUMMUNITY SCHOOLS","center",-105.029408070865,39.7173582804394
"CHILD CARE CENTER OF COLORADO, INC.","center",-105.027238041976,39.689635802656
"DENVER PUBLIC SCHOOLS CEC EARLY LEARNING ACADEMY","center",-105.023138326072,39.7553988777337
"HEART & HAND CENTER","center",-104.956368213333,39.7576075997634
"KIDS SMART INC","center",-105.023468710273,39.7722038128271
"DENVER PUBLIC SCHOOLS","center",-105.044675860371,39.6730076082052
"LIL' DARLINS CHILDCARE SERVICES","home",-104.889004009435,39.66501815416
"HIGHLINE ACADEMY","center",-104.761390435503,39.7953994661535
"MONTVIEW COMMUNITY PRESCHOOL & KINDERGARTEN","center",-104.931854097214,39.7470955055473
"STEP BY STEP LEARNING CENTER","center",-105.016048721298,39.7766757180844
"BMH-BJ CONGREGATION","center",-104.91229014909,39.7059957091315
"DENVER PUBLIC SCHOOLS","center",-104.94954545453,39.6888283167204
"DPS DEPARTMENT OF EXTENDED LEARNING AND COMMUNITY SCHOOLS","center",-104.983799224057,39.6937660226712
"DENVER PUBLIC SCHOOLS","center",-105.046293643252,39.7217182342898
"GLORIA J STEVENSON","home",-104.920254851045,39.7585251320991
"THOMAS DAY CARE","home",-104.925462349977,39.7615429980704
"ALMA'S DAY CARE","home",-104.838626725291,39.7883283464469
"AUNTIE RUTH'S CHILD CARE","home",-105.020730248318,39.6934995627025
"AVID4 ADVENTURE INC","center",-104.896467501568,39.7129133872803
"PRIORITY ONE HOME CHILD CARE","home",-104.916674102028,39.7626719991748
"DENVER PUBLIC SCHOOLS","center",-105.042595446807,39.7812977298875
"DENVER PUBLIC SCHOOLS","center",-105.012754018321,39.6901971176966
"DENVER PUBLIC SCHOOLS","center",-104.898138217642,39.7464721902813
"CHRIST EPISCOPAL CHURCH","center",-104.95880982821,39.6643115575912
"DENVER PUBLIC SCHOOLS","center",-104.896467501568,39.7129133872803
"YMCA OF METROPOLITAN DENVER","center",-104.888891803027,39.789321929059
"TEMPLE SINAI PRE SCHOOL","center",-104.926431635501,39.6521882595177
"KIDS 4 REAL INC","center",-104.9688472557,39.7597482205455
"DENVER PUBLIC SCHOOLS","center",-104.909014959183,39.7066217014072
"SUMMER SCHOLARS","center",-104.748434365402,39.7730121577658
"ENRICHMENT COTTAGE, LLC","center",-104.969316414406,39.7503972525507
"MONARCH MONTESSORI OF DENVER","center",-104.847510422587,39.7854597100181
"WESTERN CENTER FOR RUSSIAN JEWRY","center",-104.914449785941,39.71169476585
"DENVER PUBLIC SCHOOLS","center",-105.023468710273,39.7722038128271
"SEWALL CHILD DEVELOPMENT CENTER","center",-104.931287426154,39.76478597786
"STATEWIDE ANGEL LEARNING CENTER","center",-104.860755462739,39.6597203579001
"TENNYSON CTR FOR CHILDREN & FAMILIES","center",-105.043406954758,39.7594076913076
"THIRD WAY CENTER/YORK","center",-104.960139636044,39.7366703506473
"SEWALL CHILD DEVELOPMENT CENTER","center",-104.92218709607,39.6505175024437
"DENVER PUBLIC SCHOOLS","center",-105.043669488712,39.7409304441346
"CATHOLIC CHARITIES CHILD DEVELOPMENT CTR","center",-105.022589608077,39.7351696051915
"DEBRA'S LEARNING CENTER","home",-104.825327223942,39.7929253101589
"DENVER PUBLIC SCHOOLS","center",-104.888891803027,39.789321929059
"DENVER PUBLIC SCHOOLS","center",-105.043669488712,39.7409304441346
"PRESTIGE PRESCHOOLS OPERATIONS LLC","center",-104.881416010849,39.7993331874544
"ADVENTURES IN LEARNING","center",-104.938831757581,39.6728602256694
"DENVER PUBLIC SCHOOLS","center",-105.031250943565,39.7075594698164
"STASICA DAYCARE HOME","home",-104.930063959706,39.6903689743214
"BRENDA'S DAYCARE","home",-104.933822416369,39.6755293873729
"LORI ANN LANFORD","home",-105.028853816851,39.7718356664888
"PLUM HILL PRESCHOOL LTD","center",-104.931277688118,39.6620566663937
"DENVER PUBLIC SCHOOLS","center",-104.819560802978,39.7784026823628
"DENVER PUBLIC SCHOOLS","center",-104.898306280253,39.7646028001941
"KING BAPTIST CHURCH TRAINING CENTER","center",-104.919658768878,39.7647923628832
"PLAY-N-LEARN CHILD CARE","center",-104.870050923532,39.6537746572849
"ALL ABOUT LEARNING CENTER","home",-104.82316742909,39.781100098169
"ST VINCENT DE PAUL SCHOOL","center",-104.957577219729,39.6951194815916
"DPR-COMMUNITY RECREATION SUMMER IN THE PARKS","center",-105.043673599727,39.7550547734828
"SYRINGA M. CARRIZALEZ","home",-105.035758132951,39.7053618948273
"CHILDREN'S HAVEN CHILD CARE CENTER","center",-105.052353066281,39.6729876771327
"EARLY DISCOVERY CHILD CARE","home",-104.820159046153,39.7937575941846
"SHARON MILTON","home",-104.746932839943,39.7796516329032
"EDMISTON LEARNING CENTER, LLC","center",-104.93765159629,39.6760529082762
"GOLDEN TRIANGLE LEARNING CENTER, LLC","center",-104.99969614385,39.7334245818475
"HIGHLAND","center",-105.006992739376,39.7662419521531
"DENVER PUBLIC SCHOOLS","center",-104.888891803027,39.789321929059
"LAMPKIN GROUP CENTER","home",-104.966315705497,39.7600826717614
"DENVER PUBLIC SCHOOLS","center",-104.823422147016,39.7912040909015
"RED SHIELD COMMUNITY CENTER","center",-104.964947413523,39.7585336291299
"DALTON GANG PRESCHOOL","home",-104.926176887575,39.689883362556
"YMCA","center",-104.908618785743,39.6869961280596
"LITTLE FRIENDS PRESCHOOL & CHILD CENTER","center",-105.024281168227,39.7798717657035
"SEWALL CHILD DEVELOPMENT CENTER","center",-104.952691614967,39.7314803077792
"DENVER PUBLIC SCHOOLS","center",-105.03092489538,39.6670099074009
"SPRINGBOARD EDUCATION IN AMERICA LLC","center",-104.91821781764,39.7665394682347
"DENVER PUBLIC SCHOOLS","center",-104.994237891006,39.7201607626277
"WARREN VILLAGE LEARNING CENTER, INC","center",-104.967586919118,39.7374180553655
"DENVER PUBLIC SCHOOLS","center",-105.008410642531,39.7700006188175
"CATHOLIC CHARITIES","center",-105.032201451021,39.7009361097376
"DENVER PUBLIC SCHOOLS","center",-104.824622319379,39.7855694924173
"ST. ROSE OF LIMA PRESCHOOL","center",-105.00526928411,39.7095230059547
"DENVER PUBLIC SCHOOLS","center",-104.939009111225,39.7240200576579
"CHILDREN CHILD CARE","home",-104.955251741275,39.7612206818986
"DENVER MONTCLAIR INTERNATIONAL SCHOOL INC","center",-104.897940353922,39.7222961563908
"CLAYTON EDUCARE DENVER","center",-104.943078994021,39.7621822073942
"HAZEL'S DAYCARE","home",-105.016045662287,39.6874516717157
"DPR-COMMUNITY RECREATION SOAR AFTER SCHOOL","center",-104.891546514678,39.6429832850535
"JUNGLE JANE'S PLAYHOUSE","home",-105.039389032151,39.6947601002851
"PADDINGTON STATION","center",-104.904081345248,39.737621451105
"PARK HILL PRESCHOOL, INC","center",-104.914348724574,39.7404100472427
"GANEINU","center",-104.926623299198,39.7087486261395
"EMERSON SCHOOL, LLC","center",-104.976642944041,39.690810627927
"SEWALL CHILD DEVELOPMENT CENTER AT STRIVE","center",-105.018689311898,39.6776068279254
"DENVER PUBLIC SCHOOLS","center",-104.88539916933,39.7562481598213
"YMCA @ HOLM","center",-104.892631304622,39.6579786275682
"BLUFF LAKE NATURE CENTER","center",-104.874532815826,39.7686406978736
"HEART & HAND CENTER","center",-104.950999844817,39.7718250334501
"DENVER PUBLIC SCHOOLS","center",-105.014515550725,39.767906632205
"HUMBLE BEGINNINGS LLC","home",-104.765685326117,39.7788174718707
"KNOWLEDGE BEGINNINGS","center",-104.86780854538,39.7612227629061
"RICKS CENTER FOR GIFTED CHILDREN","center",-104.960431911107,39.6792646409522
"CATHOLIC CHARITIES HEADSTART","center",-105.032206546039,39.7012381138355
"AZRA CHILD CARE HOME","home",-105.033918684264,39.6895993305234
"THE DREAMERS DAY CAMP","home",-104.961351246449,39.7562359197768
"DENVER PUBLIC SCHOOLS","center",-104.986678504525,39.7772156750474
"DENVER PUBLIC SCHOOLS","center",-104.950124227634,39.6739156375062
"QUALITY HOME DAYCARE","home",-104.90113870755,39.6653853404949
"DOWN TERRY LANE","home",-104.891204766436,39.6557804445769
"FAMILY STAR INC","center",-105.024615264441,39.7505457630905
"DENVER PUBLIC SCHOOLS","center",-104.898306280253,39.7646028001941
"RUDE PARK DAY CARE","center",-105.022224730751,39.73601366626
"GARFIELD MONTESSORI SCHOOL","center",-104.943916225065,39.7629136570533
"DENVER PUBLIC SCHOOLS","center",-104.929315039983,39.7448897475284
"CHAPMAN CHILD CARE","home",-104.962081893105,39.6702675002437
"YMCA @ MONTCLAIR","center",-104.909975752676,39.7335387162624
"DENVER PUBLIC SCHOOLS","center",-104.943427777289,39.7343770483101
"DENVER PUBLIC SCHOOLS","center",-104.983799224057,39.6937660226712
"DPR COMMUNITY RECREATION","center",-104.955542925333,39.7855613173875
"LIVING CHURCH","center",-104.938834700591,39.6720476177152
"NANCY K. CARY","home",-105.101949831587,39.6273216871167
"DPR-COMMUNITY RECREATION SUMMER CAMP","center",-105.02810550713,39.7223384915447
"ANITA WILLIS","center",-104.962576755904,39.7541221840924
"DEBORAH FAY BRIGHT","home",-104.813740347818,39.7852704823302
"INNOVATION LEARNING LLC","center",-104.748434365402,39.7730121577658
"DENVER PUBLIC SCHOOLS","center",-104.948937459319,39.7047153644768
"DENVER PUBLIC SCHOOLS","center",-104.856787080312,39.7555874004191
"DPS DISCOVERY LINK","center",-104.868702942632,39.7997626150155
"DENVER PUBLIC SCHOOLS","center",-105.039906649032,39.7648708081684
"CHILDREN'S GARDEN LEARNING ACADEMY, INC.","center",-104.963842501506,39.7439457780967
"DENVER PUBLIC SCHOOLS","center",-104.867421322972,39.658661021049
"DENVER PUBLIC SCHOOLS","center",-105.017814508718,39.784789599582
"CATHOLIC CHARITIES ARCHDIOCESE OF DENVER","center",-104.982110564918,39.7593516131037
"DENVER PUBLIC SCHOOLS","center",-105.031250943565,39.7075594698164
"ST. CATHERINE SCHOOL OF SIENA","center",-105.024671581646,39.7747672281462
"DENVER PUBLIC SCHOOLS","center",-104.91821781764,39.7665394682347
"SUNFLOWER HILL CHILD CARE INC","center",-104.925628454581,39.6887276473544
"DENVER PUBLIC SCHOOLS","center",-105.04541006604,39.6594732260018
"DENVER COOPERATIVE PRE-SCHOOL","center",-104.971436454113,39.723453699599
"MARLENE A HANKS","home",-104.928910726513,39.6809963072476
"CONGREGATION HEBREW EDUCATIONAL ALLIANCE","center",-104.921602281944,39.6499435903573
"NINA BEES EARLY LEARNING CENTER","center",-105.038432699674,39.7618205710795
"DENVER PUBLIC SCHOOLS","center",-105.04541006604,39.6594732260018
"THIRD WAY CENTER/PONTIAC","center",-104.906138301725,39.7445636853431
"DADDY MOM DAYCARE","center",-105.052752083731,39.6694641993233
"SUN VALLEY HEAD START","center",-105.01779579365,39.7326875511681
"PRIMROSE SCHOOL AT LOWRY","center",-104.89516164182,39.7233745323111
"VALERIE'S DAYCARE","home",-105.072422852243,39.6616747790054
"DENVER PUBLIC SCHOOLS","center",-105.011960498436,39.6832015082645
"DENVER PUBLIC SCHOOLS","center",-104.920510366974,39.6979131037476
"ROCKY MOUNTAIN SER JOBS FOR PROGRESS, INC","center",-105.033396847366,39.7274713002047
"BRIGHT HORIZONS MONTESSORI AT DENVER PLACE","center",-104.991896933496,39.7488772040246
"DENVER CHILD CARE CENTER,INC","center",-105.027756806862,39.6896406326736
