"location","year_rehab","class","long","lat","sqft"
"Walker","2010","PG-NEIGHBORHOOD",-104.96514301,39.75921872,2662.19764824399
"City of Axum Park","2010","PG-NEIGHBORHOOD",-104.93511271,39.76345273,5080.59939023106
"41st & Ensenada","2004","PG-COMMUNITY",-104.7592237,39.77285797,5716.0019619078
"Lowry Sports Park","2007","PG-COMMUNITY",-104.89247186,39.71733802,3078.23348808893
"Ruby Hill Park","2011","PG-REGIONAL",-105.00529717,39.68523422,9950.18693324065
"Garland & Saratoga Park","2002","PG-NEIGHBORHOOD",-105.10364129,39.62689511,4696.32362296384
"Golden Key Park","1998","PG-NEIGHBORHOOD",-104.88711572,39.66293269,3106.82857297288
"Harvey Park","1998","PG-COMMUNITY",-105.04259655,39.6787745,5555.5480609886
"Highland Gateway Park","1998","PG-NEIGHBORHOOD",-105.00667465,39.76186392,1696.38706995901
"Highland Park","1990","PG-NEIGHBORHOOD",-105.02724855,39.76321535,6346.91812197295
"Highland Senior Center Park","2003","PG-NEIGHBORHOOD",-105.03692527,39.758137,4111.58381339297
"Hirshorn Park","2000","PG-NEIGHBORHOOD",-105.01069155,39.75990091,5116.91124751951
"DeBoer","2010","PG-NEIGHBORHOOD",-104.96115147,39.67097146,6698.16246382167
"Bezoff","2010","PG-NEIGHBORHOOD",-104.8701185,39.70462202,5531.71169311508
"Hutchinson (Theodore A) Park","2003","PG-COMMUNITY",-104.90416117,39.65714366,5287.02416673424
"Harvard Gulch Park","2007","PG-COMMUNITY",-104.98172504,39.67458919,4351.04575864936
"Kittredge Park","2007","PG-NEIGHBORHOOD",-104.90749461,39.72959109,3718.83865717432
"Sloans Lake Park","1992","PG-REGIONAL",-105.04478567,39.74471028,10049.6984936466
"Sloans Lake Park","2011","PG-REGIONAL",-105.044751,39.75388561,8436.96982408964
"Southmoor Park","1992","PG-COMMUNITY",-104.9053826,39.65143007,3765.13136214655
"St Charles Place Park","1994","PG-NEIGHBORHOOD",-104.9703479,39.76938405,3822.10862092344
"St Patricks Park","1998","PG-NEIGHBORHOOD",-105.00614718,39.76352436,597.603101489831
"Stout Street Childrens Park","1997","PG-NEIGHBORHOOD",-104.98218279,39.75454665,2243.49272332233
"Swansea Park","1991","PG-COMMUNITY",-104.95492824,39.78645008,6287.60812615406
"Verbena Park","1998","PG-NEIGHBORHOOD",-104.89151624,39.73358919,4288.19848711223
"Village Place Park","2004","PG-COMMUNITY",-104.83225685,39.77736207,4640.52588782868
"Washington Park","1991","PG-REGIONAL",-104.97130132,39.70324648,9960.36184849725
"Weir Gulch Park","1993","PG-NEIGHBORHOOD",-105.04708084,39.71389668,1026.11734720859
"Weir Gulch Park","1993","PG-NEIGHBORHOOD",-105.0460776,39.71412442,1836.95856761361
"West Harvard Gulch","1996","PG-NEIGHBORHOOD",-105.01662843,39.66951336,3512.57502158276
"Williams (Dr Daniel Hale) Park","1992","PG-NEIGHBORHOOD",-104.97129801,39.75969939,4523.91563429765
"Garrison & Union Park","2002","PG-COMMUNITY",-105.10276584,39.63278611,1508.14771675451
"Garrison & Union Park","2002","PG-COMMUNITY",-105.10305071,39.63239293,5403.56986984319
"Aztlan Park","2011","PG-NEIGHBORHOOD",-105.00450927,39.77692583,5348.19515570204
"Chavez (Cesar E) Park","1998","PG-NEIGHBORHOOD",-105.0444079,39.77330896,3953.64577364435
"Manley (James N) Park","2012","PG-NEIGHBORHOOD",-104.95743856,39.72285569,3222.55412639856
"Hampden Heights Park","2010","PG-COMMUNITY",-104.87816929,39.6563223,6952.81820360728
"Lakewood and Dry Gulch Park","2011","PG-COMMUNITY",-105.04743138,39.73427666,4758.25567852392
"Green Valley Ranch East Park","2011","PG-COMMUNITY",-104.74971282,39.7778668,5284.88398757931
"Pinecrest Village Park","2006","PG-NEIGHBORHOOD",-105.05635244,39.64634143,5644.00147366442
"Rocky Mountain Lake Park","2007","PG-COMMUNITY",-105.03026572,39.78076685,6243.42664929445
"Jefferson Square Park","2004","PG-NEIGHBORHOOD",-104.92062384,39.64486091,3505.44184873763
"Jefferson & Kendall Park","2005","PG-NEIGHBORHOOD",-105.06737013,39.6507817,5179.04010773408
"Lindsley (Henry S) Park","2002","PG-NEIGHBORHOOD",-104.93346984,39.73374798,4282.95624419551
"Loretto Heights Park","2000","PG-COMMUNITY",-105.03248462,39.66351557,2857.1667502179
"Magna Carta Park","2004","PG-NEIGHBORHOOD",-104.93956974,39.65426345,3880.93782177339
"Martin Luther King Jr Park","1991","PG-COMMUNITY",-104.90876497,39.77038595,3940.51665798109
"Martinez (Joseph P) Park","1991","PG-COMMUNITY",-105.04212194,39.73083441,3519.91490834634
"McNichols (William H) Park","1992","PG-NEIGHBORHOOD",-104.89953867,39.74467581,4712.18559830862
"Montclair Park","1991","PG-NEIGHBORHOOD",-104.90876544,39.73494081,4965.52962553945
"Pinehurst Park","2005","PG-COMMUNITY",-105.04793728,39.63734021,4077.15234981832
"Robinson Park","1999","PG-NEIGHBORHOOD",-104.92743186,39.71969804,3407.0700811968
"Rosamond Park","1999","PG-COMMUNITY",-104.89514418,39.64190419,5298.36048782191
