"name","type","year_built","year_last_remodeled","bldg_sqft","short_name","has_cardio","has_weights","has_gym","has_arts_culture","has_day_camps","has_educ_programs","has_fitness_health_programs","has_senior_programs","has_social_enrich_clubs","has_special_events","has_sports","has_aquatics","long","lat"
"Athmar Recreation Center","Regional",,"1996",23391,"Athmar",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-105.019685982521,39.6855091876539
"Aztlan Recreation Center","Neighborhood","1975",,10188,"Aztlan",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-105.004509185347,39.7775146511344
"Barnum Recreation Center","Neighborhood","1968","1978",19494,"Barnum",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-105.028049130925,39.7222634572719
"La Familia Recreation Center","Local","1970","1997",21864,"La Familia",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,-104.994364179465,39.7157094774453
"College View Recreation Center","Neighborhood","1975","1987",15953,"College View",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-105.023205068315,39.6714382945
"Johnson Recreation Center","Neighborhood","1900","1982",11373,"Johnson",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-104.963834212476,39.7841018430817
"Globeville Recreation Center","Neighborhood","1930",,9560,"Globeville",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,-104.983229963988,39.7780725431625
"Carla Madison Recreation Center","Regional","2016",,69000,"Madison",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-104.958533888207,39.7405139746206
"Montbello Recreation Center","Regional","2003",,44394,"Montbello",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-104.805597902217,39.7927378764775
"Scheitler Recreation Center","Regional","1972","1992",26801,"Scheitler",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-105.051237380225,39.781385888208
"Eisenhower Recreation Center","Local","1975","1990",14192,"Eisenhower",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,-104.93740948941,39.6596047184798
"Highland Recreation Center","Neighborhood","1978",,10196,"Highland",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,-105.037714048061,39.7581981539104
"Ashland Recreation Center","Local","1972","1981",10354,"Ashland",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,-105.017723649387,39.7598570539412
"Glenarm Recreation Center","Local","1983","2009",18731,"Glenarm",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,-104.975218216861,39.7550573684922
"Twentieth St Recreation Center","Local","1908",,32395,"Twentieth St",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,-104.989984994545,39.7513722640953
"Rude Recreation Center","Regional","2003",,41021,"Rude",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-105.023156511138,39.7364229597479
"Harvey Park Recreation Center","Local","1975","1995",12020,"Harvey Park",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,-105.041911431321,39.6782620523074
"Harvard Gulch Recreation Center","Local","1960","1991",18392,"Harvard Gulch",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,-104.981070430137,39.6744893895921
"Platt Park Senior Center","Neighborhood","1978",,6732,"Platt Park Senior Center",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,-104.98342875871,39.6890585795575
"Washington Park Recreation Center","Regional","1971","1991",24372,"Washington Park",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,-104.97052794081,39.7026340849105
"Southwest Recreation Center","Local","1993",,14478,"Southwest",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-105.099517155743,39.6291679088285
"Cook Park Recreation Center","Local","1972","1998",20424,"Cook Park",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-104.908933710888,39.687047127245
"Montclair Recreation Center","Regional","1996","2006",37852,"Montclair",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,-104.894693356118,39.7273795758712
"Swansea Recreation Center","Neighborhood","1972","1982",14155,"Swansea",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-104.955387378768,39.78485781983
"Hiawatha Davis Jr Recreation Center","Local","1960","2001",41502,"Hiawatha Davis Jr",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,-104.921814128714,39.7642926960667
"Central Park Recreation Center","Regional","2010",,58000,"Central Park",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-104.875031652639,39.7610853264065
"Martin Luther King Recreation Center","Neighborhood","1960","1994",25512,"Martin Luther King Jr",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-104.909280392148,39.7707185284274
"La Alma Recreation Center","Neighborhood","1974","1977",17628,"La Alma",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-105.004381367882,39.7345657899963
"St Charles Recreation Center","Neighborhood","1975","1987",16519,"St Charles",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,-104.971219642325,39.7694317747495
"Stapleton Recreation Center","Neighborhood","1970","1993",12524,"Stapleton",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,-104.987214969475,39.7888718294227
"Green Valley Ranch Recreation Center","Local","2004",,34520,"Green Valley Ranch",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,-104.767160324479,39.7856883448493
