"lat","lon","lat_lon","blockID","driving_morning","transit_morning","kilometers"
39.7547359,-104.9056398,"39.7547359 -104.9056398","0",0,0,"0"
39.7291165,-104.9612258,"39.7291165 -104.9612258","0",0,0,"0"
40.0509244,-105.0771444,"40.0509244 -105.0771444","0",0,0,"0"
40.1097472,-105.0320697,"40.1097472 -105.0320697","0",0,0,"0"
39.968904,-105.1836934,"39.968904 -105.1836934","0",0,0,"0"
39.9355836,-105.1786195,"39.9355836 -105.1786195","0",0,0,"0"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310010001",19.65,76.2166666666667,"20.0 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310010001",14.5166666666667,53.2,"8.0 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310010001",39.5,NA,"50.0 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310010001",37.65,NA,"51.7 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310010001",36.3833333333333,NA,"44.3 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310010001",30.1833333333333,NA,"40.6 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310044052",13.3666666666667,52.8666666666667,"6.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310044052",15.7166666666667,59.0833333333333,"8.6 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310044052",50.5833333333333,NA,"53.1 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310044052",48.75,NA,"54.8 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310044052",47.45,NA,"47.7 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310044052",41.2666666666667,NA,"43.9 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310083891",18.4,77.1833333333333,"18.2 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310083891",29.25,86.0666666666667,"26.0 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310083891",39.5,NA,"57.5 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310083891",37.65,NA,"59.1 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310083891",42.1333333333333,NA,"53.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310083891",35.95,NA,"49.3 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80319800001",24.7666666666667,NA,"30.4 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80319800001",35.6166666666667,NA,"38.2 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80319800001",38.9333333333333,NA,"54.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80319800001",37.1,NA,"56.0 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80319800001",44.4666666666667,NA,"60.7 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80319800001",38.2833333333333,NA,"58.5 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310083911",20,76.8,"18.7 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310083911",30.85,72.5666666666667,"26.5 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310083911",40.1166666666667,NA,"57.4 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310083911",38.2833333333333,NA,"59.1 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310083911",43.7333333333333,NA,"53.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310083911",37.55,NA,"49.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310155003",18.3666666666667,45.9333333333333,"10.1 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310155003",11.8833333333333,55.65,"5.8 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310155003",43.0666666666667,NA,"56.7 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310155003",41.2333333333333,NA,"58.3 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310155003",39.95,NA,"51.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310155003",33.7666666666667,NA,"47.3 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310035004",9.2,43.6166666666667,"7.3 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310035004",14.7166666666667,25.2666666666667,"6.5 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310035004",34.3666666666667,NA,"44.0 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310035004",32.5333333333333,NA,"45.6 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310035004",31.25,NA,"38.3 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310035004",25.0666666666667,NA,"34.5 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310155002",17.3166666666667,40.3166666666667,"9.1 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310155002",10.9333333333333,58.4666666666667,"5.4 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310155002",43.95,NA,"57.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310155002",42.1166666666667,NA,"58.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310155002",40.8333333333333,NA,"51.6 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310155002",34.65,NA,"47.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310083902",18.5333333333333,74.35,"17.6 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310083902",29.3833333333333,70.1166666666667,"25.4 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310083902",41.2333333333333,NA,"58.8 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310083902",39.3833333333333,NA,"60.4 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310083902",42.2666666666667,NA,"52.4 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310083902",36.0833333333333,NA,"48.7 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310019021",15.1166666666667,49.6166666666667,"15.2 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310019021",12.8,43.1,"6.4 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310019021",34.9666666666667,NA,"45.2 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310019021",33.1166666666667,NA,"46.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310019021",31.85,NA,"39.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310019021",25.65,NA,"35.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310030031",21.75,55.3833333333333,"23.6 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310030031",13.05,26.85,"6.3 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310030031",41.6,NA,"53.6 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310030031",39.75,NA,"55.3 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310030031",38.4833333333333,NA,"48.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310030031",32.3,NA,"44.2 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310030032",21.45,52.7166666666667,"24.4 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310030032",11.4166666666667,20.4166666666667,"5.7 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310030032",41.3,NA,"54.4 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310030032",39.4666666666667,NA,"56.0 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310030032",38.1833333333333,NA,"48.7 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310030032",32,NA,"45.0 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310030041",23.3833333333333,57.8,"25.4 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310030041",13.3333333333333,28.8666666666667,"6.7 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310030041",43.2333333333333,NA,"55.4 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310030041",41.3833333333333,NA,"57.1 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310030041",40.1166666666667,NA,"49.8 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310030041",33.9166666666667,NA,"46.0 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310030042",23.9666666666667,59.1666666666667,"24.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310030042",14.85,37.2166666666667,"7.4 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310030042",43.8166666666667,NA,"54.8 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310030042",41.9666666666667,NA,"56.5 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310030042",40.7,NA,"49.1 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310030042",34.5,NA,"45.4 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310030043",25.2666666666667,68.05,"26.6 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310030043",15.2333333333333,35,"7.9 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310030043",45.1166666666667,NA,"56.6 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310030043",43.2833333333333,NA,"58.3 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310030043",42,NA,"51.0 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310030043",35.8166666666667,NA,"47.2 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310031022",11.3166666666667,21.95,"6.6 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310031022",5.48333333333333,16.2166666666667,"2.1 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310031022",39.95,NA,"45.6 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310031022",38.1166666666667,NA,"47.2 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310031022",36.8333333333333,NA,"39.9 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310031022",30.65,NA,"36.2 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032013",14.9333333333333,34.4166666666667,"7.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032013",5.53333333333333,18.6833333333333,"1.9 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310032013",42.7833333333333,NA,"48.3 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310032013",40.9333333333333,NA,"49.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310032013",39.6666666666667,NA,"42.6 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310032013",33.4666666666667,NA,"38.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032021",11.8833333333333,25.6,"6.7 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032021",3.03333333333333,9.86666666666667,"1.3 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310032021",42.0666666666667,NA,"46.2 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310032021",40.2333333333333,NA,"47.9 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310032021",38.95,NA,"40.5 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310032021",32.7666666666667,NA,"36.8 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032022",13.3833333333333,29.4166666666667,"7.1 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032022",2.78333333333333,8.38333333333333,"1.1 km"
40.0509244,-105.0771444,"40.0509244 -105.0771444","80310032022",43,NA,"46.5 km"
40.1097472,-105.0320697,"40.1097472 -105.0320697","80310032022",41.1666666666667,NA,"48.1 km"
39.968904,-105.1836934,"39.968904 -105.1836934","80310032022",39.8833333333333,NA,"40.8 km"
39.9355836,-105.1786195,"39.9355836 -105.1786195","80310032022",33.7,NA,"37.0 km"
39.7547359,-104.9056398,"39.7547359 -104.9056398","80310032023",14.9166666666667,35.2666666666667,"7.8 km"
39.7291165,-104.9612258,"39.7291165 -104.9612258","80310032023",2.23333333333333,7.78333333333333,"0.7 km"
