"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races"
"1","1500000US080310001021",80310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",981,178,917,171,0,11,0,11,0,11,0,11,29,35,35,29,0,11,35,29
"2","1500000US080310001022",80310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1475,209,1152,220,27,33,21,33,8,14,0,11,251,114,16,19,8,12,8,13
"3","1500000US080310001023",80310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",816,169,657,135,31,29,0,11,28,32,0,11,29,26,71,70,0,11,71,70
"4","1500000US080310002011",80310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1722,240,1432,237,45,36,32,53,29,46,8,12,89,83,87,78,30,48,57,67
"5","1500000US080310002012",80310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2360,410,2075,430,28,29,11,17,0,11,0,11,192,169,54,47,21,32,33,35
"6","1500000US080310002021",80310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",593,294,391,245,11,16,134,192,25,38,0,11,32,36,0,11,0,11,0,11
"7","1500000US080310002022",80310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1534,323,1237,305,0,11,56,54,42,52,0,11,163,164,36,39,0,11,36,39
"8","1500000US080310002023",80310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",840,202,711,195,29,38,37,38,22,25,0,11,5,9,36,42,0,11,36,42
"9","1500000US080310002024",80310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1029,295,928,285,12,20,52,47,20,25,0,11,0,11,17,19,7,11,10,15
"10","1500000US080310003011",80310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",787,234,747,236,0,11,0,11,0,11,0,11,10,20,30,33,17,28,13,21
"11","1500000US080310003012",80310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",716,185,698,183,0,11,0,11,0,11,0,11,18,30,0,11,0,11,0,11
"12","1500000US080310003013",80310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",1042,355,997,346,7,7,0,11,38,65,0,11,0,11,0,11,0,11,0,11
"13","1500000US080310003014",80310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",1373,399,994,253,0,11,51,116,60,62,0,11,253,304,15,25,15,25,0,11
"14","1500000US080310003015",80310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",733,215,685,201,0,11,0,11,39,58,0,11,0,11,9,14,9,14,0,11
"15","1500000US080310003016",80310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",814,199,757,159,0,11,0,11,0,11,0,11,54,73,3,7,0,11,3,7
"16","1500000US080310003021",80310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",729,319,677,335,18,28,0,11,0,11,0,11,0,11,34,50,0,11,34,50
"17","1500000US080310003022",80310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",842,336,590,224,212,309,15,16,0,11,0,11,0,11,25,28,0,11,25,28
"18","1500000US080310003023",80310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",823,237,740,229,0,11,0,11,28,31,0,11,12,24,43,44,30,39,13,19
"19","1500000US080310003024",80310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",551,223,525,207,26,41,0,11,0,11,0,11,0,11,0,11,0,11,0,11
"20","1500000US080310003025",80310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",1468,341,1260,333,193,109,0,11,0,11,0,11,0,11,15,25,0,11,15,25
"21","1500000US080310003031",80310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",678,283,655,281,0,11,23,37,0,11,0,11,0,11,0,11,0,11,0,11
"22","1500000US080310003032",80310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",922,295,876,288,21,22,0,11,15,23,0,11,0,11,10,16,0,11,10,16
"23","1500000US080310003033",80310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",1154,213,1010,190,0,11,0,11,94,94,0,11,15,24,35,43,23,37,12,20
"24","1500000US080310003034",80310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",637,274,637,274,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
"25","1500000US080310003035",80310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",801,174,787,178,0,11,0,11,0,11,0,11,0,11,14,23,14,23,0,11
