GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",981,178,653,123,328,159
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1475,209,1069,186,406,147
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",816,169,772,165,44,31
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1722,240,847,151,875,218
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2360,410,836,164,1524,417
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",593,294,293,213,300,182
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1534,323,603,208,931,267
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",840,202,660,176,180,102
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1029,295,470,161,559,303
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",787,234,690,224,97,95
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",716,185,614,176,102,59
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",1042,355,577,218,465,282
1500000US080310003014,080310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",1373,399,882,225,491,323
1500000US080310003015,080310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",733,215,550,183,183,181
1500000US080310003016,080310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",814,199,724,165,90,78
1500000US080310003021,080310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",729,319,659,283,70,99
1500000US080310003022,080310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",842,336,771,338,71,72
1500000US080310003023,080310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",823,237,709,229,114,125
1500000US080310003024,080310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",551,223,487,197,64,77
1500000US080310003025,080310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",1468,341,1177,343,291,151
1500000US080310003031,080310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",678,283,370,167,308,283
1500000US080310003032,080310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",922,295,703,198,219,203
1500000US080310003033,080310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",1154,213,1066,209,88,56
1500000US080310003034,080310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",637,274,392,160,245,236
1500000US080310003035,080310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",801,174,770,170,31,36
1500000US080310003036,080310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",745,192,739,192,6,14
1500000US080310004011,080310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",792,198,513,148,279,172
1500000US080310004012,080310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",784,164,457,131,327,151
1500000US080310004013,080310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",816,214,583,164,233,136
1500000US080310004014,080310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",845,208,495,143,350,220
1500000US080310004021,080310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",435,182,356,180,79,62
1500000US080310004022,080310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",1468,309,1114,215,354,232
1500000US080310004023,080310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",1258,301,962,204,296,262
1500000US080310004024,080310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",642,249,530,228,112,82
1500000US080310004025,080310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",768,199,717,197,51,50
1500000US080310004026,080310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",377,136,320,115,57,89
1500000US080310005011,080310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",1122,123,925,109,197,82
1500000US080310005012,080310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",812,112,717,103,95,49
1500000US080310005021,080310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",1184,389,812,285,372,251
1500000US080310005022,080310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",1537,324,1340,301,197,129
1500000US080310005023,080310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",940,291,510,224,430,287
1500000US080310005024,080310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",1447,415,821,247,626,460
1500000US080310005025,080310005025,"Block Group 5, Census Tract 5.02, Denver County, Colorado",869,267,581,177,288,218
1500000US080310006001,080310006001,"Block Group 1, Census Tract 6, Denver County, Colorado",1268,199,884,164,384,178
1500000US080310006002,080310006002,"Block Group 2, Census Tract 6, Denver County, Colorado",1705,378,671,141,1034,375
1500000US080310007011,080310007011,"Block Group 1, Census Tract 7.01, Denver County, Colorado",1387,266,751,160,636,223
1500000US080310007012,080310007012,"Block Group 2, Census Tract 7.01, Denver County, Colorado",1157,332,589,238,568,228
1500000US080310007013,080310007013,"Block Group 3, Census Tract 7.01, Denver County, Colorado",1362,314,630,226,732,294
1500000US080310007021,080310007021,"Block Group 1, Census Tract 7.02, Denver County, Colorado",970,343,330,196,640,312
1500000US080310007022,080310007022,"Block Group 2, Census Tract 7.02, Denver County, Colorado",1640,428,801,243,839,369
1500000US080310007023,080310007023,"Block Group 3, Census Tract 7.02, Denver County, Colorado",1302,421,775,379,527,308
1500000US080310007024,080310007024,"Block Group 4, Census Tract 7.02, Denver County, Colorado",633,212,373,178,260,119
1500000US080310007025,080310007025,"Block Group 5, Census Tract 7.02, Denver County, Colorado",628,207,482,173,146,129
1500000US080310008001,080310008001,"Block Group 1, Census Tract 8, Denver County, Colorado",1448,240,824,225,624,253
1500000US080310009021,080310009021,"Block Group 1, Census Tract 9.02, Denver County, Colorado",592,259,246,119,346,272
1500000US080310009022,080310009022,"Block Group 2, Census Tract 9.02, Denver County, Colorado",972,429,248,111,724,431
1500000US080310009023,080310009023,"Block Group 3, Census Tract 9.02, Denver County, Colorado",1069,339,461,153,608,369
1500000US080310009024,080310009024,"Block Group 4, Census Tract 9.02, Denver County, Colorado",1822,410,342,165,1480,473
1500000US080310009025,080310009025,"Block Group 5, Census Tract 9.02, Denver County, Colorado",1638,385,400,141,1238,377
1500000US080310009031,080310009031,"Block Group 1, Census Tract 9.03, Denver County, Colorado",1404,373,418,254,986,385
1500000US080310009032,080310009032,"Block Group 2, Census Tract 9.03, Denver County, Colorado",1115,359,250,122,865,370
