GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2016 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2016 inflation-adjusted dollars)
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",111333,45758
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",80396,14180
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",88750,36999
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",46542,12338
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",52902,10824
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",-,**
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",53309,22694
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",84464,13413
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",60469,26312
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",76736,66623
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",93393,36820
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",57401,6890
1500000US080310003014,080310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",57688,37420
1500000US080310003015,080310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",65907,29884
1500000US080310003016,080310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",77813,57025
1500000US080310003021,080310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",135446,48830
1500000US080310003022,080310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",105323,57457
1500000US080310003023,080310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",84234,66313
1500000US080310003024,080310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",91799,56233
1500000US080310003025,080310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",49420,36414
1500000US080310003031,080310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",102212,22087
1500000US080310003032,080310003032,"Block Group 2, Census Tract 3.03, Denver County, Colorado",-,**
1500000US080310003033,080310003033,"Block Group 3, Census Tract 3.03, Denver County, Colorado",81250,48541
1500000US080310003034,080310003034,"Block Group 4, Census Tract 3.03, Denver County, Colorado",-,**
1500000US080310003035,080310003035,"Block Group 5, Census Tract 3.03, Denver County, Colorado",95313,39028
1500000US080310003036,080310003036,"Block Group 6, Census Tract 3.03, Denver County, Colorado",140125,61615
1500000US080310004011,080310004011,"Block Group 1, Census Tract 4.01, Denver County, Colorado",92917,18637
1500000US080310004012,080310004012,"Block Group 2, Census Tract 4.01, Denver County, Colorado",71680,15324
1500000US080310004013,080310004013,"Block Group 3, Census Tract 4.01, Denver County, Colorado",47955,15629
1500000US080310004014,080310004014,"Block Group 4, Census Tract 4.01, Denver County, Colorado",51364,16534
1500000US080310004021,080310004021,"Block Group 1, Census Tract 4.02, Denver County, Colorado",96471,21749
1500000US080310004022,080310004022,"Block Group 2, Census Tract 4.02, Denver County, Colorado",74605,36161
1500000US080310004023,080310004023,"Block Group 3, Census Tract 4.02, Denver County, Colorado",76360,14159
1500000US080310004024,080310004024,"Block Group 4, Census Tract 4.02, Denver County, Colorado",86125,39469
1500000US080310004025,080310004025,"Block Group 5, Census Tract 4.02, Denver County, Colorado",-,**
1500000US080310004026,080310004026,"Block Group 6, Census Tract 4.02, Denver County, Colorado",-,**
1500000US080310005011,080310005011,"Block Group 1, Census Tract 5.01, Denver County, Colorado",93988,12591
1500000US080310005012,080310005012,"Block Group 2, Census Tract 5.01, Denver County, Colorado",105750,25084
1500000US080310005021,080310005021,"Block Group 1, Census Tract 5.02, Denver County, Colorado",71389,18339
1500000US080310005022,080310005022,"Block Group 2, Census Tract 5.02, Denver County, Colorado",90278,24192
1500000US080310005023,080310005023,"Block Group 3, Census Tract 5.02, Denver County, Colorado",68897,24224
1500000US080310005024,080310005024,"Block Group 4, Census Tract 5.02, Denver County, Colorado",14333,2956
1500000US080310005025,080310005025,"Block Group 5, Census Tract 5.02, Denver County, Colorado",77049,55123
1500000US080310006001,080310006001,"Block Group 1, Census Tract 6, Denver County, Colorado",50806,10824
1500000US080310006002,080310006002,"Block Group 2, Census Tract 6, Denver County, Colorado",40692,6227
1500000US080310007011,080310007011,"Block Group 1, Census Tract 7.01, Denver County, Colorado",20391,3354
1500000US080310007012,080310007012,"Block Group 2, Census Tract 7.01, Denver County, Colorado",58850,14078
1500000US080310007013,080310007013,"Block Group 3, Census Tract 7.01, Denver County, Colorado",20938,6777
1500000US080310007021,080310007021,"Block Group 1, Census Tract 7.02, Denver County, Colorado",26719,18562
1500000US080310007022,080310007022,"Block Group 2, Census Tract 7.02, Denver County, Colorado",30000,6650
1500000US080310007023,080310007023,"Block Group 3, Census Tract 7.02, Denver County, Colorado",11222,5078
1500000US080310007024,080310007024,"Block Group 4, Census Tract 7.02, Denver County, Colorado",48906,24958
1500000US080310007025,080310007025,"Block Group 5, Census Tract 7.02, Denver County, Colorado",-,**
1500000US080310008001,080310008001,"Block Group 1, Census Tract 8, Denver County, Colorado",11410,5267
1500000US080310009021,080310009021,"Block Group 1, Census Tract 9.02, Denver County, Colorado",76477,12448
