GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - No vehicle available,Margin of Error; Owner occupied: - No vehicle available,Estimate; Owner occupied: - 1 vehicle available,Margin of Error; Owner occupied: - 1 vehicle available,Estimate; Owner occupied: - 2 vehicles available,Margin of Error; Owner occupied: - 2 vehicles available,Estimate; Owner occupied: - 3 vehicles available,Margin of Error; Owner occupied: - 3 vehicles available,Estimate; Owner occupied: - 4 vehicles available,Margin of Error; Owner occupied: - 4 vehicles available,Estimate; Owner occupied: - 5 or more vehicles available,Margin of Error; Owner occupied: - 5 or more vehicles available,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - No vehicle available,Margin of Error; Renter occupied: - No vehicle available,Estimate; Renter occupied: - 1 vehicle available,Margin of Error; Renter occupied: - 1 vehicle available,Estimate; Renter occupied: - 2 vehicles available,Margin of Error; Renter occupied: - 2 vehicles available,Estimate; Renter occupied: - 3 vehicles available,Margin of Error; Renter occupied: - 3 vehicles available,Estimate; Renter occupied: - 4 vehicles available,Margin of Error; Renter occupied: - 4 vehicles available,Estimate; Renter occupied: - 5 or more vehicles available,Margin of Error; Renter occupied: - 5 or more vehicles available
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",488,67,347,67,20,24,106,51,136,50,43,28,42,35,0,11,141,69,11,16,104,68,20,21,0,11,6,9,0,11
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",705,81,499,77,19,20,136,49,196,79,90,45,58,48,0,11,206,82,0,11,126,77,60,42,20,23,0,11,0,11
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",388,68,314,73,19,22,67,37,181,61,33,30,14,21,0,11,74,41,0,11,28,24,36,29,0,11,10,15,0,11
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",751,91,445,83,9,14,146,68,202,69,50,34,28,26,10,16,306,82,176,90,76,54,42,30,12,13,0,11,0,11
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",821,83,668,85,9,13,143,56,264,67,217,101,35,34,0,11,153,62,0,11,57,53,44,45,52,35,0,11,0,11
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",254,98,7,10,0,11,7,10,0,11,0,11,0,11,0,11,247,99,132,69,88,64,27,39,0,11,0,11,0,11
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",698,108,350,97,0,11,81,47,112,44,148,87,0,11,9,14,348,115,107,72,163,90,53,45,25,40,0,11,0,11
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",361,65,297,64,11,16,69,37,197,62,20,17,0,11,0,11,64,33,6,10,40,29,7,11,0,11,11,15,0,11
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",411,81,321,73,20,22,112,56,144,53,41,41,0,11,4,9,90,64,0,11,41,33,16,18,33,52,0,11,0,11
1500000US080310003011,080310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",359,83,300,80,0,11,55,53,224,79,17,27,4,13,0,11,59,44,0,11,34,40,25,31,0,11,0,11,0,11
1500000US080310003012,080310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",353,72,296,66,0,11,87,47,156,74,53,51,0,11,0,11,57,30,0,11,32,27,14,22,0,11,11,17,0,11
1500000US080310003013,080310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",523,116,289,92,24,36,113,63,126,79,26,31,0,11,0,11,234,109,52,82,164,98,18,31,0,11,0,11,0,11
