"nbhd_id","nbhd_name","bgroup_id2"
69,"Virginia Village","80310155003"
25,"Elyria Swansea","80310035004"
69,"Virginia Village","80310155002"
28,"Gateway - Green Valley Ranch","80310083902"
2,"Auraria","80310019021"
45,"Montbello","80319801001"
19,"College View - South Platte","80310156002"
58,"Southmoor Park","80310040041"
57,"South Park Hill","80310042023"
76,"Westwood","80310045032"
26,"Five Points","80310024022"
78,"Windsor","80310070883"
63,"Union Station","80310017013"
32,"Hampden","80310068131"
69,"Virginia Village","80310155001"
24,"East Colfax","80310044031"
28,"Gateway - Green Valley Ranch","80310083893"
9,"Capitol Hill","80310027022"
35,"Harvey Park South","80310157003"
35,"Harvey Park South","80310157002"
35,"Harvey Park South","80310157001"
72,"Washington Virginia Vale","80310153001"
72,"Washington Virginia Vale","80310153002"
72,"Washington Virginia Vale","80310050011"
21,"Cory - Merrill","80310039023"
21,"Cory - Merrill","80310039021"
73,"Wellshire","80310040021"
17,"Clayton","80310036022"
17,"Clayton","80310036023"
17,"Clayton","80310036024"
14,"City Park","80310037011"
14,"City Park","80310037012"
20,"Congress Park","80310037024"
17,"Clayton","80310036025"
55,"Skyland","80310036031"
55,"Skyland","80310036032"
20,"Congress Park","80310037031"
20,"Congress Park","80310037032"
13,"Cherry Creek","80310038001"
13,"Cherry Creek","80310038002"
13,"Cherry Creek","80310038003"
13,"Cherry Creek","80310038004"
13,"Cherry Creek","80310038005"
7,"Belcaro","80310039011"
7,"Belcaro","80310039012"
7,"Belcaro","80310039013"
27,"Fort Logan","80310120012"
44,"Marston","80310120101"
44,"Marston","80310120102"
72,"Washington Virginia Vale","80310050012"
72,"Washington Virginia Vale","80310050021"
72,"Washington Virginia Vale","80310050023"
72,"Washington Virginia Vale","80310050024"
72,"Washington Virginia Vale","80310050025"
69,"Virginia Village","80310051021"
69,"Virginia Village","80310051022"
69,"Virginia Village","80310051023"
69,"Virginia Village","80310051024"
44,"Marston","80310120103"
44,"Marston","80310120141"
44,"Marston","80310120142"
44,"Marston","80310120143"
44,"Marston","80310120144"
76,"Westwood","80310045063"
30,"Goldsmith","80310069013"
69,"Virginia Village","80310051042"
69,"Virginia Village","80310052001"
69,"Virginia Village","80310052002"
69,"Virginia Village","80310052003"
69,"Virginia Village","80310052004"
65,"University Hills","80310053001"
27,"Fort Logan","80310055021"
27,"Fort Logan","80310055031"
27,"Fort Logan","80310055032"
19,"College View - South Platte","80310156004"
27,"Fort Logan","80310055033"
27,"Fort Logan","80310055034"
33,"Hampden South","80310068041"
33,"Hampden South","80310068091"
33,"Hampden South","80310068092"
33,"Hampden South","80310068093"
33,"Hampden South","80310068094"
33,"Hampden South","80310068101"
63,"Union Station","80310017014"
63,"Union Station","80310017015"
25,"Elyria Swansea","80310035001"
25,"Elyria Swansea","80310035002"
25,"Elyria Swansea","80310035003"
9,"Capitol Hill","80310027014"
9,"Capitol Hill","80310027012"
15,"City Park West","80310031011"
26,"Five Points","80310024021"
76,"Westwood","80310045052"
20,"Congress Park","80310037022"
48,"North Park Hill","80310041044"
51,"Platt Park","80310030013"
1,"Athmar Park","80310013015"
19,"College View - South Platte","80310156003"
57,"South Park Hill","80310042025"
75,"West Highland","80310003021"
75,"West Highland","80310003022"
75,"West Highland","80310003023"
75,"West Highland","80310003024"
75,"West Highland","80310003025"
8,"Berkeley","80310003014"
8,"Berkeley","80310003015"
75,"West Highland","80310003031"
75,"West Highland","80310003032"
75,"West Highland","80310003033"
75,"West Highland","80310003034"
75,"West Highland","80310003035"
62,"Sunnyside","80310004011"
39,"Jefferson Park","80310006002"
74,"West Colfax","80310007011"
74,"West Colfax","80310007012"
74,"West Colfax","80310007013"
74,"West Colfax","80310007021"
74,"West Colfax","80310007022"
62,"Sunnyside","80310004012"
62,"Sunnyside","80310004013"
62,"Sunnyside","80310004014"
36,"Highland","80310004021"
36,"Highland","80310004022"
36,"Highland","80310004023"
36,"Highland","80310004024"
36,"Highland","80310004025"
56,"Sloan Lake","80310005011"
56,"Sloan Lake","80310005012"
68,"Villa Park","80310009051"
62,"Sunnyside","80310011011"
63,"Union Station","80310017012"
39,"Jefferson Park","80310006001"
74,"West Colfax","80310007023"
4,"Barnum","80310009031"
4,"Barnum","80310009032"
77,"Whittier","80310023002"
9,"Capitol Hill","80310027011"
12,"Cheesman Park","80310032014"
20,"Congress Park","80310037021"
48,"North Park Hill","80310041034"
76,"Westwood","80310045033"
72,"Washington Virginia Vale","80310153003"
30,"Goldsmith","80310069014"
52,"Regis","80310154004"
52,"Regis","80310154002"
8,"Berkeley","80310001021"
8,"Berkeley","80310001022"
56,"Sloan Lake","80310005021"
56,"Sloan Lake","80310005022"
56,"Sloan Lake","80310005023"
37,"Hilltop","80310043064"
72,"Washington Virginia Vale","80310050022"
5,"Barnum West","80310009023"
58,"Southmoor Park","80310067011"
18,"Cole","80310036012"
12,"Cheesman Park","80310032011"
48,"North Park Hill","80310041031"
8,"Berkeley","80310003016"
77,"Whittier","80310023001"
9,"Capitol Hill","80310027032"
4,"Barnum","80310009033"
4,"Barnum","80310009034"
4,"Barnum","80310009035"
68,"Villa Park","80310009041"
68,"Villa Park","80310009042"
68,"Villa Park","80310009043"
8,"Berkeley","80310001023"
6,"Bear Valley","80310119024"
68,"Villa Park","80310009044"
36,"Highland","80310004026"
78,"Windsor","80310070373"
33,"Hampden South","80310068042"
20,"Congress Park","80310037023"
9,"Capitol Hill","80310027021"
52,"Regis","80310154003"
74,"West Colfax","80310007024"
74,"West Colfax","80310007025"
61,"Sun Valley","80310008001"
5,"Barnum West","80310009021"
5,"Barnum West","80310009022"
5,"Barnum West","80310009024"
5,"Barnum West","80310009025"
3,"Baker","80310021001"
59,"Speer","80310028024"
75,"West Highland","80310003036"
76,"Westwood","80310045061"
