"","nbhd_name","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"1","Athmar Park",70.1120077555393,73.2040096990954,60.844447117744,57.0531089889545,73.9768711729049,68.0642192121444,80.2269009234579,80.9091599417539,78.8927743275747,78.7357424266407,80.7757874537021,79.3450083365506,71.5319400236481,71.7866122485034
"2","Auraria",80.9443916130206,84.9052627539633,62.8376982953939,68.8476500415263,91.3503624822611,66.4947391277654,98.0212516791865,91.6539012641894,81.618215978248,96.1087708622598,91.3326310039681,82.8384607432886,85.9805160489983,73.447278536174
"3","Baker",82.0834119093067,83.3844519839474,64.4818386383817,69.7419448179532,86.2406385034406,62.4325882363567,91.1788645263558,88.1495252664967,81.0232082722443,88.8091491493134,87.1782630908319,80.9241780848205,82.9533426007322,72.2154533079508
"4","Barnum",80.7228609579368,91.0119954370055,84.8873403580183,60.4939169707475,83.4227214909654,71.2676197434512,89.3297566544433,92.1398681458887,91.1716393423402,88.8833149761523,92.790036259373,91.2102553499493,79.8574623898199,84.6342136984398
"5","Barnum West",77.6603923271296,87.0509848758115,76.9498392569489,59.0347883021073,82.4678890365759,66.2127920992763,84.8516609919657,86.6677301375766,82.8846178022302,84.331373289262,86.9935379357281,83.1178899864617,76.4695537276162,77.2912847862293
"6","Bear Valley",51.8405550587912,56.5632713218956,38.3184423983888,41.0988723193667,63.106667807046,63.8315151481735,53.9892778051988,55.2528671279403,44.9037226445759,52.0282271331543,52.9231532174562,45.7218627512928,49.7392330791277,48.1938857356077
"7","Belcaro",85.6866280608498,74.0598541544486,44.7176806008774,81.4962002011521,82.8852710691046,46.1836444255402,81.0789746859587,71.1835777172578,56.1052014796198,76.7642065388867,69.5859524753791,57.2486394095032,81.2565023717119,51.0637914788852
"8","Berkeley",64.9807134900993,70.3420613355852,46.4467275527497,57.3416638915257,83.14594894069,50.1365430952962,69.9062799860832,69.6675521294403,59.1721290399817,72.7895461396158,70.5662800467891,61.7125618621926,66.254550876831,54.3669903875551
"9","Capitol Hill",76.0138255217795,76.6867505908176,56.7091987835494,66.3428874582935,80.2773517984215,53.0449955375549,83.6214641838875,79.4144978783203,71.0256368057372,81.6519254247096,79.561251014645,71.6669732296035,76.9075256471675,63.1117010891113
"10","CBD",66.3090336466474,68.78050714893,49.9894688190895,57.143755356558,74.1400781233668,50.05931891963,77.7958387929156,72.2388494351821,63.2697055363035,76.5143876501416,72.5886871432055,64.6280599797439,69.4407538615657,56.9866383136918
"11","Chaffee Park",68.0702463152855,72.3736285975924,47.1424034286042,59.2716297184068,83.113500085516,49.8629689561017,72.2180780659197,71.0994110519584,59.5415308137672,73.8019119675609,71.7126109671189,62.0035736666557,68.3404665167933,54.6376192162822
"12","Cheesman Park",71.3150885191202,70.3102568243894,48.5612544285576,65.1240190925475,76.695632545916,46.0272821332726,74.9164218662883,70.7605240311463,60.7661564049991,73.2653641210491,71.1370802863614,62.0945768349565,71.1552233997513,54.3623174504465
"13","Cherry Creek",76.7962694342403,67.6339470218893,40.655426386734,71.3623133723745,75.8225252784701,40.245451398059,72.8656501287983,65.1294951422018,51.6219142773198,70.3340885380051,64.5842857022487,52.7557076417687,72.8395803683546,46.3196249259704
"14","City Park",59.6258750239997,59.206095216887,38.8651925480404,56.0046218730801,66.9567467768315,36.9551637982989,60.3986886943792,57.8478966660883,48.2290319353623,59.4131800314307,58.5338743315936,50.0511968517503,58.8605914057224,43.525146283363
"15","City Park West",65.8639476564945,66.9390453453762,45.8204097772759,60.5525137411109,75.1422172939122,43.6785780417701,69.2028515544688,66.353774810674,56.5270361125993,68.4185052470662,67.5370651820956,58.8031744356426,66.0094545497851,51.207299591822
"16","Civic Center",77.3114006632952,78.8277032416461,60.0205571885584,66.4096044538444,81.9496821843301,57.2086256752462,89.8155964441922,84.0158332239178,76.1514004549818,88.1913570963111,84.312265570881,76.8900256954057,80.4319896644107,67.567652253548
"17","Clayton",67.2594881323334,70.12153384043,46.4744976544313,61.1625852033259,78.8213617093728,46.1505288054991,69.3858520904374,68.118186673889,56.6767276183525,68.9740677979301,69.1341316073245,59.782804444465,66.6954983060067,52.271139630687
"18","Cole",63.3441456356819,66.3589849909318,45.361510008632,56.5108080977777,74.5086992302825,44.8823955024728,66.7882207925978,65.1539474213835,55.0141166302003,66.8250248242742,66.2666640350427,58.0774138566291,63.3670498375829,50.8338589994836
"19","College View - South Platte",55.7448831615811,58.2849344478286,42.5567980975511,47.0131163205552,66.040348931661,73.7756239670976,63.5697469062566,64.6540515132122,58.2255324585432,61.2380331036595,62.4971633995565,58.9967162512967,56.8914448730131,58.3886676936221
"20","Congress Park",73.8862476679488,69.6719686533223,46.1233799181673,69.1992456657486,77.1072535955824,43.8858555826971,74.2177814022203,68.9510311472339,57.8626742632909,72.6176395796437,69.4276613413371,59.2871666080093,72.4802285788904,51.7897690930412
"21","Cory - Merrill",88.5762516529822,82.5342107124344,52.5107573470197,81.267446821507,92.6999465482094,54.6629701522574,88.2533885273385,80.8027287025825,65.8433730269725,84.9346395361037,79.0283981243121,67.271124221992,85.7579316344828,60.0720561870604
"22","Country Club",79.3191312151469,75.1372287779886,50.4887249467488,72.3418497669094,81.3712443833191,48.0752147561879,81.2817093973608,74.9587901269671,63.1857337675948,78.590855616924,74.3667964076698,63.902414377617,77.8833864990853,56.4130219620371
"23","DIA",32.5777099524928,33.7449277174683,17.0873460034202,28.2296255688986,38.373540464485,19.6985217910876,30.4443385106029,30.064176872557,20.381085314205,29.3038744468249,28.8405982132206,21.5494410395832,30.1388871197048,19.679098537074
"24","East Colfax",69.373515498009,64.6153603392636,34.2291073339611,71.8072113117954,75.0544524709168,38.1618684462828,65.1958637197052,60.0271911004719,43.4279741620238,62.5448791211656,60.3229570680325,45.1863768934691,67.2303674126688,40.2513317089342
"25","Elyria Swansea",70.6243380161886,74.9124855196712,49.5555018234148,62.1914057834098,83.8215556540443,50.6428696428802,74.629100749082,73.6690841769143,61.669601903212,74.7750458745805,74.2512262122539,64.5890865554104,70.5549726058153,56.6142649812293
"26","Five Points",59.9872099030251,62.59008589593,43.4767283192428,52.9025958999715,69.4436691566475,43.8011521226349,65.35143963583,62.5993113304941,53.5433437429399,64.950581888977,63.6232888256554,55.8516422762729,60.7979568319509,49.1682166152726
"27","Fort Logan",50.9967421355458,54.5782932449263,34.9097942945836,41.3317354615246,61.9410006074304,56.818558515396,53.6879544071777,54.5359073891546,41.4470373703982,50.1423254026633,50.099156551984,42.1097387684353,49.0396893517278,43.8212822372033
"28","Gateway - Green Valley Ranch",48.5996702229851,52.9743518455641,31.248713833224,41.7985018338956,58.6072755597524,38.3881217961779,47.2846464004468,48.3728677792831,36.1789702703068,46.5564367690223,47.983853413379,39.1638704758838,46.0598138065875,36.2449190938981
"29","Globeville",72.9023610806585,77.0960666952193,52.7783862183404,63.1157565350488,85.6111871111646,54.7010670029451,79.0298753616607,77.0749520376516,65.9676372078521,79.3360651058216,77.6418763123845,68.3409436195834,73.5960145207974,60.4470085121803
"30","Goldsmith",76.6089603898437,73.3115717617413,43.8489656409331,68.9717797059499,85.4459870589541,49.367868216245,74.8562741920565,71.4195290158117,56.4046860292167,72.4190252373144,69.2472787556072,57.4499082984426,73.2140098812911,51.7678570462093
"31","Hale",71.3316526798414,65.175249565405,39.6797233273276,68.7759555818783,72.9168023127966,39.4332736740586,68.3244162090271,62.7493125437194,50.1355535368765,66.4873929586809,63.0215873336817,51.5481250521274,68.7298543573569,45.1991688975976
"32","Hampden",65.5590918579764,65.7368269880505,36.624395180889,58.6150289982537,78.9536671145484,45.7924066859989,64.8786022532875,64.4510681357166,48.6279377177616,62.4236109806249,61.3222369405625,49.926122126047,62.8690835225356,45.2427154276741
"33","Hampden South",67.6121966371873,69.7228492153406,39.1666339127595,60.1630020772494,83.0113097081541,46.83186121805,68.4811905400857,68.4081015009152,50.7611199531402,66.2419139488657,64.0281009359608,52.120906938886,65.624575800847,47.2201305057089
