"long","lat","name","class","has_nature","has_garden","has_biking","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.73595231,39.78372522,"Highline Canal (Picadilly to Orleans)","Linear",TRUE,FALSE,TRUE,119825.163772811,"80310083891",28,"Gateway - Green Valley Ranch"
-104.73695982,39.775563,"First Creek Open Space","Open Space",TRUE,FALSE,TRUE,1614085.4363766,"80310083911",28,"Gateway - Green Valley Ranch"
-104.73919178,39.78386097,"Highline Canal (Orleans to Nepal)","Linear",TRUE,FALSE,TRUE,45290.7048523252,"80310083891",28,"Gateway - Green Valley Ranch"
-104.74613507,39.77286902,"Unnamed 42nd & Lisbon Park","Community",FALSE,FALSE,TRUE,783430.779474009,"80310083912",28,"Gateway - Green Valley Ranch"
-104.74724837,39.78888941,"Highline Canal (GVR Golf)","Linear",TRUE,FALSE,TRUE,461302.993790665,"80310083893",28,"Gateway - Green Valley Ranch"
-104.75049849,39.77677104,"Highline Canal (GVR)","Linear",TRUE,FALSE,TRUE,1177021.13914858,"80310083911",28,"Gateway - Green Valley Ranch"
-104.75080728,39.77883643,"Green Valley Ranch East Park","Community",FALSE,FALSE,FALSE,585531.471368605,"80310083911",28,"Gateway - Green Valley Ranch"
-104.75210411,39.79664896,"Highline Canal (Maxwell to 56th)","Undeveloped",TRUE,FALSE,TRUE,185992.363778876,"80310083893",28,"Gateway - Green Valley Ranch"
-104.75840388,39.77279709,"Unnamed 41st & Ensenada Park","Neighborhood",FALSE,FALSE,TRUE,221306.426118697,"80310083902",28,"Gateway - Green Valley Ranch"
-104.76321646,39.77303343,"Marrama Park","Neighborhood",FALSE,FALSE,FALSE,64244.7886806701,"80310083903",28,"Gateway - Green Valley Ranch"
-104.76715655,39.79384422,"First Creek - Dunkirk to Tower","Undeveloped",TRUE,FALSE,TRUE,531568.605969186,"80310083892",28,"Gateway - Green Valley Ranch"
-104.76749197,39.7877779,"Town Center Park","Community",FALSE,FALSE,TRUE,1112089.46125418,"80310083892",28,"Gateway - Green Valley Ranch"
-104.76815762,39.77859945,"Green Valley Ranch West Park","Neighborhood",FALSE,FALSE,FALSE,152436.955232067,"80310083901",28,"Gateway - Green Valley Ranch"
-104.76890312,39.7940921,"First Creek Park","Undeveloped",FALSE,FALSE,FALSE,275843.512296342,"80310083892",28,"Gateway - Green Valley Ranch"
-104.77591588,39.79614372,"First Creek Village","Undeveloped",FALSE,FALSE,FALSE,599548.592262153,"80310083881",28,"Gateway - Green Valley Ranch"
-104.78062098,39.78044228,"Unnamed 47th & Telluride Park","Undeveloped",FALSE,FALSE,FALSE,572456.737534034,"80310083882",28,"Gateway - Green Valley Ranch"
-104.78368424,39.78017178,"Derby Canal","Undeveloped",FALSE,FALSE,FALSE,285406.607884747,"80310083882",28,"Gateway - Green Valley Ranch"
-104.78920037,39.81125932,"DEN Open Space","Open Space",TRUE,FALSE,FALSE,8624988.28502617,"80319800001",23,"DIA"
-104.80153251,39.79323316,"Derby Lateral/Highline Canal","Linear",TRUE,FALSE,TRUE,424030.598672889,"80310083881",28,"Gateway - Green Valley Ranch"
-104.80506474,39.79181258,"Parkfield","Regional",TRUE,FALSE,FALSE,3843443.26013225,"80310083881",28,"Gateway - Green Valley Ranch"
-104.81003717,39.78572844,"Chambers Rd","Linear",FALSE,FALSE,TRUE,569922.466315504,"80310083862",45,"Montbello"
-104.81720457,39.79179241,"Ford (Barney L) Park","Neighborhood",FALSE,FALSE,FALSE,189864.383880995,"80310083862",45,"Montbello"
-104.82276878,39.79805803,"E 56th Ave","Linear",FALSE,FALSE,TRUE,434688.335791818,"80310083052",45,"Montbello"
-104.82765913,39.78406031,"Montbello Central Park","Community",FALSE,FALSE,TRUE,1605306.31848749,"80310083872",45,"Montbello"
-104.82837032,39.79297321,"Falcon Park","Neighborhood",FALSE,FALSE,TRUE,419599.999636877,"80310083053",45,"Montbello"
