"Date","gender","distance","category","mincost","maxcost","sessiontimes","maxage","minage","sort","location","scholarships","specialneeds","beforeaftercare","gifted","keywords","Users"
"2018-03-20","both",5,"","","","","","","","","","","","","",2
"2018-06-19","both",10,"","","","","","","","","","","","","",1
"2018-06-20","both",10,"","","","","","","","","","","","","",1
"2019-06-05","both",10,"","","","","","","","","","","","","",1
"2018-04-13","",20,"","","","","","","","","","","","","",2
"2018-06-17","",20,"","","","","","","","","","","","","",2
"2019-02-05","",20,"","","","","","","","","","","","","",1
"2019-03-30","",20,"","","","","","","","","","","","","",2
"2019-04-15","",20,"","","","","","","","","","","","","",1
"2018-01-21","both",20,"","","","","","","","","","","","","",1
"2018-01-22","both",20,"","","","","","","","","","","","","",2
"2018-01-24","both",20,"","","","","","","","","","","","","",3
"2018-01-25","both",20,"","","","","","","","","","","","","",14
"2018-01-28","both",20,"","","","","","","","","","","","","",1
"2018-01-29","both",20,"","","","","","","","","","","","","",12
"2018-01-30","both",20,"","","","","","","","","","","","","",15
"2018-02-01","both",20,"","","","","","","","","","","","","",2
"2018-02-02","both",20,"","","","","","","","","","","","","",9
"2018-02-04","both",20,"","","","","","","","","","","","","",2
"2018-02-05","both",20,"","","","","","","","","","","","","",2
"2018-02-06","both",20,"","","","","","","","","","","","","",6
"2018-02-08","both",20,"","","","","","","","","","","","","",1
"2018-02-10","both",20,"","","","","","","","","","","","","",4
"2018-02-11","both",20,"","","","","","","","","","","","","",2
"2018-02-12","both",20,"","","","","","","","","","","","","",5
"2018-02-13","both",20,"","","","","","","","","","","","","",1
"2018-02-14","both",20,"","","","","","","","","","","","","",10
"2018-02-15","both",20,"","","","","","","","","","","","","",9
"2018-02-19","both",20,"","","","","","","","","","","","","",3
"2018-02-20","both",20,"","","","","","","","","","","","","",1
"2018-02-22","both",20,"","","","","","","","","","","","","",1
"2018-02-25","both",20,"","","","","","","","","","","","","",1
"2018-02-27","both",20,"","","","","","","","","","","","","",2
"2018-02-28","both",20,"","","","","","","","","","","","","",3
"2018-03-04","both",20,"","","","","","","","","","","","","",1
"2018-03-05","both",20,"","","","","","","","","","","","","",7
"2018-03-08","both",20,"","","","","","","","","","","","","",25
"2018-03-09","both",20,"","","","","","","","","","","","","",1
"2018-03-11","both",20,"","","","","","","","","","","","","",4
"2018-03-14","both",20,"","","","","","","","","","","","","",53
"2018-03-15","both",20,"","","","","","","","","","","","","",7
"2018-03-16","both",20,"","","","","","","","","","","","","",1
"2018-03-17","both",20,"","","","","","","","","","","","","",1
"2018-03-18","both",20,"","","","","","","","","","","","","",1
"2018-03-19","both",20,"","","","","","","","","","","","","",9
"2018-03-20","both",20,"","","","","","","","","","","","","",9
"2018-03-21","both",20,"","","","","","","","","","","","","",2
"2018-03-23","both",20,"","","","","","","","","","","","","",3
"2018-03-25","both",20,"","","","","","","","","","","","","",1
"2018-03-26","both",20,"","","","","","","","","","","","","",2
"2018-03-27","both",20,"","","","","","","","","","","","","",2
"2018-03-29","both",20,"","","","","","","","","","","","","",1
"2018-04-02","both",20,"","","","","","","","","","","","","",5
"2018-04-03","both",20,"","","","","","","","","","","","","",3
"2018-04-05","both",20,"","","","","","","","","","","","","",30
"2018-04-09","both",20,"","","","","","","","","","","","","",6
"2018-04-10","both",20,"","","","","","","","","","","","","",2
"2018-04-11","both",20,"","","","","","","","","","","","","",1
"2018-04-12","both",20,"","","","","","","","","","","","","",7
"2018-04-13","both",20,"","","","","","","","","","","","","",1
"2018-04-16","both",20,"","","","","","","","","","","","","",3
"2018-04-17","both",20,"","","","","","","","","","","","","",1
"2018-04-18","both",20,"","","","","","","","","","","","","",6
"2018-04-19","both",20,"","","","","","","","","","","","","",1
"2018-04-20","both",20,"","","","","","","","","","","","","",3
"2018-04-21","both",20,"","","","","","","","","","","","","",4
"2018-04-22","both",20,"","","","","","","","","","","","","",1
"2018-04-23","both",20,"","","","","","","","","","","","","",2
"2018-04-24","both",20,"","","","","","","","","","","","","",2
"2018-04-25","both",20,"","","","","","","","","","","","","",2
"2018-04-26","both",20,"","","","","","","","","","","","","",9
"2018-04-30","both",20,"","","","","","","","","","","","","",1
"2018-05-01","both",20,"","","","","","","","","","","","","",2
"2018-05-03","both",20,"","","","","","","","","","","","","",6
"2018-05-04","both",20,"","","","","","","","","","","","","",2
"2018-05-08","both",20,"","","","","","","","","","","","","",2
"2018-05-14","both",20,"","","","","","","","","","","","","",4
"2018-05-16","both",20,"","","","","","","","","","","","","",1
"2018-05-17","both",20,"","","","","","","","","","","","","",2
"2018-05-20","both",20,"","","","","","","","","","","","","",1
"2018-05-23","both",20,"","","","","","","","","","","","","",2
"2018-05-24","both",20,"","","","","","","","","","","","","",2
"2018-06-01","both",20,"","","","","","","","","","","","","",1
"2018-06-02","both",20,"","","","","","","","","","","","","",8
"2018-06-04","both",20,"","","","","","","","","","","","","",3
"2018-06-05","both",20,"","","","","","","","","","","","","",3
"2018-06-07","both",20,"","","","","","","","","","","","","",1
"2018-06-10","both",20,"","","","","","","","","","","","","",1
"2018-06-13","both",20,"","","","","","","","","","","","","",1
"2018-06-19","both",20,"","","","","","","","","","","","","",2
"2018-06-21","both",20,"","","","","","","","","","","","","",5
"2018-06-22","both",20,"","","","","","","","","","","","","",1
"2018-06-25","both",20,"","","","","","","","","","","","","",2
"2018-06-29","both",20,"","","","","","","","","","","","","",2
"2018-07-02","both",20,"","","","","","","","","","","","","",1
"2018-07-05","both",20,"","","","","","","","","","","","","",2
"2018-07-11","both",20,"","","","","","","","","","","","","",3
"2018-07-12","both",20,"","","","","","","","","","","","","",1
"2018-07-13","both",20,"","","","","","","","","","","","","",2
"2018-07-16","both",20,"","","","","","","","","","","","","",3
"2018-07-17","both",20,"","","","","","","","","","","","","",1
"2018-07-31","both",20,"","","","","","","","","","","","","",4
"2018-08-08","both",20,"","","","","","","","","","","","","",1
"2018-08-13","both",20,"","","","","","","","","","","","","",2
"2018-08-28","both",20,"","","","","","","","","","","","","",1
"2018-09-12","both",20,"","","","","","","","","","","","","",1
"2018-09-24","both",20,"","","","","","","","","","","","","",2
"2018-11-05","both",20,"","","","","","","","","","","","","",1
"2018-11-06","both",20,"","","","","","","","","","","","","",1
"2018-12-04","both",20,"","","","","","","","","","","","","",1
"2018-12-06","both",20,"","","","","","","","","","","","","",2
"2018-12-07","both",20,"","","","","","","","","","","","","",1
"2018-12-08","both",20,"","","","","","","","","","","","","",2
"2018-12-11","both",20,"","","","","","","","","","","","","",1
"2018-12-14","both",20,"","","","","","","","","","","","","",6
"2018-12-17","both",20,"","","","","","","","","","","","","",5
"2018-12-18","both",20,"","","","","","","","","","","","","",1
"2018-12-21","both",20,"","","","","","","","","","","","","",24
"2018-12-28","both",20,"","","","","","","","","","","","","",2
"2019-01-02","both",20,"","","","","","","","","","","","","",3
"2019-01-03","both",20,"","","","","","","","","","","","","",1
"2019-01-04","both",20,"","","","","","","","","","","","","",5
"2019-01-07","both",20,"","","","","","","","","","","","","",3
"2019-01-08","both",20,"","","","","","","","","","","","","",3
"2019-01-09","both",20,"","","","","","","","","","","","","",1
"2019-01-10","both",20,"","","","","","","","","","","","","",5
"2019-01-11","both",20,"","","","","","","","","","","","","",2
"2019-01-14","both",20,"","","","","","","","","","","","","",5
"2019-01-15","both",20,"","","","","","","","","","","","","",1
"2019-01-17","both",20,"","","","","","","","","","","","","",1
"2019-01-19","both",20,"","","","","","","","","","","","","",1
"2019-01-22","both",20,"","","","","","","","","","","","","",5
"2019-01-23","both",20,"","","","","","","","","","","","","",23
"2019-01-24","both",20,"","","","","","","","","","","","","",3
"2019-01-28","both",20,"","","","","","","","","","","","","",2
"2019-01-29","both",20,"","","","","","","","","","","","","",3
"2019-01-30","both",20,"","","","","","","","","","","","","",3
"2019-02-01","both",20,"","","","","","","","","","","","","",2
"2019-02-04","both",20,"","","","","","","","","","","","","",1
"2019-02-05","both",20,"","","","","","","","","","","","","",1
