Race,Program,Year,Value
Hispanic,All,2018,63
Hispanic,Nature,2018,64
Hispanic,Sports,2018,54
Hispanic,Art,2018,68
Hispanic,Academic,2018,67
Hispanic,Free,2018,56
White,All,2018,68
White,Nature,2018,70
White,Sports,2018,63
White,Art,2018,70
White,Academic,2018,68
White,Free,2018,50
Black,All,2018,59
Black,Nature,2018,61
Black,Sports,2018,54
Black,Art,2018,61
Black,Academic,2018,60
Black,Free,2018,45
Others,All,2018,62
Others,Nature,2018,64
Others,Sports,2018,57
Others,Art,2018,65
Others,Academic,2018,64
Others,Free,2018,49
Hispanic,All,2019,70
Hispanic,Nature,2019,71
Hispanic,Sports,2019,71
Hispanic,Art,2019,66
Hispanic,Academic,2019,70
Hispanic,Free,2019,63
White,All,2019,77
White,Nature,2019,77
White,Sports,2019,79
White,Art,2019,75
White,Academic,2019,77
White,Free,2019,61
Black,All,2019,70
Black,Nature,2019,69
Black,Sports,2019,71
Black,Art,2019,67
Black,Academic,2019,70
Black,Free,2019,55
Others,All,2019,71
Others,Nature,2019,72
Others,Sports,2019,73
Others,Art,2019,69
Others,Academic,2019,72
Others,Free,2019,58
