"","nbhd_id","nbhd_name","bgroup_id2"
"1",69,"Virginia Village","80310155003"
"2",25,"Elyria Swansea","80310035004"
"3",69,"Virginia Village","80310155002"
"4",28,"Gateway - Green Valley Ranch","80310083902"
"5",2,"Auraria","80310019021"
"6",45,"Montbello","80319801001"
"7",19,"College View - South Platte","80310156002"
"8",58,"Southmoor Park","80310040041"
"9",57,"South Park Hill","80310042023"
"10",76,"Westwood","80310045032"
"11",26,"Five Points","80310024022"
"12",78,"Windsor","80310070883"
"13",63,"Union Station","80310017013"
"14",32,"Hampden","80310068131"
"15",69,"Virginia Village","80310155001"
"16",24,"East Colfax","80310044031"
"17",28,"Gateway - Green Valley Ranch","80310083893"
"18",9,"Capitol Hill","80310027022"
"19",35,"Harvey Park South","80310157003"
"20",35,"Harvey Park South","80310157002"
"21",35,"Harvey Park South","80310157001"
"22",72,"Washington Virginia Vale","80310153001"
"23",72,"Washington Virginia Vale","80310153002"
"24",72,"Washington Virginia Vale","80310050011"
"25",21,"Cory - Merrill","80310039023"
"26",21,"Cory - Merrill","80310039021"
"27",73,"Wellshire","80310040021"
"28",17,"Clayton","80310036022"
"29",17,"Clayton","80310036023"
"30",17,"Clayton","80310036024"
"31",14,"City Park","80310037011"
"32",14,"City Park","80310037012"
"33",20,"Congress Park","80310037024"
"34",17,"Clayton","80310036025"
"35",55,"Skyland","80310036031"
"36",55,"Skyland","80310036032"
"37",20,"Congress Park","80310037031"
"38",20,"Congress Park","80310037032"
"39",13,"Cherry Creek","80310038001"
"40",13,"Cherry Creek","80310038002"
"41",13,"Cherry Creek","80310038003"
"42",13,"Cherry Creek","80310038004"
"43",13,"Cherry Creek","80310038005"
"44",7,"Belcaro","80310039011"
"45",7,"Belcaro","80310039012"
"46",7,"Belcaro","80310039013"
"47",27,"Fort Logan","80310120012"
"48",44,"Marston","80310120101"
"49",44,"Marston","80310120102"
"50",72,"Washington Virginia Vale","80310050012"
"51",72,"Washington Virginia Vale","80310050021"
"52",72,"Washington Virginia Vale","80310050023"
"53",72,"Washington Virginia Vale","80310050024"
"54",72,"Washington Virginia Vale","80310050025"
"55",69,"Virginia Village","80310051021"
"56",69,"Virginia Village","80310051022"
"57",69,"Virginia Village","80310051023"
"58",69,"Virginia Village","80310051024"
"59",44,"Marston","80310120103"
"60",44,"Marston","80310120141"
"61",44,"Marston","80310120142"
"62",44,"Marston","80310120143"
"63",44,"Marston","80310120144"
"64",76,"Westwood","80310045063"
"65",30,"Goldsmith","80310069013"
"66",69,"Virginia Village","80310051042"
"67",69,"Virginia Village","80310052001"
"68",69,"Virginia Village","80310052002"
"69",69,"Virginia Village","80310052003"
"70",69,"Virginia Village","80310052004"
"71",65,"University Hills","80310053001"
"72",27,"Fort Logan","80310055021"
"73",27,"Fort Logan","80310055031"
"74",27,"Fort Logan","80310055032"
"75",19,"College View - South Platte","80310156004"
"76",27,"Fort Logan","80310055033"
"77",27,"Fort Logan","80310055034"
"78",33,"Hampden South","80310068041"
"79",33,"Hampden South","80310068091"
"80",33,"Hampden South","80310068092"
"81",33,"Hampden South","80310068093"
"82",33,"Hampden South","80310068094"
"83",33,"Hampden South","80310068101"
"84",63,"Union Station","80310017014"
"85",63,"Union Station","80310017015"
"86",25,"Elyria Swansea","80310035001"
"87",25,"Elyria Swansea","80310035002"
"88",25,"Elyria Swansea","80310035003"
"89",9,"Capitol Hill","80310027014"
"90",9,"Capitol Hill","80310027012"
"91",15,"City Park West","80310031011"
"92",26,"Five Points","80310024021"
"93",76,"Westwood","80310045052"
"94",20,"Congress Park","80310037022"
"95",48,"North Park Hill","80310041044"
"96",51,"Platt Park","80310030013"
"97",1,"Athmar Park","80310013015"
"98",19,"College View - South Platte","80310156003"
"99",57,"South Park Hill","80310042025"
"100",75,"West Highland","80310003021"
"101",75,"West Highland","80310003022"
"102",75,"West Highland","80310003023"
"103",75,"West Highland","80310003024"
"104",75,"West Highland","80310003025"
"105",8,"Berkeley","80310003014"
"106",8,"Berkeley","80310003015"
"107",75,"West Highland","80310003031"
"108",75,"West Highland","80310003032"
"109",75,"West Highland","80310003033"
"110",75,"West Highland","80310003034"
"111",75,"West Highland","80310003035"
"112",62,"Sunnyside","80310004011"
"113",39,"Jefferson Park","80310006002"
"114",74,"West Colfax","80310007011"
"115",74,"West Colfax","80310007012"
"116",74,"West Colfax","80310007013"
