"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Male.","Margin.of.Error..Male.","Estimate..Male....Under.5.years","Margin.of.Error..Male....Under.5.years","Estimate..Male....5.to.9.years","Margin.of.Error..Male....5.to.9.years","Estimate..Male....10.to.14.years","Margin.of.Error..Male....10.to.14.years","Estimate..Male....15.to.17.years","Margin.of.Error..Male....15.to.17.years","Estimate..Male....18.and.19.years","Margin.of.Error..Male....18.and.19.years","Estimate..Male....20.years","Margin.of.Error..Male....20.years","Estimate..Male....21.years","Margin.of.Error..Male....21.years","Estimate..Male....22.to.24.years","Margin.of.Error..Male....22.to.24.years","Estimate..Male....25.to.29.years","Margin.of.Error..Male....25.to.29.years","Estimate..Male....30.to.34.years","Margin.of.Error..Male....30.to.34.years","Estimate..Male....35.to.39.years","Margin.of.Error..Male....35.to.39.years","Estimate..Male....40.to.44.years","Margin.of.Error..Male....40.to.44.years","Estimate..Male....45.to.49.years","Margin.of.Error..Male....45.to.49.years","Estimate..Male....50.to.54.years","Margin.of.Error..Male....50.to.54.years","Estimate..Male....55.to.59.years","Margin.of.Error..Male....55.to.59.years","Estimate..Male....60.and.61.years","Margin.of.Error..Male....60.and.61.years","Estimate..Male....62.to.64.years","Margin.of.Error..Male....62.to.64.years","Estimate..Male....65.and.66.years","Margin.of.Error..Male....65.and.66.years","Estimate..Male....67.to.69.years","Margin.of.Error..Male....67.to.69.years","Estimate..Male....70.to.74.years","Margin.of.Error..Male....70.to.74.years","Estimate..Male....75.to.79.years","Margin.of.Error..Male....75.to.79.years","Estimate..Male....80.to.84.years","Margin.of.Error..Male....80.to.84.years","Estimate..Male....85.years.and.over","Margin.of.Error..Male....85.years.and.over","Estimate..Female.","Margin.of.Error..Female.","Estimate..Female....Under.5.years","Margin.of.Error..Female....Under.5.years","Estimate..Female....5.to.9.years","Margin.of.Error..Female....5.to.9.years","Estimate..Female....10.to.14.years","Margin.of.Error..Female....10.to.14.years","Estimate..Female....15.to.17.years","Margin.of.Error..Female....15.to.17.years","Estimate..Female....18.and.19.years","Margin.of.Error..Female....18.and.19.years","Estimate..Female....20.years","Margin.of.Error..Female....20.years","Estimate..Female....21.years","Margin.of.Error..Female....21.years","Estimate..Female....22.to.24.years","Margin.of.Error..Female....22.to.24.years","Estimate..Female....25.to.29.years","Margin.of.Error..Female....25.to.29.years","Estimate..Female....30.to.34.years","Margin.of.Error..Female....30.to.34.years","Estimate..Female....35.to.39.years","Margin.of.Error..Female....35.to.39.years","Estimate..Female....40.to.44.years","Margin.of.Error..Female....40.to.44.years","Estimate..Female....45.to.49.years","Margin.of.Error..Female....45.to.49.years","Estimate..Female....50.to.54.years","Margin.of.Error..Female....50.to.54.years","Estimate..Female....55.to.59.years","Margin.of.Error..Female....55.to.59.years","Estimate..Female....60.and.61.years","Margin.of.Error..Female....60.and.61.years","Estimate..Female....62.to.64.years","Margin.of.Error..Female....62.to.64.years","Estimate..Female....65.and.66.years","Margin.of.Error..Female....65.and.66.years","Estimate..Female....67.to.69.years","Margin.of.Error..Female....67.to.69.years","Estimate..Female....70.to.74.years","Margin.of.Error..Female....70.to.74.years","Estimate..Female....75.to.79.years","Margin.of.Error..Female....75.to.79.years","Estimate..Female....80.to.84.years","Margin.of.Error..Female....80.to.84.years","Estimate..Female....85.years.and.over","Margin.of.Error..Female....85.years.and.over"
"1","1500000US080310001021",80310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",981,178,502,104,42,31,0,11,0,11,34,37,0,11,0,11,0,11,52,43,15,20,29,32,62,41,68,60,56,54,60,46,14,16,0,11,9,13,9,14,25,23,18,18,9,15,0,11,0,11,479,111,37,47,13,20,21,24,12,19,10,13,8,11,11,18,0,11,10,15,37,29,66,46,14,22,73,65,25,23,23,20,17,18,19,21,17,18,25,22,21,23,0,11,11,18,9,15
"2","1500000US080310001022",80310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1475,209,852,145,122,104,0,11,0,11,0,11,0,11,3,10,8,12,18,27,83,49,101,54,164,58,57,40,100,67,44,44,33,29,27,24,21,24,39,36,14,21,6,11,0,11,12,19,0,11,623,101,29,26,0,11,32,40,0,11,0,11,0,11,0,11,0,11,68,43,118,63,94,65,97,68,19,21,30,31,39,31,8,14,8,13,0,11,32,23,0,11,20,24,0,11,29,25
"3","1500000US080310001023",80310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",816,169,404,100,42,30,0,11,22,26,13,20,0,11,0,11,0,11,0,11,24,22,81,54,32,30,54,30,30,27,14,21,9,14,9,14,28,24,19,20,0,11,17,19,0,11,10,16,0,11,412,88,32,27,20,20,0,11,0,11,8,12,0,11,0,11,5,10,58,36,41,34,49,37,56,35,0,11,32,28,19,22,33,26,19,20,9,14,9,14,11,17,11,17,0,11,0,11
"4","1500000US080310002011",80310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1722,240,795,142,40,36,28,25,25,27,0,11,0,11,0,11,11,18,22,23,42,32,118,57,57,34,70,58,49,47,54,40,68,51,70,62,48,40,9,16,19,20,28,22,0,11,10,16,27,26,927,184,28,31,59,44,43,33,32,28,31,30,16,25,0,11,21,31,116,69,78,51,27,24,41,31,37,31,48,36,103,67,29,30,46,43,11,16,15,17,50,49,24,22,44,39,28,30
"5","1500000US080310002012",80310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2360,410,1199,261,74,71,71,42,111,84,43,31,45,43,0,11,33,52,98,86,54,45,123,57,49,39,127,59,47,51,94,71,65,54,11,17,63,38,10,14,23,27,22,21,18,21,9,13,9,15,1161,215,33,27,35,28,74,53,98,81,4,7,0,11,11,17,0,11,119,92,129,60,134,55,101,52,51,37,114,81,104,72,20,22,25,25,0,11,26,23,57,29,8,12,18,19,0,11
"6","1500000US080310002021",80310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",593,294,211,114,0,11,0,11,26,39,67,64,0,11,0,11,0,11,0,11,0,11,16,24,15,24,0,11,59,49,0,11,0,11,0,11,0,11,10,15,0,11,7,10,0,11,11,16,0,11,382,237,31,43,0,11,72,62,40,47,0,11,0,11,0,11,0,11,0,11,11,16,53,55,0,11,0,11,0,11,113,80,0,11,0,11,7,10,9,15,10,15,36,43,0,11,0,11
"7","1500000US080310002022",80310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1534,323,888,213,47,60,93,63,73,55,0,11,30,39,0,11,0,11,0,11,44,51,131,61,97,69,123,80,65,50,36,43,8,14,18,29,11,17,0,11,15,16,59,58,17,20,21,22,0,11,646,150,15,18,9,13,45,44,23,34,0,11,0,11,0,11,0,11,104,75,49,27,100,61,29,38,6,9,0,11,93,59,16,25,31,27,8,13,7,14,50,46,42,37,19,22,0,11
"8","1500000US080310002023",80310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",840,202,389,102,9,15,34,40,0,11,0,11,7,13,0,11,7,14,0,11,16,18,30,30,78,40,49,36,25,20,50,33,27,24,8,13,20,23,0,11,9,14,10,15,10,15,0,11,0,11,451,119,54,41,25,25,22,25,0,11,0,11,0,11,0,11,7,16,30,29,52,36,53,35,35,27,22,25,63,31,5,10,5,13,12,16,15,17,15,23,25,26,11,16,0,11,0,11
"9","1500000US080310002024",80310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1029,295,469,152,13,20,12,20,42,40,0,11,0,11,11,18,0,11,20,31,95,68,52,32,55,58,35,21,21,31,40,58,0,11,0,11,16,21,8,12,0,11,31,36,10,15,8,13,0,11,560,171,50,60,12,19,0,11,0,11,34,34,0,11,0,11,37,56,21,16,27,25,68,55,77,50,54,65,37,38,52,32,15,17,22,25,9,14,8,13,12,18,18,17,7,11,0,11
"10","1500000US080310003011",80310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",787,234,404,148,47,54,34,55,12,20,0,11,0,11,0,11,0,11,17,27,0,11,20,27,46,30,32,39,59,56,42,46,17,31,0,11,24,34,23,35,12,22,0,11,0,11,0,11,19,31,383,122,0,11,22,36,0,11,29,46,0,11,0,11,0,11,12,20,0,11,44,38,68,47,44,36,44,43,17,29,37,40,0,11,18,30,33,39,0,11,0,11,0,11,15,27,0,11
