"","Id","Id2","Geography","Estimate; Total:","Estimate; Native:","Estimate; Native: - Allocated","Estimate; Native: - Not allocated","Estimate; Foreign born:","Estimate; Foreign born: - Allocated","Estimate; Foreign born: - Not allocated"
"1","1500000US080310001021","080310001021","Block Group 1, Census Tract 1.02, Denver County, Colorado",981,929,90,839,52,0,52
"2","1500000US080310001022","080310001022","Block Group 2, Census Tract 1.02, Denver County, Colorado",1475,1378,85,1293,97,7,90
"3","1500000US080310001023","080310001023","Block Group 3, Census Tract 1.02, Denver County, Colorado",816,799,28,771,17,0,17
"4","1500000US080310002011","080310002011","Block Group 1, Census Tract 2.01, Denver County, Colorado",1722,1488,96,1392,234,0,234
"5","1500000US080310002012","080310002012","Block Group 2, Census Tract 2.01, Denver County, Colorado",2360,1787,208,1579,573,90,483
"6","1500000US080310002021","080310002021","Block Group 1, Census Tract 2.02, Denver County, Colorado",593,522,0,522,71,0,71
"7","1500000US080310002022","080310002022","Block Group 2, Census Tract 2.02, Denver County, Colorado",1534,1377,114,1263,157,10,147
"8","1500000US080310002023","080310002023","Block Group 3, Census Tract 2.02, Denver County, Colorado",840,773,26,747,67,0,67
"9","1500000US080310002024","080310002024","Block Group 4, Census Tract 2.02, Denver County, Colorado",1029,959,56,903,70,0,70
"10","1500000US080310003011","080310003011","Block Group 1, Census Tract 3.01, Denver County, Colorado",787,717,83,634,70,19,51
"11","1500000US080310003012","080310003012","Block Group 2, Census Tract 3.01, Denver County, Colorado",716,676,29,647,40,0,40
"12","1500000US080310003013","080310003013","Block Group 3, Census Tract 3.01, Denver County, Colorado",1042,998,21,977,44,2,42
"13","1500000US080310003014","080310003014","Block Group 4, Census Tract 3.01, Denver County, Colorado",1373,1215,78,1137,158,0,158
"14","1500000US080310003015","080310003015","Block Group 5, Census Tract 3.01, Denver County, Colorado",733,636,18,618,97,0,97
"15","1500000US080310003016","080310003016","Block Group 6, Census Tract 3.01, Denver County, Colorado",814,814,0,814,0,0,0
"16","1500000US080310003021","080310003021","Block Group 1, Census Tract 3.02, Denver County, Colorado",729,729,0,729,0,0,0
"17","1500000US080310003022","080310003022","Block Group 2, Census Tract 3.02, Denver County, Colorado",842,842,21,821,0,0,0
"18","1500000US080310003023","080310003023","Block Group 3, Census Tract 3.02, Denver County, Colorado",823,801,18,783,22,0,22
"19","1500000US080310003024","080310003024","Block Group 4, Census Tract 3.02, Denver County, Colorado",551,537,0,537,14,0,14
"20","1500000US080310003025","080310003025","Block Group 5, Census Tract 3.02, Denver County, Colorado",1468,1366,21,1345,102,0,102
"21","1500000US080310003031","080310003031","Block Group 1, Census Tract 3.03, Denver County, Colorado",678,542,75,467,136,0,136
"22","1500000US080310003032","080310003032","Block Group 2, Census Tract 3.03, Denver County, Colorado",922,898,84,814,24,0,24
"23","1500000US080310003033","080310003033","Block Group 3, Census Tract 3.03, Denver County, Colorado",1154,1045,93,952,109,0,109
"24","1500000US080310003034","080310003034","Block Group 4, Census Tract 3.03, Denver County, Colorado",637,637,0,637,0,0,0
"25","1500000US080310003035","080310003035","Block Group 5, Census Tract 3.03, Denver County, Colorado",801,763,233,530,38,0,38
"26","1500000US080310003036","080310003036","Block Group 6, Census Tract 3.03, Denver County, Colorado",745,691,0,691,54,0,54
"27","1500000US080310004011","080310004011","Block Group 1, Census Tract 4.01, Denver County, Colorado",792,641,0,641,151,0,151
"28","1500000US080310004012","080310004012","Block Group 2, Census Tract 4.01, Denver County, Colorado",784,724,68,656,60,17,43
"29","1500000US080310004013","080310004013","Block Group 3, Census Tract 4.01, Denver County, Colorado",816,736,68,668,80,0,80
"30","1500000US080310004014","080310004014","Block Group 4, Census Tract 4.01, Denver County, Colorado",845,807,30,777,38,8,30
"31","1500000US080310004021","080310004021","Block Group 1, Census Tract 4.02, Denver County, Colorado",435,435,11,424,0,0,0
"32","1500000US080310004022","080310004022","Block Group 2, Census Tract 4.02, Denver County, Colorado",1468,1411,99,1312,57,0,57
"33","1500000US080310004023","080310004023","Block Group 3, Census Tract 4.02, Denver County, Colorado",1258,1076,65,1011,182,0,182
"34","1500000US080310004024","080310004024","Block Group 4, Census Tract 4.02, Denver County, Colorado",642,491,34,457,151,0,151
"35","1500000US080310004025","080310004025","Block Group 5, Census Tract 4.02, Denver County, Colorado",768,671,43,628,97,0,97
"36","1500000US080310004026","080310004026","Block Group 6, Census Tract 4.02, Denver County, Colorado",377,377,0,377,0,0,0
"37","1500000US080310005011","080310005011","Block Group 1, Census Tract 5.01, Denver County, Colorado",1122,1079,88,991,43,7,36
"38","1500000US080310005012","080310005012","Block Group 2, Census Tract 5.01, Denver County, Colorado",812,759,52,707,53,0,53
"39","1500000US080310005021","080310005021","Block Group 1, Census Tract 5.02, Denver County, Colorado",1184,1173,140,1033,11,0,11
"40","1500000US080310005022","080310005022","Block Group 2, Census Tract 5.02, Denver County, Colorado",1537,1451,53,1398,86,0,86
"41","1500000US080310005023","080310005023","Block Group 3, Census Tract 5.02, Denver County, Colorado",940,890,61,829,50,0,50
"42","1500000US080310005024","080310005024","Block Group 4, Census Tract 5.02, Denver County, Colorado",1447,1292,52,1240,155,14,141
"43","1500000US080310005025","080310005025","Block Group 5, Census Tract 5.02, Denver County, Colorado",869,785,10,775,84,0,84
"44","1500000US080310006001","080310006001","Block Group 1, Census Tract 6, Denver County, Colorado",1268,1079,37,1042,189,0,189
"45","1500000US080310006002","080310006002","Block Group 2, Census Tract 6, Denver County, Colorado",1705,1121,48,1073,584,10,574
"46","1500000US080310007011","080310007011","Block Group 1, Census Tract 7.01, Denver County, Colorado",1387,1193,41,1152,194,26,168
"47","1500000US080310007012","080310007012","Block Group 2, Census Tract 7.01, Denver County, Colorado",1157,935,86,849,222,8,214
"48","1500000US080310007013","080310007013","Block Group 3, Census Tract 7.01, Denver County, Colorado",1362,1163,236,927,199,31,168
"49","1500000US080310007021","080310007021","Block Group 1, Census Tract 7.02, Denver County, Colorado",970,707,7,700,263,0,263
"50","1500000US080310007022","080310007022","Block Group 2, Census Tract 7.02, Denver County, Colorado",1640,1198,188,1010,442,24,418
"51","1500000US080310007023","080310007023","Block Group 3, Census Tract 7.02, Denver County, Colorado",1302,864,104,760,438,0,438
"52","1500000US080310007024","080310007024","Block Group 4, Census Tract 7.02, Denver County, Colorado",633,605,14,591,28,10,18
"53","1500000US080310007025","080310007025","Block Group 5, Census Tract 7.02, Denver County, Colorado",628,558,50,508,70,0,70
"54","1500000US080310008001","080310008001","Block Group 1, Census Tract 8, Denver County, Colorado",1448,1103,162,941,345,0,345
"55","1500000US080310009021","080310009021","Block Group 1, Census Tract 9.02, Denver County, Colorado",592,413,10,403,179,0,179
"56","1500000US080310009022","080310009022","Block Group 2, Census Tract 9.02, Denver County, Colorado",972,520,43,477,452,0,452
"57","1500000US080310009023","080310009023","Block Group 3, Census Tract 9.02, Denver County, Colorado",1069,726,31,695,343,12,331
"58","1500000US080310009024","080310009024","Block Group 4, Census Tract 9.02, Denver County, Colorado",1822,1377,162,1215,445,30,415
"59","1500000US080310009025","080310009025","Block Group 5, Census Tract 9.02, Denver County, Colorado",1638,1135,25,1110,503,6,497
"60","1500000US080310009031","080310009031","Block Group 1, Census Tract 9.03, Denver County, Colorado",1404,958,229,729,446,15,431
"61","1500000US080310009032","080310009032","Block Group 2, Census Tract 9.03, Denver County, Colorado",1115,720,12,708,395,0,395
"62","1500000US080310009033","080310009033","Block Group 3, Census Tract 9.03, Denver County, Colorado",1295,963,129,834,332,35,297
"63","1500000US080310009034","080310009034","Block Group 4, Census Tract 9.03, Denver County, Colorado",1906,1486,16,1470,420,0,420
"64","1500000US080310009035","080310009035","Block Group 5, Census Tract 9.03, Denver County, Colorado",739,544,12,532,195,41,154
"65","1500000US080310009041","080310009041","Block Group 1, Census Tract 9.04, Denver County, Colorado",1090,644,0,644,446,0,446
"66","1500000US080310009042","080310009042","Block Group 2, Census Tract 9.04, Denver County, Colorado",1560,1204,80,1124,356,27,329
"67","1500000US080310009043","080310009043","Block Group 3, Census Tract 9.04, Denver County, Colorado",715,568,123,445,147,10,137
"68","1500000US080310009044","080310009044","Block Group 4, Census Tract 9.04, Denver County, Colorado",1746,1188,17,1171,558,0,558
"69","1500000US080310009051","080310009051","Block Group 1, Census Tract 9.05, Denver County, Colorado",862,670,129,541,192,0,192
"70","1500000US080310009052","080310009052","Block Group 2, Census Tract 9.05, Denver County, Colorado",1274,726,26,700,548,8,540
