"","Id","Id2","Geography","TTL_population","Margin.of.Error..Total"
"1","1500000US080310001021",80310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",981,178
"2","1500000US080310001022",80310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",1475,209
"3","1500000US080310001023",80310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",816,169
"4","1500000US080310002011",80310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",1722,240
"5","1500000US080310002012",80310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",2360,410
"6","1500000US080310002021",80310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",593,294
"7","1500000US080310002022",80310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",1534,323
"8","1500000US080310002023",80310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",840,202
"9","1500000US080310002024",80310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",1029,295
"10","1500000US080310003011",80310003011,"Block Group 1, Census Tract 3.01, Denver County, Colorado",787,234
"11","1500000US080310003012",80310003012,"Block Group 2, Census Tract 3.01, Denver County, Colorado",716,185
"12","1500000US080310003013",80310003013,"Block Group 3, Census Tract 3.01, Denver County, Colorado",1042,355
"13","1500000US080310003014",80310003014,"Block Group 4, Census Tract 3.01, Denver County, Colorado",1373,399
"14","1500000US080310003015",80310003015,"Block Group 5, Census Tract 3.01, Denver County, Colorado",733,215
"15","1500000US080310003016",80310003016,"Block Group 6, Census Tract 3.01, Denver County, Colorado",814,199
"16","1500000US080310003021",80310003021,"Block Group 1, Census Tract 3.02, Denver County, Colorado",729,319
"17","1500000US080310003022",80310003022,"Block Group 2, Census Tract 3.02, Denver County, Colorado",842,336
"18","1500000US080310003023",80310003023,"Block Group 3, Census Tract 3.02, Denver County, Colorado",823,237
"19","1500000US080310003024",80310003024,"Block Group 4, Census Tract 3.02, Denver County, Colorado",551,223
"20","1500000US080310003025",80310003025,"Block Group 5, Census Tract 3.02, Denver County, Colorado",1468,341
"21","1500000US080310003031",80310003031,"Block Group 1, Census Tract 3.03, Denver County, Colorado",678,283
