GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years:,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years:,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months below poverty level: - Married-couple family: - No related children of the householder under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Married-couple family: - No related children of the householder under 18 years,Estimate; Income in the past 12 months below poverty level: - Other family:,Margin of Error; Income in the past 12 months below poverty level: - Other family:,"Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months below poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years",Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years:,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years:,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - With related children of the householder under 18 years: - 5 to 17 years only,Estimate; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children of the householder under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Married-couple family: - No related children of the householder under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Other family:,Margin of Error; Income in the past 12 months at or above poverty level: - Other family:,"Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Male householder, no wife present: - No related children of the householder under 18 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years:","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - Under 5 years and 5 to 17 years","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - With related children of the householder under 18 years: - 5 to 17 years only","Estimate; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years","Margin of Error; Income in the past 12 months at or above poverty level: - Other family: - Female householder, no husband present: - No related children of the householder under 18 years"
1500000US080310001021,080310001021,"Block Group 1, Census Tract 1.02, Denver County, Colorado",240,65,12,18,12,18,0,11,0,11,0,11,0,11,12,18,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,228,64,185,61,75,46,22,22,15,22,38,42,110,45,43,31,35,28,22,24,0,11,0,11,22,24,13,14,8,13,0,11,0,11,0,11,0,11,8,13
1500000US080310001022,080310001022,"Block Group 2, Census Tract 1.02, Denver County, Colorado",369,83,21,33,21,33,21,33,21,33,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,348,77,258,75,84,65,84,65,0,11,0,11,174,56,90,56,30,36,9,15,0,11,0,11,9,15,21,32,60,49,34,41,10,16,0,11,24,38,26,25
1500000US080310001023,080310001023,"Block Group 3, Census Tract 1.02, Denver County, Colorado",240,66,9,14,0,11,0,11,0,11,0,11,0,11,0,11,9,14,0,11,0,11,0,11,0,11,0,11,0,11,9,14,9,14,0,11,0,11,9,14,0,11,231,66,219,67,79,46,48,35,7,10,24,26,140,50,12,16,0,11,0,11,0,11,0,11,0,11,0,11,12,16,12,16,0,11,12,16,0,11,0,11
1500000US080310002011,080310002011,"Block Group 1, Census Tract 2.01, Denver County, Colorado",315,89,41,34,0,11,0,11,0,11,0,11,0,11,0,11,41,34,0,11,0,11,0,11,0,11,0,11,0,11,41,34,29,27,0,11,0,11,29,27,12,19,274,83,238,77,113,40,36,33,15,16,62,37,125,64,36,29,18,18,4,8,0,11,0,11,4,8,14,19,18,22,0,11,0,11,0,11,0,11,18,22
1500000US080310002012,080310002012,"Block Group 2, Census Tract 2.01, Denver County, Colorado",531,95,26,24,0,11,0,11,0,11,0,11,0,11,0,11,26,24,0,11,0,11,0,11,0,11,0,11,0,11,26,24,26,24,0,11,0,11,26,24,0,11,505,96,407,92,220,94,5,8,53,38,162,96,187,59,98,68,54,54,0,11,0,11,0,11,0,11,54,54,44,30,10,16,0,11,10,16,0,11,34,25
1500000US080310002021,080310002021,"Block Group 1, Census Tract 2.02, Denver County, Colorado",138,81,100,77,0,11,0,11,0,11,0,11,0,11,0,11,100,77,0,11,0,11,0,11,0,11,0,11,0,11,100,77,100,77,0,11,29,42,71,68,0,11,38,29,18,18,0,11,0,11,0,11,0,11,18,18,20,22,0,11,0,11,0,11,0,11,0,11,0,11,20,22,0,11,0,11,0,11,0,11,20,22
1500000US080310002022,080310002022,"Block Group 2, Census Tract 2.02, Denver County, Colorado",338,97,44,48,25,40,25,40,0,11,0,11,25,40,0,11,19,28,0,11,0,11,0,11,0,11,0,11,0,11,19,28,19,28,0,11,0,11,19,28,0,11,294,86,207,68,84,56,15,17,9,15,60,52,123,52,87,52,28,26,19,22,0,11,0,11,19,22,9,14,59,50,39,45,26,41,0,11,13,20,20,21
1500000US080310002023,080310002023,"Block Group 3, Census Tract 2.02, Denver County, Colorado",228,65,6,10,0,11,0,11,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11,0,11,0,11,0,11,6,10,0,11,0,11,0,11,0,11,6,10,222,65,183,60,69,43,30,29,22,27,17,20,114,42,39,33,20,24,20,24,0,11,0,11,20,24,0,11,19,22,0,11,0,11,0,11,0,11,19,22
1500000US080310002024,080310002024,"Block Group 4, Census Tract 2.02, Denver County, Colorado",275,86,14,22,0,11,0,11,0,11,0,11,0,11,0,11,14,22,0,11,0,11,0,11,0,11,0,11,0,11,14,22,14,22,14,22,0,11,0,11,0,11,261,88,169,73,58,60,33,52,0,11,25,31,111,55,92,60,41,40,0,11,0,11,0,11,0,11,41,40,51,46,9,16,0,11,0,11,9,16,42,44
