GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD05,Estimate; Total: - Less than 10 minutes
HD02_VD05,Margin of Error; Total: - Less than 10 minutes
HD01_VD06,Estimate; Total: - 10 to 14 minutes
HD02_VD06,Margin of Error; Total: - 10 to 14 minutes
HD01_VD07,Estimate; Total: - 15 to 19 minutes
HD02_VD07,Margin of Error; Total: - 15 to 19 minutes
HD01_VD08,Estimate; Total: - 20 to 24 minutes
HD02_VD08,Margin of Error; Total: - 20 to 24 minutes
HD01_VD09,Estimate; Total: - 25 to 29 minutes
HD02_VD09,Margin of Error; Total: - 25 to 29 minutes
HD01_VD10,Estimate; Total: - 30 to 34 minutes
HD02_VD10,Margin of Error; Total: - 30 to 34 minutes
HD01_VD11,Estimate; Total: - 35 to 44 minutes
HD02_VD11,Margin of Error; Total: - 35 to 44 minutes
HD01_VD12,Estimate; Total: - 45 to 59 minutes
HD02_VD12,Margin of Error; Total: - 45 to 59 minutes
HD01_VD13,Estimate; Total: - 60 or more minutes
HD02_VD13,Margin of Error; Total: - 60 or more minutes
HD01_VD14,"Estimate; Total: - Car, truck, or van:"
HD02_VD14,"Margin of Error; Total: - Car, truck, or van:"
HD01_VD17,"Estimate; Total: - Car, truck, or van: - Less than 10 minutes"
HD02_VD17,"Margin of Error; Total: - Car, truck, or van: - Less than 10 minutes"
HD01_VD18,"Estimate; Total: - Car, truck, or van: - 10 to 14 minutes"
HD02_VD18,"Margin of Error; Total: - Car, truck, or van: - 10 to 14 minutes"
HD01_VD19,"Estimate; Total: - Car, truck, or van: - 15 to 19 minutes"
HD02_VD19,"Margin of Error; Total: - Car, truck, or van: - 15 to 19 minutes"
HD01_VD20,"Estimate; Total: - Car, truck, or van: - 20 to 24 minutes"
HD02_VD20,"Margin of Error; Total: - Car, truck, or van: - 20 to 24 minutes"
HD01_VD21,"Estimate; Total: - Car, truck, or van: - 25 to 29 minutes"
HD02_VD21,"Margin of Error; Total: - Car, truck, or van: - 25 to 29 minutes"
HD01_VD22,"Estimate; Total: - Car, truck, or van: - 30 to 34 minutes"
HD02_VD22,"Margin of Error; Total: - Car, truck, or van: - 30 to 34 minutes"
HD01_VD23,"Estimate; Total: - Car, truck, or van: - 35 to 44 minutes"
HD02_VD23,"Margin of Error; Total: - Car, truck, or van: - 35 to 44 minutes"
HD01_VD24,"Estimate; Total: - Car, truck, or van: - 45 to 59 minutes"
HD02_VD24,"Margin of Error; Total: - Car, truck, or van: - 45 to 59 minutes"
HD01_VD25,"Estimate; Total: - Car, truck, or van: - 60 or more minutes"
HD02_VD25,"Margin of Error; Total: - Car, truck, or van: - 60 or more minutes"
HD01_VD26,"Estimate; Total: - Car, truck, or van: - Drove alone:"
HD02_VD26,"Margin of Error; Total: - Car, truck, or van: - Drove alone:"
HD01_VD28,"Estimate; Total: - Car, truck, or van: - Drove alone: - Less than 10 minutes"
HD02_VD28,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - Less than 10 minutes"
HD01_VD29,"Estimate; Total: - Car, truck, or van: - Drove alone: - 10 to 14 minutes"
HD02_VD29,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 10 to 14 minutes"
HD01_VD30,"Estimate; Total: - Car, truck, or van: - Drove alone: - 15 to 19 minutes"
HD02_VD30,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 15 to 19 minutes"
HD01_VD31,"Estimate; Total: - Car, truck, or van: - Drove alone: - 20 to 24 minutes"
HD02_VD31,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 20 to 24 minutes"
HD01_VD32,"Estimate; Total: - Car, truck, or van: - Drove alone: - 25 to 29 minutes"
HD02_VD32,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 25 to 29 minutes"
HD01_VD33,"Estimate; Total: - Car, truck, or van: - Drove alone: - 30 to 34 minutes"
HD02_VD33,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 30 to 34 minutes"
HD01_VD34,"Estimate; Total: - Car, truck, or van: - Drove alone: - 35 to 44 minutes"
HD02_VD34,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 35 to 44 minutes"
HD01_VD35,"Estimate; Total: - Car, truck, or van: - Drove alone: - 45 to 59 minutes"
HD02_VD35,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 45 to 59 minutes"
HD01_VD36,"Estimate; Total: - Car, truck, or van: - Drove alone: - 60 or more minutes"
HD02_VD36,"Margin of Error; Total: - Car, truck, or van: - Drove alone: - 60 or more minutes"
HD01_VD37,"Estimate; Total: - Car, truck, or van: - Carpooled:"
HD02_VD37,"Margin of Error; Total: - Car, truck, or van: - Carpooled:"
HD01_VD39,"Estimate; Total: - Car, truck, or van: - Carpooled: - Less than 10 minutes"
HD02_VD39,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - Less than 10 minutes"
HD01_VD40,"Estimate; Total: - Car, truck, or van: - Carpooled: - 10 to 14 minutes"
HD02_VD40,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 10 to 14 minutes"
HD01_VD41,"Estimate; Total: - Car, truck, or van: - Carpooled: - 15 to 19 minutes"
HD02_VD41,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 15 to 19 minutes"
HD01_VD42,"Estimate; Total: - Car, truck, or van: - Carpooled: - 20 to 24 minutes"
HD02_VD42,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 20 to 24 minutes"
HD01_VD43,"Estimate; Total: - Car, truck, or van: - Carpooled: - 25 to 29 minutes"
HD02_VD43,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 25 to 29 minutes"
HD01_VD44,"Estimate; Total: - Car, truck, or van: - Carpooled: - 30 to 34 minutes"
HD02_VD44,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 30 to 34 minutes"
HD01_VD45,"Estimate; Total: - Car, truck, or van: - Carpooled: - 35 to 44 minutes"
HD02_VD45,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 35 to 44 minutes"
HD01_VD46,"Estimate; Total: - Car, truck, or van: - Carpooled: - 45 to 59 minutes"
HD02_VD46,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 45 to 59 minutes"
HD01_VD47,"Estimate; Total: - Car, truck, or van: - Carpooled: - 60 or more minutes"
HD02_VD47,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - 60 or more minutes"
HD01_VD48,"Estimate; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool:"
HD02_VD48,"Margin of Error; Total: - Car, truck, or van: - Carpooled: - In 2-person carpool:"
