"","nbhd_name","AI_has_nature_anycost","AI_has_nature_lowcost","AI_has_nature_free","AI_has_sports_anycost","AI_has_sports_lowcost","AI_has_sports_free","AI_art_anycost","AI_art_lowcost","AI_art_free","AI_academic_anycost","AI_academic_lowcost","AI_academic_free","AI_overall","AI_overall_free"
"1","Athmar Park",48.850628414962,62.2748331937624,76.1011263321252,45.9240649017222,53.9255578670652,53.5764812078039,59.3578478963504,54.28421793816,39.9890406550555,60.4181418967484,52.0197160469945,39.9890406550555,53.6376707774458,52.41392221251
"2","Auraria",60.3198080399251,82.253641626584,59.5714443184682,58.404416735363,70.982649730699,88.5541166966306,100,100,81.1061811237619,100,100,81.1061811237619,79.681056193822,77.5844808156557
"3","Baker",57.0237053326722,75.1249826855754,78.5679321408314,56.106888489647,66.4195370969817,68.5452506738136,76.8281307936307,75.0050394348884,68.5290327416875,76.7265576353697,71.6787924061725,68.5290327416875,66.6713205628299,71.042812074505
"4","Barnum",48.4734183327649,69.9379442318394,76.3724595993326,46.283136729968,59.9779937628759,72.9493880077441,62.6469303947554,62.0819082163043,50.4943156531254,63.8101619273736,60.8775155956253,50.4943156531254,55.3034118462155,62.5776197283319
"5","Barnum West",48.2665622485033,69.2818633457986,73.4765932710744,44.9673895845634,58.1067533800168,64.1928220352418,61.8450725395933,61.544412435527,49.0461204573602,63.1987343631672,60.4279710668352,49.0461204573602,54.5694396839568,58.9404140552591
"6","Bear Valley",31.2954025807909,43.7676633762588,70.5010969329485,25.8796126430008,36.5708359676916,24.6421261350993,35.1951548407377,33.2991318689066,20.4581096762805,38.6969677142559,32.7400993573376,20.4581096762805,32.7667844446963,34.0148606051522
"7","Belcaro",63.2969682844523,75.5315846746505,79.6683428273671,66.2377534506458,65.5942654976719,35.5640634472394,72.8487219074459,59.5836253935554,33.5642401830907,73.599802874409,57.5476494224041,33.5642401830907,68.9958116292382,45.590221660197
"8","Berkeley",42.8984757164108,72.5903600022197,67.4942149654305,49.2749573366922,79.1481470659161,37.8821643897411,53.7550325729288,58.4314335241261,31.2139367101903,54.6494288177687,58.104562096144,31.2139367101903,50.1444736109501,41.951063193888
"9","Capitol Hill",52.1205004055138,70.3868020360087,72.8161108900398,55.6212741064327,62.997835936063,56.4656524825972,76.7899186122518,77.2498306702975,67.8248850002864,76.0092550165869,74.9375005439982,67.8248850002864,65.1352370351963,66.2328833433024
"10","CBD",48.4511867437799,72.7113605317641,75.3511614941958,49.0157314981307,61.1416068076713,46.6736486452711,84.5003862724929,87.9440299940103,70.2220206653476,83.2501726053112,88.1928177889447,70.2220206653476,66.3043692799287,65.6172128675405
