"","nbhd_name","total_students","perc_asian_students","perc_black_students","perc_hispanic_students","perc_nativeamerican_students","perc_pacificislander_students","perc_twoormore_students","perc_white_students","students_with_autism","students_with_deafblind","students_with_devdelay","students_with_emotional_disability","students_with_hearing_disability","students_with_intel_disability","students_with_multiple_disability","students_with_orthopedic_disability","students_with_other_health_impairment","students_with_physical_disability","students_with_sld","students_with_sli","students_with_tbi","students_with_visual_disability","perc_el","perc_disable_students","students_with_any_disability"
"1","Athmar Park",1397,3.22118826055834,1.5748031496063,88.40372226199,0.644237652111668,0,1.00214745884037,5.15390121689334,7,0,35,1,2,1,4,0,0,11,35,54,0,0,70.436649964209,10.7372942018611,150
"2","Auraria",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Baker",353,0.56657223796034,6.23229461756374,56.0906515580737,1.13314447592068,0,2.8328611898017,33.1444759206799,1,0,13,0,2,1,0,0,0,6,15,15,0,0,30.5949008498584,15.014164305949,53
"4","Barnum",1027,0.973709834469328,2.23953261927945,90.9444985394352,0.486854917234664,0.0973709834469328,0.389483933787731,4.86854917234664,0,0,33,2,1,3,0,0,0,6,28,33,1,0,70.0097370983447,10.4186952288218,107
"5","Barnum West",788,1.01522842639594,0.888324873096447,92.258883248731,0.253807106598985,0.126903553299492,0.380710659898477,5.0761421319797,2,0,15,3,1,3,2,0,1,8,19,32,0,0,66.1167512690355,10.9137055837564,86
"6","Bear Valley",721,5.8252427184466,1.80305131761442,69.7642163661581,1.3869625520111,0.13869625520111,2.9126213592233,18.1692094313454,2,0,12,4,1,0,2,0,0,3,17,25,0,0,42.5797503467406,9.15395284327323,66
"7","Belcaro",249,3.21285140562249,0.401606425702811,7.2289156626506,0,0.401606425702811,4.81927710843374,83.9357429718875,1,0,3,0,0,0,0,0,1,0,2,5,0,0,7.2289156626506,4.81927710843374,12
"8","Berkeley",617,1.29659643435981,1.62074554294976,41.1669367909238,0.324149108589951,0,2.75526742301459,52.8363047001621,6,0,13,2,0,0,2,0,1,6,9,20,0,0,10.3727714748784,9.56239870340356,59
"9","Capitol Hill",154,4.54545454545455,3.24675324675325,29.2207792207792,1.94805194805195,0,7.14285714285714,53.8961038961039,0,0,1,0,0,1,1,0,0,3,3,5,0,1,12.987012987013,9.74025974025974,15
"10","CBD",45,4.44444444444444,31.1111111111111,26.6666666666667,0,0,6.66666666666667,31.1111111111111,0,0,1,0,0,0,0,0,0,0,2,1,0,0,6.66666666666667,8.88888888888889,4
"11","Chaffee Park",388,0,1.03092783505155,88.1443298969072,0.257731958762887,0,0.257731958762887,10.3092783505155,2,0,11,1,0,1,0,0,0,3,14,13,0,0,49.4845360824742,11.5979381443299,45
"12","Cheesman Park",222,1.8018018018018,12.6126126126126,19.8198198198198,0.45045045045045,0,5.85585585585586,59.4594594594595,1,0,3,2,0,0,0,0,0,0,5,3,0,0,9.45945945945946,6.30630630630631,14
"13","Cherry Creek",210,8.09523809523809,1.9047619047619,13.8095238095238,0,0.476190476190476,8.57142857142857,67.1428571428571,1,0,2,0,0,0,0,0,0,2,0,3,0,0,12.3809523809524,3.80952380952381,8
"14","City Park",174,2.8735632183908,13.2183908045977,21.8390804597701,1.72413793103448,0,2.29885057471264,58.0459770114943,0,0,3,0,0,1,1,0,0,2,2,1,0,0,10.3448275862069,5.74712643678161,10
"15","City Park West",200,3,29.5,21,0,1.5,5,40,0,0,5,0,1,0,1,0,0,2,3,6,0,0,11.5,9,18
"16","Civic Center",22,0,13.6363636363636,40.9090909090909,0,0,13.6363636363636,31.8181818181818,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.6363636363636,4.54545454545454,1
"17","Clayton",665,0.75187969924812,17.2932330827068,69.6240601503759,1.05263157894737,0,3.45864661654135,7.81954887218045,0,0,17,8,0,0,0,0,0,0,25,28,1,0,54.7368421052632,11.8796992481203,79
"18","Cole",577,0.173310225303293,14.0381282495667,70.7105719237435,0.346620450606586,0.173310225303293,2.59965337954939,11.9584055459272,2,0,12,2,1,0,1,0,0,1,20,22,1,0,54.0727902946274,10.7452339688042,62
"19","College View - South Platte",1099,7.55232029117379,5.45950864422202,80.8007279344859,0.727934485896269,0.272975432211101,0.818926296633303,4.36760691537762,7,0,20,2,0,3,3,0,0,8,28,43,0,1,67.0609645131938,10.4640582347589,115
"20","Congress Park",689,2.03193033381713,1.74165457184325,8.85341074020319,0,0.725689404934688,5.95065312046444,80.6966618287373,7,0,5,0,0,1,0,0,1,3,6,11,0,0,4.35413642960813,4.93468795355588,34
"21","Cory - Merrill",387,2.0671834625323,1.55038759689922,8.2687338501292,0,0,5.94315245478036,82.1705426356589,0,0,4,0,0,1,1,0,0,3,7,5,0,0,4.39276485788114,5.42635658914729,21
"22","Country Club",234,4.27350427350427,2.13675213675214,5.55555555555556,0.427350427350427,0,1.70940170940171,85.8974358974359,2,0,2,0,0,0,0,0,0,3,4,3,0,0,3.41880341880342,5.98290598290598,14
"23","DIA",230,0.869565217391304,51.304347826087,27.3913043478261,1.73913043478261,0,7.39130434782609,11.304347826087,3,0,7,0,0,1,0,0,0,2,6,3,0,0,20.8695652173913,9.56521739130435,22
"24","East Colfax",1034,10.8317214700193,25.531914893617,40.8123791102514,0.870406189555126,0.193423597678917,4.642166344294,17.1179883945841,3,0,26,5,0,3,4,0,0,5,24,22,0,2,50.6769825918762,9.09090909090909,94
"25","Elyria Swansea",1267,0.0789265982636148,5.13022888713496,90.1341752170481,0.473559589581689,0.0789265982636148,0.710339384372534,3.39384372533544,1,0,38,2,3,5,4,0,0,6,43,26,0,1,72.0599842146804,10.1815311760063,129
"26","Five Points",698,3.15186246418338,31.2320916905444,36.9627507163324,1.00286532951289,0,8.02292263610315,19.6275071633238,3,0,19,2,1,1,0,1,0,4,19,18,0,0,18.4813753581662,9.74212034383955,68
"27","Fort Logan",440,4.54545454545455,5.68181818181818,62.9545454545455,0.681818181818182,0.227272727272727,4.09090909090909,21.8181818181818,1,0,12,3,2,1,0,0,2,4,10,23,0,0,23.1818181818182,13.1818181818182,58
"28","Gateway - Green Valley Ranch",6999,5.90084297756822,28.0325760822975,52.2788969852836,0.357193884840692,0.714387769681383,4.20060008572653,8.51550221460209,25,0,109,17,9,25,14,0,4,38,173,177,3,1,47.1495927989713,8.50121445920846,595
"29","Globeville",528,0,8.90151515151515,84.8484848484848,0.757575757575758,0,2.27272727272727,3.21969696969697,1,0,11,3,3,2,0,1,0,8,24,18,0,0,58.9015151515151,13.4469696969697,71
"30","Goldsmith",361,2.49307479224377,13.8504155124654,45.983379501385,0,0,3.601108033241,34.0720221606648,1,0,8,1,0,2,1,0,0,4,6,12,0,0,47.6454293628809,9.69529085872576,35
"31","Hale",445,4.49438202247191,7.86516853932584,19.1011235955056,0,0,5.39325842696629,63.1460674157303,5,0,7,2,0,1,0,0,0,3,5,7,0,0,10.561797752809,6.74157303370787,30
"32","Hampden",1276,4.93730407523511,15.7523510971787,35.7366771159875,0.313479623824451,0.391849529780564,6.50470219435737,36.3636363636364,5,0,24,2,1,7,1,0,2,10,16,46,0,0,33.1504702194357,8.93416927899686,114
"33","Hampden South",1151,3.12771503040834,19.2006950477845,23.4578627280626,0.52128583840139,0.260642919200695,7.12423979148566,46.3075586446568,8,0,17,2,3,3,1,0,2,7,24,27,0,0,24.5004344048653,8.16681146828845,94
"34","Harvey Park",1640,3.90243902439024,0.792682926829268,82.4390243902439,0.731707317073171,0.121951219512195,1.34146341463415,10.6707317073171,5,0,38,3,1,3,1,0,0,11,47,63,2,0,51.7682926829268,10.609756097561,174
"35","Harvey Park South",939,5.85729499467519,2.76890308839191,71.8849840255591,0.745473908413206,0.638977635782748,1.2779552715655,16.8264110756124,3,0,23,1,2,4,1,0,0,11,25,31,1,0,44.19595314164,10.8626198083067,102
"36","Highland",526,1.52091254752852,2.6615969581749,55.893536121673,0.190114068441065,0,1.71102661596958,38.0228136882129,1,0,7,0,1,1,1,0,0,3,8,18,0,0,33.0798479087452,7.60456273764258,40
"37","Hilltop",716,3.63128491620112,5.58659217877095,9.49720670391061,0.279329608938547,0,5.58659217877095,75.4189944134078,2,0,7,1,2,0,0,0,0,5,8,9,0,2,6.70391061452514,5.02793296089385,36
"38","Indian Creek",213,3.75586854460094,21.5962441314554,19.2488262910798,0,0.469483568075117,7.04225352112676,47.887323943662,2,0,6,1,1,0,0,0,0,0,3,3,0,0,32.3943661971831,7.51173708920188,16
"39","Jefferson Park",145,0,1.37931034482759,75.8620689655172,1.37931034482759,0,2.06896551724138,19.3103448275862,0,0,4,0,0,0,0,0,0,2,2,2,0,0,62.0689655172414,6.89655172413793,10
"40","Kennedy",305,10.8196721311475,16.3934426229508,58.6885245901639,0.327868852459016,0.327868852459016,3.27868852459016,10.1639344262295,2,0,10,0,0,0,2,0,1,3,4,5,0,0,70.4918032786885,8.85245901639344,27
"41","Lincoln Park",614,2.11726384364821,21.0097719869707,63.3550488599348,1.1400651465798,0,2.44299674267101,9.93485342019544,0,0,21,2,4,1,2,0,0,4,25,20,1,0,42.5081433224756,13.029315960912,80
"42","Lowry Field",856,4.08878504672897,12.9672897196262,13.5514018691589,0.350467289719626,0,6.42523364485981,62.6168224299065,3,0,7,0,0,0,2,0,0,7,14,12,0,0,10.8644859813084,5.25700934579439,45
"43","Mar Lee",2006,4.38683948155533,1.34596211365902,88.2851445663011,0.498504486540379,0.0498504486540379,1.0468594217348,4.38683948155533,8,0,50,4,4,2,7,1,0,10,53,75,2,0,65.2542372881356,10.7676969092722,216
"44","Marston",191,10.4712041884817,1.04712041884817,43.455497382199,0,0,4.71204188481675,40.3141361256544,4,0,8,2,0,2,1,0,0,5,3,4,0,0,20.4188481675393,15.1832460732984,29
"45","Montbello",7659,1.01840971406189,20.0026113069591,72.8032380206293,0.417809113461287,0.365582974278626,2.55908081995039,2.83326805065936,20,0,135,24,14,32,19,1,7,30,228,175,2,2,64.2773207990599,8.99595247421334,689
"46","Montclair",474,2.9535864978903,9.28270042194093,18.9873417721519,0.210970464135021,0,3.58649789029536,64.9789029535865,2,0,1,0,1,0,1,0,0,2,5,14,1,0,9.28270042194093,5.69620253164557,27
"47","North Capitol Hill",62,0,16.1290322580645,27.4193548387097,0,0,6.45161290322581,50,2,0,2,0,0,0,0,0,0,1,2,2,0,0,11.2903225806452,14.5161290322581,9
"48","North Park Hill",1346,1.1887072808321,24.81426448737,19.8365527488856,0.37147102526003,0.148588410104012,7.57800891530461,46.0624071322437,6,0,16,3,4,2,2,0,0,11,26,23,1,0,11.6641901931649,6.98365527488856,94
"49","Northeast Park Hill",1240,0.564516129032258,41.2903225806452,45,0.161290322580645,0,5.32258064516129,7.66129032258065,5,0,27,7,3,3,1,0,0,11,34,52,2,0,34.5967741935484,11.6935483870968,145
