"session_name","session_date_start","session_date_end","session_cost","lat","long","nbhd_id","nbhd_name","camp_name","session_short_description","has_special_needs_offerings","has_scholarships","has_academic","has_arts","has_cooking","has_dance","has_drama","has_music","has_nature","has_sports","has_stem","bgroup_id2","session_address_1","session_zip","session_city","session_id","cost_per_day"
"Circus Science and Magic - Rodolfo Corky"" Gonzales Branch""",2018-07-12,2018-07-12,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","It۪s never too early to learn about science! This energetic presentation by Peter Davison will use magic and acrobatics to make science concepts accessible to our youngest learners. Ideal for ages 0-5 with a caregiver.",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"80310007022","1498 N. Irving St",80204,"Denver",35393,1
"Denver Zoo - Rodolfo Corky"" Gonzales Branch""",2018-07-31,2018-07-31,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Come and learn the stories of some of the Denver Zoo۪s animals that have fantastic adaptations to help them survive the natural world. Spiderman and Ironman have nothing on these amazing Zooper Heroes!",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35397,1
"The Magic of the Rock People with Erica Sodos - Rodolfo Corky"" Gonzales Branch""",2018-06-19,2018-06-19,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","After thousands of years of seclusion Zuriel of the Rock People is coming to share her wisdom and magic with humans at a time when the return of magic is most needed. (This is an Entertaining, Totally Interactive Magic show filled with both Fictional and Non Fictional Stories).",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35387,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-06-15,2018-06-15,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35366,1
"Dotted Mugs Craft - Rodolfo Corky"" Gonzales Branch""",2018-07-27,2018-07-27,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Be an artist! Learn to design unique mugs that you can gift to friends and family.",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35380,1
"Community Helper Storytime with DPD - Rodolfo Corky"" Gonzales Branch""",2018-08-02,2018-08-02,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Denver Police Department outreach officers will be our special guests at this community helper storytime. Come and see their show cars!",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35398,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-06-08,2018-06-08,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35365,1
"Botanic Gardens Strange and Unusual Plants - Rodolfo Corky"" Gonzales Branch""",2018-07-17,2018-07-17,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Discover the wacky ways plants like the Venus Fly Trap and others have adapted to survive. Plant your own strange and unusual plant.",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35394,1
"Edible Revolution - Rodolfo Corky"" Gonzales Branch""",2018-06-28,2018-06-28,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Little ones and their grownups can enjoy a simple cooking_lesson as special guest The Edible Revolution teaches us to prepare a fruit snack! Allergy concerns? An ingredient list will be available. Ideal for ages 0-5 with a caregiver.",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35389,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-07-20,2018-07-20,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35371,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-07-06,2018-07-06,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35369,1
"Hummingbird Henna - Rodolfo Corky"" Gonzales Branch""",2018-06-22,2018-06-22,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Learn about henna and pick one of our designs or create one of your own!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35376,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-06-29,2018-06-29,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35368,1
"Summer of Adventure Kick-Off Party - Rodolfo Corky"" Gonzales Branch""",2018-06-02,2018-06-02,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Celebrate the start of the Summer of Adventure! Play games, make craft creations, and snack! Ideal for ages 0 to 18 years old.",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"80310007022","1498 N. Irving St",80204,"Denver",35383,1
"Instrument Petting Zoo - Rodolfo Corky"" Gonzales Branch""",2018-06-07,2018-06-07,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Join us for an instrument petting zoo_with Swallow Hill Music! Explore ukuleles, toy pianos, and more. Ideal for ages 0-5 with a caregiver.",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35384,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-07-27,2018-07-27,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35372,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-07-13,2018-07-13,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35370,1
"Game Day - Rodolfo Corky"" Gonzales Branch""",2018-08-03,2018-08-03,1,39.740052,-105.0295596,74,"West Colfax","Denver Public Library","Game on! Gather around for great board games, ping pong, legos, Wii U and XBOX ONE. No registration required. Free snacks!",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310007022","1498 N. Irving St",80204,"Denver",35373,1
