"long","lat","sport","location","tier","class","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.74660551,39.77370733,"Cricket","42nd & Lisbon","C","",50156.6944244259,"80310083912",28,"Gateway - Green Valley Ranch"
-104.74677636,39.77353201,"Softball","42nd & Lisbon","C","BF-C",36510.6540518434,"80310083912",28,"Gateway - Green Valley Ranch"
-104.75067114,39.7780246,"Softball","Green Valley East Ranch Park","C","BF-C",31381.9724395301,"80310083911",28,"Gateway - Green Valley Ranch"
-104.75117907,39.77842051,"Mixed-use","Green Valley East Ranch Park","C","",59339.5721038756,"80310083911",28,"Gateway - Green Valley Ranch"
-104.75171262,39.77869173,"Softball","Green Valley East Ranch Park","C","BF-C",68605.9725373641,"80310083911",28,"Gateway - Green Valley Ranch"
-104.76528677,39.78807852,"Mixed-use","Town Center","B","MU-TURF",35963.0797113449,"80310083892",28,"Gateway - Green Valley Ranch"
-104.76829892,39.78872911,"Baseball","Town Center","B","BF-B",48951.6955018907,"80310083892",28,"Gateway - Green Valley Ranch"
-104.76836193,39.77869731,"Softball","Green Valley West Ranch Park","C","BF-C",31382.047135242,"80310083901",28,"Gateway - Green Valley Ranch"
-104.76837685,39.77858836,"Mixed-use","Green Valley West Ranch Park","C","",45908.0664752108,"80310083901",28,"Gateway - Green Valley Ranch"
-104.76884902,39.78864477,"Mixed-use","Town Center","B","",53944.6018615305,"80310083892",28,"Gateway - Green Valley Ranch"
-104.80700838,39.79288795,"Football","Parkfield","A","MU-SYN",77634.1325242706,"80310083881",28,"Gateway - Green Valley Ranch"
-104.80806114,39.79311199,"Softball","Parkfield","A","BF-A",53808.5416998066,"80310083881",28,"Gateway - Green Valley Ranch"
-104.80818068,39.79399708,"Baseball","Parkfield","A","BF-A",90409.0508886036,"80310083881",28,"Gateway - Green Valley Ranch"
-104.8084303,39.79212383,"Soccer","Parkfield","A","MU-SYN",116998.244056648,"80310083881",28,"Gateway - Green Valley Ranch"
-104.80843922,39.79135983,"Soccer","Parkfield","A","MU-SYN",116511.807668367,"80310083881",28,"Gateway - Green Valley Ranch"
-104.81700679,39.79194029,"Mixed-use","Ford (Barney L) Park","C","MU-TURF",48550.0666991572,"80310083862",45,"Montbello"
