"","gender","distance","category","mincost","maxcost","sessiontimes","minage","maxage","sort","location","scholarships","specialneeds","beforeaftercare","gifted","keywords","lat","long","users"
"1","both","","music",NA,NA,"",NA,NA,"","","","","","","","19.0837","-102.3537",1
"2","both","20","music",NA,NA,"",NA,NA,"","","","","","","","19.0837","-102.3537",3
"3","both","","sports",NA,NA,"",NA,NA,"","","","","","","","19.0837","-102.3537",3
"4","both","20","sports",NA,NA,"",NA,NA,"","","","","","","","19.0837","-102.3537",3
"5","both","","stem",NA,NA,"",NA,NA,"","","","","","","","19.0837","-102.3537",1
"6","both","20","music",NA,NA,"",10,NA,"","","","","","","","19.0837","-102.3537",4
"7","both","20","sports",NA,NA,"",NA,NA,"","","","","","","Volleyball","19.0837","-102.3537",1
"8","","","",NA,NA,"",NA,NA,"","","","","","","","39.2639","-103.6922",1
"9","both","20","music",NA,NA,"",3,5,"","","","","","","","39.2639","-103.6922",1
"10","both","","arts",NA,NA,"",NA,NA,"","","","","","","","38.0525","-103.7202",1
"11","both","20","",NA,NA,"",NA,NA,"","80010","","","","","","38.2544","-104.6091",1
"12","both","20","",NA,NA,"",NA,NA,"","80817","","","","","","38.6822","-104.7008",1
"13","both","","nature",NA,NA,"",NA,NA,"","","","","","","","40.4233","-104.7091",1
"14","both","","sports",NA,NA,"",NA,NA,"","","","","","","","40.4233","-104.7091",2
"15","both","20","sports",NA,NA,"",NA,NA,"","","","","","","","40.4233","-104.7091",1
"16","both","20","",NA,NA,"",1,3,"","","","","","","","40.4233","-104.7091",1
"17","both","20","drama",NA,NA,"",3,5,"","","","","","","","40.4233","-104.7091",2
"18","both","20","nature",NA,NA,"",NA,NA,"Distance","","","","","","","40.4233","-104.7091",2
"19","both","20","sports",NA,NA,"",NA,NA,"Distance","","","","","","","40.4233","-104.7091",3
"20","both","20","",NA,NA,"",NA,NA,"","80202","","","","","","40.4233","-104.7091",1
"21","both","20","",NA,NA,"",NA,NA,"","80528","","","","","","40.4233","-104.7091",1
"22","both","25","",NA,NA,"",1,3,"","80634","","","","","","40.4233","-104.7091",1
"23","both","46","",NA,NA,"",1,3,"","80634","","","","","","40.4233","-104.7091",1
"24","both","50","",NA,NA,"",NA,NA,"","80631","scholarshipsAvailable","","","","","40.4233","-104.7091",1
"25","both","20","",NA,NA,"",NA,NA,"","","","","","","poudre","40.4233","-104.7091",3
"26","both","20","",NA,NA,"morning",11,13,"","80134","scholarshipsAvailable","","offersBeforeAfterCare","giftedStudent","","39.4553","-104.7344",1
"27","both","20","",NA,NA,"morning",11,13,"Distance","80134","scholarshipsAvailable","","offersBeforeAfterCare","giftedStudent","","39.4553","-104.7344",2
"28","","","",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",4
"29","both","","academic",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",1
"30","both","","arts",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",1
"31","both","20","arts",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",6
"32","both","","cooking",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",1
"33","both","","nature",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",1
"34","both","","sports",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",2
"35","both","20","sports",NA,NA,"",NA,NA,"","","","","","","","39.5186","-104.7614",6
"36","both","20","",NA,NA,"",10,13,"","","","","","","","39.5186","-104.7614",1
"37","both","20","music",NA,NA,"",11,14,"","","","","","","","39.5186","-104.7614",2
"38","both","20","drama",NA,NA,"",14,18,"","","","","","","","39.5186","-104.7614",3
"39","both","20","dance",NA,NA,"",6,9,"","","","","","","","39.5186","-104.7614",1
"40","both","20","music",NA,NA,"",6,9,"","","","","","","","39.5186","-104.7614",4
"41","both","20","nature",0,0,"",10,13,"Date","","","","","","","39.5186","-104.7614",1
"42","both","20","",NA,NA,"",NA,NA,"","80010","","","","","","39.5186","-104.7614",4
"43","both","20","sports",NA,NA,"",NA,NA,"","80111","","","","","","39.5186","-104.7614",1
"44","both","20","academic",NA,NA,"",13,15,"","80111","","","","","","39.5186","-104.7614",1
"45","both","20","sports",NA,NA,"",13,15,"","80111","","","","","","39.5186","-104.7614",1
"46","both","20","sports",NA,NA,"",NA,NA,"Distance","80111","","","","","","39.5186","-104.7614",1
"47","both","20","sports",NA,NA,"",13,15,"Distance","80111","","","","","","39.5186","-104.7614",1
"48","both","10","",NA,NA,"",NA,NA,"","80134","","","","","","39.5186","-104.7614",1
"49","both","20","sports",NA,NA,"",NA,NA,"","80134","","","","","","39.5186","-104.7614",2
"50","both","20","",NA,NA,"",3,3,"","80134","","","","","","39.5186","-104.7614",1
"51","both","20","",NA,NA,"",3,5,"","80134","","","","","","39.5186","-104.7614",1
"52","both","20","sports",NA,NA,"",NA,NA,"Distance","80134","","","","","","39.5186","-104.7614",2
"53","both","10","academic",NA,100,"morning",7,12,"","80138","","","","","","39.5186","-104.7614",1
"54","both","20","academic",NA,100,"morning",7,12,"","80138","","","","","","39.5186","-104.7614",1
"55","both","20","academic",NA,100,"morning",7,12,"Distance","80138","","","","","","39.5186","-104.7614",1
"56","both","20","",NA,NA,"",NA,NA,"","80202","","","","","","39.5186","-104.7614",4
"57","both","20","",NA,NA,"",NA,NA,"Distance","80202","","","","","","39.5186","-104.7614",3
"58","both","10","",NA,NA,"",NA,NA,"","80210","","","","","","39.5186","-104.7614",1
"59","both","20","music",NA,NA,"",11,14,"","","","","","","Guitar","39.5186","-104.7614",1
"60","both","10","sports",NA,NA,"",6,9,"","80134","","","","","Soccer","39.5186","-104.7614",1
"61","both","20","",NA,NA,"overnight",NA,NA,"","","","","","","","40.0847","-104.8130",1
"62","","","",NA,NA,"",NA,NA,"","","","","","","","39.9853","-104.8205",3
"63","both","","academic",NA,NA,"",NA,NA,"","","","","","","","39.9853","-104.8205",3
"64","both","20","academic",NA,NA,"",NA,NA,"","","","","","","","39.9853","-104.8205",1
"65","both","","nature",NA,NA,"",NA,NA,"","","","","","","","39.9853","-104.8205",1
