"long","lat","location","year_rehab","class","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.7592237,39.77285797,"41st & Ensenada",2004,"PG-COMMUNITY",5715.99766567288,"80310083902",28,"Gateway - Green Valley Ranch"
-105.0040218,39.75007304,"Downtown Childrens Playground",2007,"PG-NEIGHBORHOOD",3899.95685795314,"80310019021",2,"Auraria"
-105.01234973,39.67992725,"Asbury and Tejon Park",1991,"PG-NEIGHBORHOOD",3932.4492993702,"80310156002",19,"College View - South Platte"
-104.92062333,39.64486067,"Jefferson Square Park",2004,"PG-NEIGHBORHOOD",3509.71551123543,"80310040041",58,"Southmoor Park"
-105.05052989,39.70116471,"Westwood Park",2001,"PG-NEIGHBORHOOD",5298.76989432615,"80310045032",76,"Westwood"
-105.03247929,39.66351325,"Loretto Heights Park",2000,"PG-COMMUNITY",2857.17098365309,"80310157001",35,"Harvey Park South"
-104.91892359,39.69634083,"Garland (David T) Park",1992,"PG-COMMUNITY",3568.35930979112,"80310050011",72,"Washington Virginia Vale"
-104.91496337,39.69407267,"Garland (David T) Park",2014,"PG-COMMUNITY",6671.00443344657,"80310050011",72,"Washington Virginia Vale"
-104.94684465,39.76609564,"City of Nairobi",2013,"PG-NEIGHBORHOOD",4142.93358083979,"80310036023",17,"Clayton"
-104.95536574,39.74778197,"City Park",1996,"PG-REGIONAL",17327.7585113643,"80310037011",14,"City Park"
-104.94517056,39.74540593,"City Park",1992,"PG-NEIGHBORHOOD",7930.33747400933,"80310037011",14,"City Park"
-104.94742324,39.71301855,"Pulaski Park",2010,"PG-COMMUNITY",5984.10209096549,"80310038004",13,"Cherry Creek"
-104.95743856,39.72285569,"Manley (James N) Park",2012,"PG-NEIGHBORHOOD",3222.55412639856,"80310038005",13,"Cherry Creek"
-104.92422731,39.69617036,"City of Potenza Park",2001,"PG-NEIGHBORHOOD",2384.96777403296,"80310051021",69,"Virginia Village"
-104.92512757,39.68542785,"Ash Grove Park",2016,"PG-NEIGHBORHOOD",3874.63826591191,"80310051023",69,"Virginia Village"
-105.10305071,39.63239293,"Garrison & Union Park",2002,"PG-COMMUNITY",5403.56986984319,"80310120141",44,"Marston"
-105.10276584,39.63278611,"Garrison & Union Park",2002,"PG-COMMUNITY",1508.14771675451,"80310120141",44,"Marston"
-105.09441767,39.63496067,"Stanford & Balsam",NA,"PG-NEIGHBORHOOD",3730.7805005878,"80310120142",44,"Marston"
-105.10364129,39.62689511,"Garland & Saratoga Park",2002,"PG-NEIGHBORHOOD",4696.32362296384,"80310120143",44,"Marston"
-104.91142835,39.68621018,"Cook (Judge Joseph E) Park",1993,"PG-COMMUNITY",7219.91357019361,"80310052002",69,"Virginia Village"
-105.04609497,39.65314238,"Bear Creek Park",2009,"PG-REGIONAL",11185.2667848549,"80310055021",27,"Fort Logan"
-105.0224998,39.67028949,"West Harvard Gulch",1998,"PG-NEIGHBORHOOD",3004.75755760529,"80310156004",19,"College View - South Platte"
-105.01662986,39.66951518,"West Harvard Gulch",1996,"PG-NEIGHBORHOOD",3454.05984010201,"80310156004",19,"College View - South Platte"
-105.04793914,39.6373418,"Pinehurst Park",2005,"PG-COMMUNITY",4003.36793641382,"80310055033",27,"Fort Logan"
-104.90870283,39.64022545,"Eastmoor Park",1992,"PG-COMMUNITY",3742.83530604931,"80310068092",33,"Hampden South"
-104.9053826,39.65143007,"Southmoor Park",1992,"PG-COMMUNITY",3765.13136214655,"80310068092",33,"Hampden South"
-104.89514418,39.64190419,"Rosamond Park",1999,"PG-COMMUNITY",5298.36048782191,"80310068094",33,"Hampden South"
-104.96427655,39.78391004,"Elyria (Johnson Center) Park",2006,"PG-NEIGHBORHOOD",4266.9244474389,"80310035001",25,"Elyria Swansea"
-104.95492824,39.78645008,"Swansea Park",1991,"PG-COMMUNITY",6287.60812615406,"80310035002",25,"Elyria Swansea"
-104.94957472,39.78978107,"Swansea Neighborhood Park",2006,"PG-NEIGHBORHOOD",3747.26934240868,"80310035002",25,"Elyria Swansea"
-104.97492253,39.75443031,"Quick (Lenore B) Park",2017,"PG-NEIGHBORHOOD",4106.47972541091,"80310024021",26,"Five Points"
-105.04937376,39.76324484,"Pferdesteller Park",2010,"PG-NEIGHBORHOOD",5257.54059173409,"80310003024",75,"West Highland"
-105.0444079,39.77330896,"Chavez (Cesar E) Park",1998,"PG-NEIGHBORHOOD",3953.64577364435,"80310003014",8,"Berkeley"
-105.02724855,39.76321535,"Highland Park",1990,"PG-NEIGHBORHOOD",6346.91812197295,"80310003032",75,"West Highland"
-105.02143033,39.75069224,"Jefferson Park",2015,"PG-NEIGHBORHOOD",4055.78489561347,"80310006002",39,"Jefferson Park"
-105.04493408,39.73546143,"Lakewood and Dry Gulch Park",2012,"PG-COMMUNITY",5278.59543098939,"80310007012",74,"West Colfax"
-105.03096009,39.73769003,"Sanchez (Paco) Park",1997,"PG-COMMUNITY",4131.0725962754,"80310007022",74,"West Colfax"
-105.04478567,39.74471028,"Sloans Lake Park",1992,"PG-REGIONAL",10049.6985400092,"80310005012",56,"Sloan Lake"
-105.04474836,39.75388571,"Sloans Lake Park",2011,"PG-REGIONAL",8437.82202396299,"80310005012",56,"Sloan Lake"
-105.03835259,39.73347273,"Lakewood and Dry Gulch Park",2016,"PG-COMMUNITY",4361.51562526893,"80310009051",68,"Villa Park"
-105.01618197,39.7492037,"Gates Crescent Park",1997,"PG-COMMUNITY",9224.9621203414,"80310006001",39,"Jefferson Park"
-105.03068383,39.72346911,"Barnum Park",2002,"PG-COMMUNITY",7116.93663581035,"80310009031",4,"Barnum"
-105.02858491,39.72345541,"Barnum Park",2002,"PG-COMMUNITY",4050.57774063698,"80310009031",4,"Barnum"
-104.96680098,39.75788392,"Fuller Park",2000,"PG-NEIGHBORHOOD",4408.70758530541,"80310023002",77,"Whittier"
-105.03026572,39.78076685,"Rocky Mountain Lake Park",2007,"PG-COMMUNITY",6243.42664929445,"80310001021",8,"Berkeley"
-105.03040718,39.74664671,"Hallack Park",2013,"PG-NEIGHBORHOOD",5791.84827660009,"80310005023",56,"Sloan Lake"
-105.04708084,39.71389668,"Weir Gulch Park",1993,"PG-NEIGHBORHOOD",1026.11734720859,"80310009023",5,"Barnum West"
-105.0460776,39.71412442,"Weir Gulch Park",1993,"PG-NEIGHBORHOOD",1836.95856761361,"80310009023",5,"Barnum West"
-104.96158436,39.7672654,"Russell Square Park",2001,"PG-NEIGHBORHOOD",5024.39668059619,"80310036012",18,"Cole"
-104.97129801,39.75969939,"Williams (Dr Daniel Hale) Park",1992,"PG-NEIGHBORHOOD",4523.91563429765,"80310023001",77,"Whittier"
-104.96803518,39.75945295,"Douglass (Fredrick) Park",2001,"PG-NEIGHBORHOOD",3038.57334552036,"80310023001",77,"Whittier"
-104.96514302,39.75921895,"Walker",2010,"PG-NEIGHBORHOOD",2637.8247682438,"80310023001",77,"Whittier"
-105.03697381,39.7198261,"Weir Gulch Park",1998,"PG-NEIGHBORHOOD",4138.21826459332,"80310009034",4,"Barnum"
-105.04212194,39.73083441,"Martinez (Joseph P) Park",1991,"PG-COMMUNITY",3519.91490834634,"80310009041",68,"Villa Park"
-105.04743138,39.73427666,"Lakewood and Dry Gulch Park",2011,"PG-COMMUNITY",4758.25567852392,"80310009043",68,"Villa Park"
-105.0501953,39.78103789,"Berkeley Lake Park",2007,"PG-REGIONAL",6317.00579951961,"80310001023",8,"Berkeley"
-105.06737155,39.65078308,"Jefferson & Kendall Park",2005,"PG-NEIGHBORHOOD",5164.41137917353,"80310119024",6,"Bear Valley"
-104.89005134,39.6286424,"Wallace (George M) Park",1999,"PG-COMMUNITY",5234.95913783131,"80310068042",33,"Hampden South"
-105.0178992,39.73208106,"Weir Gulch Marina",2014,"PG-NEIGHBORHOOD",8835.54552725197,"80310008001",61,"Sun Valley"
-105.03271043,39.70069911,"Kentucky & Knox Park",2009,"PG-NEIGHBORHOOD",3066.42621728737,"80310045061",76,"Westwood"
-104.93248117,39.75075347,"Ferguson Park",1991,"PG-NEIGHBORHOOD",2576.04374959416,"80310042016",57,"South Park Hill"
-105.03692527,39.758137,"Highland Senior Center Park",2003,"PG-NEIGHBORHOOD",4111.58381339297,"80310005024",56,"Sloan Lake"
-104.99257395,39.71589713,"Dailey Park",1998,"PG-NEIGHBORHOOD",6796.14455706472,"80310021003",3,"Baker"
-104.99590595,39.72289964,"Flores (Hector M) Park",2012,"PG-NEIGHBORHOOD",1840.13791119911,"80310021005",3,"Baker"
-105.00450927,39.77692583,"Aztlan Park",2011,"PG-NEIGHBORHOOD",5348.19515570204,"80310002021",62,"Sunnyside"
-105.01803403,39.70112682,"Huston Lake Park",2008,"PG-COMMUNITY",4739.16267751203,"80310013013",1,"Athmar Park"
-105.00244838,39.70417072,"Aspgren Park",1991,"PG-NEIGHBORHOOD",3281.47390648155,"80310013021",1,"Athmar Park"
-104.99875179,39.70566261,"Johnson-Habitat",2015,"",3486.63195280421,"80310013022",1,"Athmar Park"
-104.99838127,39.70523128,"Johnson-Habitat",2015,"",3018.48040905991,"80310013022",1,"Athmar Park"
-104.99781558,39.70493795,"Johnson-Habitat",2015,"",1910.98179497079,"80310013022",1,"Athmar Park"
-105.00353718,39.69193554,"Sanderson Gulch Open Space",1995,"PG-NEIGHBORHOOD",5128.7025518683,"80310014011",54,"Ruby Hill"
-104.9817404,39.72754731,"Governors Park",1998,"PG-NEIGHBORHOOD",4738.78255083263,"80310027025",9,"Capitol Hill"
-104.97599795,39.7206031,"Alamo Placita Park",1990,"PG-NEIGHBORHOOD",6496.23657523479,"80310028012",59,"Speer"
-104.99227974,39.72975158,"Sunken Gardens Park",2000,"PG-COMMUNITY",4471.14504617317,"80310018002",41,"Lincoln Park"
-105.00429131,39.73608414,"La Alma / Lincoln Park",1991,"PG-COMMUNITY",3733.66202642844,"80310019011",41,"Lincoln Park"
-105.00362991,39.73435622,"La Alma / Lincoln Park",2017,"PG-COMMUNITY",7995.39109071082,"80310019011",41,"Lincoln Park"
-104.98169098,39.78270283,"Argo Park",2010,"PG-COMMUNITY",4635.55544550995,"80310015002",29,"Globeville"
-104.97587477,39.76139231,"Mestizo Curtis Park",2015,"PG-NEIGHBORHOOD",6467.81563361348,"80310016001",26,"Five Points"
-104.98208226,39.74792008,"Benedict Fountain Park",2013,"PG-NEIGHBORHOOD",3557.76692079669,"80310024032",26,"Five Points"
-104.98218279,39.75454665,"Stout Street Childrens Park",1997,"PG-NEIGHBORHOOD",2243.49202240064,"80310024033",26,"Five Points"
-104.9821807,39.75192033,"Lawson (Sonny) Park",2014,"PG-NEIGHBORHOOD",2077.96139528875,"80310024033",26,"Five Points"
-105.01468628,39.79012351,"51st & Zuni",2000,"PG-COMMUNITY",3564.24220847461,"80310002012",11,"Chaffee Park"
-104.95437663,39.77872941,"Dunham (Lee) Park",2017,"PG-NEIGHBORHOOD",4326.17184127998,"80310035005",25,"Elyria Swansea"
-104.88556012,39.73687673,"New Freedom",2012,"PG-NEIGHBORHOOD",2838.22180346172,"80310044043",24,"East Colfax"
-104.88492391,39.76092197,"Central Park",2007,"PG-REGIONAL",30965.7040787678,"80310041061",60,"Stapleton"
-104.87497229,39.76067555,"Central Park Rec Center",2010,"PG-NEIGHBORHOOD",1166.63364081109,"80310041061",60,"Stapleton"
