"long","lat","name","type","year_built","year_last_remodeled","bldg_sqft","short_name","has_cardio","has_weights","has_gym","has_arts_culture","has_day_camps","has_educ_programs","has_fitness_health_programs","has_senior_programs","has_social_enrich_clubs","has_special_events","has_sports","has_aquatics","bgroup_id2","nbhd_id","nbhd_name"
-104.767160324479,39.7856883448493,"Green Valley Ranch Recreation Center","R",2004,NA,34520,"Green Valley Ranch",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"80310083892",28,"Gateway - Green Valley Ranch"
-104.805597902217,39.7927378764775,"Montbello Recreation Center","R",2003,NA,44394,"Montbello",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"80310083881",28,"Gateway - Green Valley Ranch"
-104.875031652639,39.7610853264065,"Central Park Recreation Center","R",2010,NA,58000,"Central Park",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"80310041061",60,"Stapleton"
-104.894693356118,39.7273795758712,"Montclair Recreation Center","R",1996,2006,37852,"Montclair",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"80310044054",42,"Lowry Field"
-104.908933710888,39.687047127245,"Cook Park Recreation Center","R",1972,1998,20424,"Cook Park",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"80310052002",69,"Virginia Village"
-104.909280392148,39.7707185284274,"Martin Luther King Recreation Center","R",1960,1994,25512,"Martin Luther King Jr",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"80310041021",49,"Northeast Park Hill"
-104.921814128714,39.7642926960667,"Hiawatha Davis Jr Recreation Center","R",1960,2001,41502,"Hiawatha Davis Jr",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"80310041023",49,"Northeast Park Hill"
-104.93740948941,39.6596047184798,"Eisenhower Recreation Center","R",1975,1990,14192,"Eisenhower",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"80310040034",65,"University Hills"
-104.955387378768,39.78485781983,"Swansea Recreation Center","R",1972,1982,14155,"Swansea",FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"80310035003",25,"Elyria Swansea"
-104.958533888207,39.7405139746206,"Carla Madison Recreation Center","R",2016,NA,69000,"Madison",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"80310037012",14,"City Park"
